SpMin1_Bh(p),P_VSA_LogP_4,N-072,B01[C-F],B05[O-F],B07[N-Cl],B08[N-S],F03[C-Br],F06[C-C],F06[N-N],F08[O-F],F10[C-S],Infective-80,CATS3D_14_LL,alvo
2.08575397895544,88.6781496457862,1,0,0,0,0,0,18,1,0,0,1,0,5.91721462968355
2.08571046051047,88.6781496457862,1,0,0,0,0,0,18,1,0,0,1,0,5.531652669587842
2.100315590279,89.9710950685507,2,0,0,0,0,0,34,1,0,0,0,11,4.522878745280337
2.1001994768437,89.9710950685507,2,0,0,0,0,0,33,1,0,0,0,8,4.522878745280337
2.09968011700452,89.9710950685507,2,0,0,0,0,0,32,1,0,0,0,6,5.023650020996727
2.09889675568643,85.2664451334834,3,0,0,0,0,0,28,1,0,0,0,7,5.133122185662502
2.09881867871683,85.2664451334834,3,0,0,0,0,0,28,1,0,0,0,2,4.799149501908922
2.09885133000887,85.2664451334834,3,0,0,1,0,0,28,1,0,0,0,0,5.350665141287858
2.0990711683359,85.2664451334834,3,1,0,0,0,0,28,1,0,0,0,1,5.367542707815276
2.09906885319117,85.2664451334834,3,1,0,0,0,0,29,1,3,0,0,1,5.521433504406157
2.09921921010724,85.2664451334834,3,1,0,0,0,0,28,1,0,0,0,1,5.681936665037238
2.08507729453642,83.9734997107189,2,1,0,0,0,0,15,1,0,0,1,0,5.36251027048749
2.08504544582534,83.9734997107189,2,0,0,0,0,2,15,1,0,0,1,0,5.333482019445119
2.08546367246724,83.9734997107189,2,1,0,0,0,0,15,1,0,0,1,0,5.281498311132726
2.08545128357926,83.9734997107189,2,1,0,0,0,0,16,1,3,0,1,0,5.958607314841775
2.08584475145002,83.9734997107189,2,1,0,0,0,0,15,1,0,0,0,0,5.042871802323187
2.08526639805938,83.9734997107189,2,1,0,1,0,0,15,1,0,0,1,0,4.9503943874050265
2.0854202267248,83.9734997107189,2,0,0,0,0,0,16,1,0,0,1,0,5.568636235841013
2.08524944045023,83.9734997107189,2,0,0,0,0,0,15,1,0,0,1,0,5.522878745280337
2.09228447187331,113.823076678204,3,1,1,0,0,0,24,1,0,0,0,0,5.701146923590294
2.09242824118356,113.823076678204,3,1,1,0,0,0,24,1,0,0,0,0,5.235077015350112
2.09103003531457,113.823076678204,3,1,1,1,0,0,24,1,0,0,0,2,6.769551078621726
2.0913009199319,113.823076678204,3,1,1,1,0,0,24,1,0,0,0,2,5.723538195826756
2.09122472469306,113.823076678204,3,1,1,1,0,0,24,1,0,0,0,1,7.221848749616356
2.0917472751288,113.823076678204,3,1,1,1,0,0,24,1,0,0,0,1,5.809668301829708
2.09126142626994,113.823076678204,3,1,1,1,0,0,24,1,0,0,0,1,6.4089353929735005
2.09224919650276,113.823076678204,3,1,1,1,0,0,24,1,0,0,0,3,5.703334809738469
2.08706497115682,88.6781496457862,1,1,0,0,0,0,19,1,0,0,1,0,5.671620396561262
2.08728002724137,88.6781496457862,1,0,0,0,0,0,20,1,0,0,1,0,4.997402019280091
2.08647931227245,88.6781496457862,1,1,0,0,0,0,18,1,0,0,1,0,4.861697301833718
2.08651415006922,88.6781496457862,1,1,0,0,0,0,19,1,0,0,1,0,5.85078088734462
2.08769753705472,88.6781496457862,1,0,0,0,0,0,20,1,0,0,1,0,6.086186147616283
2.08647003622582,88.6781496457862,1,1,0,0,0,0,19,1,3,0,1,0,6.366531544420414
2.08656870304183,88.6781496457862,1,0,0,0,0,0,19,1,0,0,1,0,5.4156687756324695
2.09305075387095,118.527726613271,2,1,0,0,0,0,28,1,0,0,0,7,5.966576244513051
2.09301384624112,118.527726613271,2,1,0,0,0,0,27,1,0,0,0,5,5.823908740944319
2.09161171450811,113.823076678204,3,1,1,0,0,2,24,1,0,0,0,1,5.425968732272281
2.09324728909685,113.823076678204,3,1,1,0,0,0,25,1,0,0,0,0,6.356547323513813
2.08668915621692,88.6781496457862,1,0,0,0,0,0,20,1,0,0,1,0,5.812479279163537
2.093654664768,118.527726613271,2,1,0,0,0,0,27,1,0,0,0,6,6.251811972993799
2.09502005934863,118.527726613271,2,1,0,0,0,0,29,1,0,0,0,6,5.935542010773082
2.09385106569626,118.527726613271,2,1,0,0,0,0,28,1,0,0,0,6,5.943095148663527
2.09246748562478,113.823076678204,3,1,1,0,0,0,24,1,0,0,0,0,6.022276394711152
2.09299346952684,118.527726613271,2,1,0,0,0,0,28,1,3,0,0,6,6.356547323513813
2.09244823997926,113.823076678204,3,1,1,0,0,0,25,1,3,0,0,0,5.421360790031928
2.09422151040059,113.823076678204,3,1,1,0,0,0,26,1,0,0,0,2,6.920818753952375
2.09229262573043,113.823076678204,3,1,0,1,0,0,24,1,0,0,0,0,5.85078088734462
2.09243623032813,113.823076678204,3,1,1,1,0,0,24,1,0,0,0,0,5.7121982700697735
2.09123414170093,113.823076678204,3,1,0,1,0,0,24,1,0,0,0,1,7.522878745280337
2.09470000639501,118.527726613271,2,1,0,0,0,0,29,1,0,0,0,10,5.785156151952302
2.09920015290761,89.9710950685507,2,0,0,0,0,0,31,1,0,0,0,9,4.522878745280337
2.0994241493746,89.9710950685507,2,1,0,0,0,0,31,1,0,0,0,5,5.094743951251549
2.09927559450978,89.9710950685507,2,1,0,0,0,0,31,1,0,0,0,5,5.13430394008393
2.08794145987161,88.6781496457862,1,0,0,0,0,0,21,1,0,0,1,0,5.563837352959244
2.09283659612082,118.527726613271,2,1,0,0,0,0,27,1,0,0,0,6,5.935542010773082
2.09297577905092,118.527726613271,2,1,1,0,0,0,27,1,0,0,0,4,6.346787486224656
2.09162207236245,118.527726613271,2,1,0,1,0,0,27,1,0,0,0,8,4.633017024022149
2.09315556474637,118.527726613271,2,1,0,0,0,0,28,1,0,0,0,6,5.739928612014925
2.09329160306068,118.527726613271,2,1,1,0,0,0,28,1,0,0,0,5,5.790484985457369
2.0922263947321,118.527726613271,2,1,0,1,0,0,28,1,0,0,0,8,6.180456064458132
2.09218740119937,118.527726613271,2,1,0,1,0,0,28,1,0,0,0,7,4.522878745280337
2.09312502937637,118.527726613271,2,1,0,1,0,0,28,1,0,0,0,8,5.554395796726403
2.09252115135988,118.527726613271,2,1,0,0,0,2,28,1,0,0,0,7,5.7447274948966935
2.09405637219457,118.527726613271,2,1,0,0,0,0,29,1,0,0,0,6,4.897223385116559
2.09956922025163,89.9710950685507,2,0,0,0,0,0,31,1,0,0,0,6,5.150580586203101
2.09188505279968,118.527726613271,2,1,0,1,0,0,27,1,0,0,0,7,6.045757490560675
2.0918104571356,118.527726613271,2,1,0,1,0,0,27,1,0,0,0,6,5.939302159646388
2.093128232789,113.823076678204,3,1,1,0,0,0,24,1,0,0,0,0,5.563837352959244
2.0945533137629,113.823076678204,3,1,1,0,0,0,26,1,0,0,0,0,6.958607314841775
2.09333860058524,113.823076678204,3,1,1,0,0,0,25,1,0,0,0,0,6.3872161432802645
2.09250978605232,113.823076678204,3,1,1,0,0,0,25,1,0,0,0,1,6.096910013008056
2.09215283495727,118.527726613271,2,1,0,1,0,0,28,1,0,0,0,7,7.397940008672037
2.0926470541677,118.527726613271,2,1,0,1,0,0,28,1,0,0,0,6,5.543633966870957
2.09175610488989,113.823076678204,3,1,0,1,0,0,24,1,0,0,0,1,5.892790030352131
2.09395705442434,118.527726613271,2,1,0,0,0,0,28,1,0,0,0,7,5.795880017344075
2.09938233441598,89.9710950685507,2,0,0,0,0,2,31,1,0,0,0,5,5.197226274708024
2.09988921613502,89.9710950685507,2,1,0,0,0,0,32,1,0,0,0,6,4.522878745280337
2.0998383859168,89.9710950685507,2,1,0,0,0,0,31,1,0,0,0,7,5.769551078621726
2.09991777308681,89.9710950685507,2,1,0,0,0,0,32,1,0,0,0,7,4.522878745280337
2.09965997635001,89.9710950685507,2,1,0,0,0,0,32,1,0,0,0,6,4.522878745280337
2.0922558099583,113.823076678204,3,1,0,1,0,0,24,1,0,0,0,3,5.935542010773082
2.09325706699376,113.823076678204,3,1,0,1,0,0,25,1,0,0,0,0,6.251811972993799
2.09313356134136,113.823076678204,3,1,0,1,0,0,24,1,0,0,0,0,5.756961951313706
2.09456508418728,113.823076678204,3,1,0,1,0,0,26,1,0,0,0,0,8.0
2.09528030953292,118.527726613271,2,1,0,0,0,0,30,1,0,0,0,6,6.259637310505756
2.09231636091756,118.527726613271,2,1,0,1,0,0,27,1,0,0,0,7,6.050609993355088
2.09184591237346,118.527726613271,2,1,0,1,0,0,27,1,0,0,0,6,5.889410289700751
2.09280371723642,118.527726613271,2,1,0,1,0,0,27,1,0,0,0,10,6.008773924307505
2.09218640060216,118.527726613271,2,1,0,0,0,2,27,1,0,0,0,7,6.309803919971486
2.09376289501069,118.527726613271,2,1,0,0,0,0,28,1,0,0,0,6,5.966576244513051
2.09958922659715,89.9710950685507,2,0,0,0,0,0,31,1,0,0,1,6,4.522878745280337
2.09963352848223,89.9710950685507,2,1,1,0,0,0,31,1,0,0,0,5,5.100179497572904
2.09334837401139,113.823076678204,3,1,0,1,0,0,25,1,0,0,0,0,7.221848749616356
2.09414241529169,118.527726613271,2,1,0,0,0,0,29,1,0,0,0,6,6.337242168318426
2.09336158898645,118.527726613271,2,1,0,0,0,0,29,1,0,0,0,8,5.609064892896621
2.09332913109663,118.527726613271,2,1,0,0,0,0,28,1,0,0,0,7,5.987162775294828
