SM1_DzZ,MATS7c,TDB1v,TDB1r,Mv,ATSC7c,MIC5,AATSC7c,AATS2v,AATS1v,VE2_Dzm,TDB1m,TDB5r,ETA_Eta_F_L,TDB2r,TDB2m,GATS1m,AATS0v,ZMIC2,SpMin7_Bhi,RDF15m,nH,VE2_DzZ,TDB1u,SpMax3_Bhm,SpMin7_Bhe,AATS2m,VE1_D,AATS7v,SpMin7_Bhv,ZMIC1,VE3_DzZ,AMW,AATS5m,ETA_dAlpha_B,VP-7,ETA_dEpsilon_B,RDF10m,CrippenLogP,AATSC3p,TDB3i,MLFER_BO,TDB2v,ETA_Shape_Y,MIC4,ALogP,RDF10i,MIC1,TDB6m,MLFER_A,GATS7m,MIC0,MIC2,TDB3v,MW,ATS0e,GATS8i,ATSC6v,FPSA-2,MATS3s,VE3_D,SpAD_Dzs,E1m,VP-3,RDF80m,GRAV-2,RDF70u,TDB3m,AATSC4v,SpAbs_Dzs,ATS2m,ATSC3p,Spe,SpMax4_Bhm,SPC-4,MIC3,RDF10v,RDF15e,GATS8v,RDF10e,EE_Dzs,SpMax_Dzs,VE3_Dzi,VE3_Dze,maxdssC,ATS3e,L2m,AATSC2v,RDF150s,nBase,topoRadius,MATS4i,SM1_Dzp,RDF25e,ATSC5c,RDF95m,pIC50
1.5,-0.074869519,352.3760381,0.533054801,0.637934948,-0.130642831,39.12469879,-0.001501642,222.3224393,262.2951041,0.00721801,134.2355606,1.437102361,6.53123,0.815442034,195.0234729,0.77240502,221.4853485,44.75025509,0.855385614,11.56765059,20,0.007221336,1.264631198,3.401971415,0.946083607,81.23467085,0.173566998,167.8071807,1.270546445,59.71457909,-4.279598685,7.647244186,56.66091147,0.04,0.399020464,0.07699,0.718443333,3.13999,-0.014391611,467.8045136,1.57,525.0600681,0.34783,39.38927878,-0.0446,10.06334746,26.74744714,320.204927,0.546,0.95044429,13.02598729,32.74911045,779.2609013,344.1259884,357.74938,0.73271513,-682.8114087,1.540513445,-0.119084002,-4.377978998,216.4973606,0.381039743,3.613304421,3.575799118,46.63523959,19.71485655,291.5864182,-13.78110836,214.6105436,6011.365643,-1.151328916,44.34901961,3.111775873,3.74923941,35.81514671,2.155164538,11.56508589,0.709353203,7.959873946,107.564588,107.564588,-4.401784671,-4.281959267,0.52728649,644.24976,2.057038756,15.07316713,0.287900279,0,7,-0.227413596,-6.493765586,31.79951912,-0.22824932,6.9024347,4.0
1.25,-0.037591354,355.2786687,0.533510785,0.636188035,-0.056153433,38.79817114,-0.000661,224.2203749,264.0807264,0.007753762,129.9777109,1.460028017,6.14045,0.819014258,189.9339615,0.796632549,221.6011342,35.90705537,0.848014894,11.43291875,20,0.007761965,1.263452474,3.399288217,0.939303752,78.89372704,0.160026739,167.2291952,1.242091207,52.22683795,-4.033118117,7.457524403,56.17064498,0.03472,0.365946634,0.07369,0.712921372,3.15941,-0.031014657,466.0178648,1.377,530.7236832,0.35821,38.81474651,0.9004,9.976255284,28.16630088,321.1261132,0.546,0.955016282,12.50162571,34.83969475,763.6749702,328.1310737,344.397664,0.72273377,-646.2066389,1.401844913,-0.103212138,-4.397794457,202.0729597,0.319604868,3.561639448,5.649483353,45.23156473,21.56714762,273.6282481,-9.813829659,200.5119461,5759.242074,-2.512187179,43.0,3.094404693,3.65371738,36.28910288,2.135958718,11.43259656,0.685202378,7.891849111,100.3043155,100.3043155,-4.313180674,-4.038322279,0.939323527,640.827816,2.135153355,14.00069812,5.8e-17,0,7,-0.203040383,-5.411471322,31.24932707,-0.239196096,3.502993434,4.0
1.5,0.044473622,352.3871711,0.53305539,0.637934948,0.081145703,40.1244388,0.000902,222.3224393,262.2951041,0.004830091,134.2416221,1.460481089,6.54505,0.815502436,195.1019625,0.77240502,221.4853485,42.25872761,0.869242527,11.60752941,20,0.004833972,1.264550252,3.396455127,0.951433417,81.23467085,0.120764479,164.1769246,1.274681638,59.71457909,-5.283027537,7.647244186,56.37510808,0.04,0.398521033,0.07699,0.728149023,3.13999,-0.0141631,467.9269602,1.288,525.0893999,0.34783,39.92261212,-0.0446,10.18184943,26.74744714,312.1245606,0.295,0.85265315,13.02598729,34.01708045,782.1325817,344.1259884,357.74938,0.733439659,-700.936383,1.575718794,-0.006378411,-5.284782708,213.2070313,0.414274606,3.625826994,7.860511738,46.63671433,17.35637881,299.5779607,-13.2323162,211.29229,6011.365643,-1.133047983,44.34901961,3.090509567,3.883624948,37.5669348,2.179251302,11.60492065,0.67747737,8.055393617,105.8119473,105.8119473,-5.500346837,-5.287144422,0.513583124,645.377604,2.547213413,15.07316713,2.12e-10,0,7,-0.227829544,-6.493765586,34.58826844,-0.26045214,3.24450514,4.254066842
1.25,-0.021328886,346.5462062,0.522330413,0.615429377,-0.03535562,36.8875759,-0.000316,217.4078125,256.3445017,0.004180104,122.2104857,1.404432401,6.0706,0.797329631,178.1975536,0.860329932,211.4623222,40.76561641,0.869973113,14.06681082,26,0.00418714,1.261076659,3.456600843,0.952005066,73.66555727,0.059221007,152.8659019,1.27550049,55.17178503,-5.885731315,6.984491018,49.52569901,0.03086,0.508313897,0.05769,0.912469892,4.42889,-0.04641186,462.1614052,1.424,516.400929,0.31579,36.90133659,1.8146,12.82746702,27.90396033,261.6384479,0.546,0.830615414,11.96598828,32.9775455,722.2720522,370.1780239,407.329996,0.742582073,-856.9050384,1.546885026,-0.056320063,-7.631493178,265.6155302,0.402794401,4.250945561,9.448690784,47.18015677,16.74647883,243.6237013,-1.529069201,264.0244434,6703.565712,-5.012480909,51.17647059,3.287106609,5.031509392,35.63597566,2.769605825,14.07049474,0.677237991,10.12608043,131.9087214,131.9087214,-6.406084114,-5.895046091,0.816395894,835.704732,2.693020605,16.13803107,0.107622684,0,7,-0.078791442,-5.411471322,47.69687933,-0.309828614,3.935366738,4.98088371
1.5,0.012127516,352.5563567,0.533312559,0.637934948,0.023858778,41.03824436,0.000246,222.3224393,262.2951041,0.00469725,134.3554591,1.425454364,6.54417,0.81565076,195.2131758,0.77240502,221.4853485,42.88793344,0.925120757,11.84554524,20,0.004701623,1.265001822,3.414637346,1.003245871,81.23467085,0.125134625,146.8231356,1.308330149,59.71457909,-5.352428983,7.647244186,56.01909928,0.04,0.386792515,0.07699,0.726937585,3.13999,-0.015630096,468.0738832,1.233,525.1799259,0.34783,41.03407101,-0.0446,10.16815041,26.74744714,297.8073668,0.546,0.838415455,13.02598729,33.81577712,780.2836477,344.1259884,357.74938,0.900078772,-898.6783603,1.573701652,0.010697589,-5.195912796,218.4159194,0.325812509,3.618605609,3.086358511,46.59457425,17.56639051,302.5539178,-12.72139257,216.5291024,6011.365643,-1.250407659,44.34901961,3.102990433,3.925235213,38.74945446,2.179952029,11.84265793,0.836482038,8.041480281,108.3309598,108.3309598,-5.606205436,-5.357199397,0.577403933,646.3419,2.094259861,15.07316713,0.287671717,0,7,-0.253531225,-6.493765586,31.72806404,-0.121250078,6.054764821,4.942333896
1.25,0.013224316,355.5184898,0.533873527,0.636188035,0.022178245,39.73274501,0.000236,224.2203749,264.0807264,0.006131237,130.1502168,1.472601967,6.15339,0.818767772,190.0500588,0.796632549,221.6011342,34.96357402,0.923927813,11.81964347,20,0.006139809,1.264050427,3.412866128,1.00121268,78.89372704,0.132884715,145.1403243,1.281330873,52.22683795,-4.595778843,7.457524403,55.22583537,0.03472,0.368656796,0.07369,0.721294563,3.15941,-0.032237851,465.613762,1.057,530.4641661,0.35821,39.95146583,0.9004,10.09248702,28.16630088,293.5202412,0.546,0.751622126,12.50162571,35.38514929,765.1270116,328.1310737,344.397664,0.873301903,-823.5904348,1.424112797,0.027375313,-4.843855993,206.2159522,0.382302046,3.566940636,7.401535922,45.1695491,13.6259995,284.1068883,-8.423025654,204.6549385,5759.242074,-2.611265922,43.0,3.097486625,3.829713182,38.56305787,2.162635682,11.82531054,0.894079124,7.982388038,102.1627463,102.1627463,-4.973165919,-4.60265548,0.98944097,642.919956,2.108686692,14.00069812,1.4e-29,0,6,-0.185933222,-5.411471322,27.89956679,-0.287584721,2.330391436,4.92190585
1.897058824,0.002636826,375.7319893,0.563824944,0.665131408,0.004360812,44.54783916,5.13e-05,238.9191686,275.6643296,0.004914219,150.772771,1.544805303,6.19318,0.878968647,229.161315,0.618995011,237.5037251,37.13222972,0.823159132,10.82849127,17,0.004947899,1.281157278,3.501477577,0.838930347,93.77498919,0.132884715,155.0407287,1.034042175,53.67354383,-5.113772192,8.489669544,66.6997385,0.02579,0.373441872,0.08766,0.627166562,3.78479,-0.028772858,470.8789898,1.007,569.8268846,0.35146,44.78256394,0.8227,8.732634151,32.37437514,341.9497692,0.722,0.622377999,17.27824575,39.88212668,805.9252827,348.0764513,328.777381,0.903807932,-779.9125733,1.259662121,0.036490643,-4.843855993,207.1218504,0.626460382,3.608582056,7.220994339,46.02667432,12.27369724,336.350617,-11.49056571,205.7731557,6282.924276,-2.157964387,40.65098039,3.285342978,3.829713182,43.29256516,1.857595363,10.81776354,0.840032191,6.919707906,102.5345181,102.5345181,-5.089407002,-4.762832217,1.153021217,607.996968,2.260290289,13.6583609,2.68e-77,0,6,-0.232160514,-5.177526368,23.43164437,-0.211245855,5.306034156,4.876148359
2.078571429,-0.001550586,380.9299179,0.571924658,0.669958075,-0.002535355,50.29080619,-2.98e-05,241.4209947,277.6598338,0.004581889,175.9349158,1.565208498,5.89497,0.891890725,275.0456273,0.504839422,242.3680545,39.48432572,0.829827095,10.71838023,17,0.004627328,1.284296326,3.733296538,0.844226387,109.7134069,0.132884715,156.7315443,1.029894382,56.02563983,-5.274532388,9.561608189,80.13688613,0.0,0.403106784,0.08381,0.628015665,3.89389,-0.035159971,469.0620536,1.007,578.1981256,0.33333,50.52553098,0.9067,8.746803801,38.11734217,392.5054565,0.722,0.489657988,23.02121278,45.62509372,818.4401429,392.0259357,327.063717,0.86955709,-809.1229306,1.228627097,0.041367837,-4.843855993,209.3369122,1.025346417,3.866736592,13.35347731,47.43526631,12.31828727,399.5267396,-11.5070964,208.1999739,7350.798264,-2.636997812,40.57254902,3.382979771,3.829713182,49.03553219,1.860661291,10.72256487,0.814583318,6.930793641,103.5662307,103.5662307,-5.014073023,-4.714099423,1.223237266,605.263912,2.331867589,14.21892722,1.45e-74,0,6,-0.223365147,-4.959012305,23.00025296,-0.229731858,8.842651134,4.847405922
2.136792453,-0.009850803,388.0752777,0.580789918,0.677061018,-0.015905799,56.56125055,-0.000187,245.1026921,280.5964258,0.004484882,204.7509591,1.58784881,5.82162,0.906741082,326.5229685,0.482984287,250.9977817,41.83642172,0.838510248,10.73441707,17,0.004525686,1.286811219,3.746700988,0.854746038,126.5648292,0.132884715,159.2197554,1.027544567,58.37773583,-5.327837501,10.73200175,94.34375736,0.0,0.423531083,0.08189,0.628085407,3.73599,-0.057192369,466.5428619,1.007,590.4365585,0.32495,56.79597533,0.7365,8.747855511,44.38778653,447.1202228,0.722,0.467588387,29.29165714,51.89553807,836.7091439,440.0120716,324.41904,0.817254234,-853.2215016,1.174675764,0.042043179,-4.843855993,209.7591159,1.504977801,4.044476057,19.74290221,48.69004557,12.31123248,469.3137468,-11.54686273,208.6617015,8479.843554,-4.289427647,40.45490196,3.387139587,3.829713182,55.30597655,1.860931778,10.73825687,0.776438037,6.931585699,103.7631616,103.7631616,-4.90663389,-4.611270285,1.233218748,600.555796,2.256346219,15.03582451,1.33e-73,0,6,-0.201577346,-4.723620854,23.14414787,-0.265494611,11.34030022,4.823330067
1.892857143,-0.090192925,364.3899854,0.552401267,0.659699852,-0.157718169,44.42321193,-0.001733167,236.3923289,270.3598224,0.002912696,145.4634268,1.544612615,7.15269,0.866805104,219.4370988,0.686708671,230.4599418,36.80788275,0.923478599,12.03849203,17,0.002916751,1.273751206,3.460891157,0.99318481,91.54452156,0.101634292,152.4199298,1.287907091,53.07840034,-6.705889553,8.351174462,64.52795943,0.04872,0.385967172,0.09234,0.647344932,2.89859,-0.025590858,473.9597212,0.813,560.0238869,0.375,44.64701928,0.6673,8.679533715,32.81595553,359.4696875,0.722,0.835050288,15.43060873,39.97450933,795.5861671,359.1005019,353.606824,0.942634559,-727.0564923,1.262704062,0.002067317,-5.94457314,232.554988,0.579089562,3.642516272,8.695175617,48.49762684,16.42420655,322.1042385,-10.69794638,230.5647861,6408.116509,-2.021677746,43.30196078,3.276003173,4.4777364,43.22632276,1.848293135,12.04023197,0.878983764,6.884151433,115.3508825,115.3508825,-8.011613352,-6.703352916,0.403896485,645.132548,2.461316673,12.25564374,1.1499999999999999e-42,0,7,-0.209844724,-8.094241669,28.8801871,-0.268675851,2.704337057,4.333856573
1.5,-0.077281431,352.5496101,0.533316943,0.637934948,-0.146055729,41.03824436,-0.001570492,222.3224393,262.2951041,0.006882096,134.3511838,1.432440719,6.54417,0.815274603,195.1379287,0.77240502,221.4853485,42.88793344,0.912239108,11.84703455,20,0.006885842,1.265090315,3.420210163,0.990466802,81.23467085,0.168028282,148.3614988,1.294974088,59.71457909,-4.398530154,7.647244186,54.28989981,0.04,0.392224357,0.07699,0.722983188,3.13999,-0.015630096,467.4987174,1.25,524.8731245,0.34783,41.03407101,-0.0446,10.11691893,26.74744714,298.3393195,0.546,0.825255001,13.02598729,33.81577712,780.6141324,344.1259884,357.74938,0.935183507,-708.4728624,1.567210309,-8.09e-05,-4.459057428,223.5837839,0.394170476,3.621511444,9.359076401,46.5961045,17.52598408,302.1086873,-13.27988986,221.6969668,6011.365643,-1.250407659,44.34901961,3.106426196,3.916277395,38.74945446,2.168153379,11.84971332,0.909467353,8.00144906,110.8761043,110.8761043,-4.543652299,-4.401318625,0.530126421,646.3419,2.007912736,15.07316713,0.336011271,0,7,-0.253171557,-6.493765586,29.0032601,-0.360807753,4.558872713,4.189901959
1.25,-0.040079505,355.5243551,0.533883041,0.636188035,-0.065084581,39.73274501,-0.000715,224.2203749,264.0807264,0.007532722,130.1547048,1.449681938,6.15339,0.818761137,190.0502259,0.796632549,221.6011342,35.59823775,0.889795999,11.82910363,20,0.007541206,1.264069212,3.417870561,0.965004437,78.89372704,0.157935507,147.3942446,1.238034782,52.22683795,-4.102366461,7.457524403,53.66414694,0.03472,0.359150527,0.07369,0.721702456,3.15941,-0.032237851,465.574406,1.057,530.463805,0.35821,39.95146583,0.9004,10.09847881,28.16630088,297.7917393,0.546,0.825400391,12.50162571,35.17927088,765.1430625,328.1310737,344.397664,0.928132012,-674.3176409,1.426283948,0.016521291,-4.42936443,208.8800782,0.35550868,3.569846471,8.409630803,45.16755932,16.68143131,284.1638148,-9.321642123,207.3190646,5759.242074,-2.611265922,43.0,3.099190153,3.820755365,38.54576709,2.163760942,11.83397117,0.884181414,7.987243168,103.4764199,103.4764199,-4.401677172,-4.10790622,0.942163458,642.919956,1.967948804,14.00069812,0.200694489,0,7,-0.227730264,-5.411471322,27.92208618,-0.371459628,3.892265873,4.183162369
