F03[C-N],SpMin1_Bh(p),RNCG,SpMax_B(v),SpMax_B(p),Tv,SpDiam_B(p),H4s,H6i,Eig07_EA,SpMin1_Bh(e),SpMax1_Bh(i),F05[C-C],RDF145s,F06[C-N],SpMax1_Bh(e),H7u,Eig12_EA(ri),SM02_AEA(ri),DP18,SP18,SpMax5_Bh(e),Eig07_EA(ed),nHet,CATS3D_07_LL,Eig12_EA(bo),F10[N-Cl],SM6_B(i),SM11_EA(bo),VE2_B(s),Eta_sh_p,RDF150s,nCb-,T(O..O),F03[N-F],Mor08s,RDF085u,CATS2D_05_AL,P_VSA_m_3,MATS7s,F06[N-Cl],alvo
11,2.08506564352015,0.146303706524086,3.90638582015433,3.87186479961633,26.5580984239565,5.81119089889248,4.8127855081038,0.788637323596249,1.65056858795789,1.94701175215642,4.18427118540634,16,6.49500945206258,11,4.13476947844667,0.324153730278952,0.679720523771481,4.54804515296877,11.5809895042002,11.6489991462307,3.28875584611306,4.54804515296877,8,2,1.03820840526592,0,9.45208245579432,16.9626604737344,0.139700028765849,0.111805810959912,5.96385034750774,4,0,0,-3.79542239382587,7.82184840899218,6,25.1449270324178,-0.17009504117066,1,5.300162274132754
11,2.08490830692647,0.143091485721548,3.90682234904245,3.87254010311743,26.7842586735816,5.81190257626986,5.23464085869018,0.786733808017493,1.6541474936615,1.94687157595382,4.1842625894073,16,8.66883721531779,11,4.13483276261313,0.318496381162543,0.679748552911053,4.64917308397103,11.6181335429787,11.7050866714065,3.28875685527402,4.64917308397103,9,4,1.0382470443039,1,9.49009111232035,17.0628916126264,0.137309346712098,0.158243290345068,5.70578897805961,5,0,0,-4.20660340125387,9.51900064946576,7,25.1449270324178,-0.143096641039822,1,5.896196279044043
9,2.08691350922283,0.134307147447364,3.90773327459922,3.87355301843376,24.6441829697795,5.81317139359221,10.5172750657341,0.654286438406357,1.70767979137926,1.95693910680322,4.1851027616627,20,14.1338281500659,9,4.13611027358504,0.248988962168937,0.951944081670218,4.91811089292111,11.1881161202582,11.2382001101357,3.30332449944171,4.91811089292111,9,7,1.5,0,9.54007768520855,17.0491619959079,0.138028652268907,0.12057761732852,4.85353954112628,4,0,0,1.79236619038414,14.9084911482236,6,70.0252668454551,0.346089824918613,0,5.152427340857888
9,2.08794321269317,0.115396358000517,3.90947376821854,3.87582010879288,25.2700951566376,5.81591053382654,11.7521165834648,1.32457810375269,1.8643994809495,1.96087958196653,4.18580476863687,19,3.90717279649051,8,4.13715317494677,0.328382050177513,1.04238411404935,5.51054217360109,11.7556157500785,11.8324372108817,3.41846638663548,5.51054217360109,12,7,1.51456297864279,0,9.66824563375409,17.1565471386281,0.146485106468953,0.168248772504092,13.7012334898447,5,0,0,4.4789804371963,17.1860347178009,6,114.905606658493,-0.0749660645619357,0,5.079876673709276
15,2.09898601626382,0.0959822119974778,3.92009640971864,3.88980456299471,46.5502738906591,5.81414767986047,17.5899411596486,1.50118679489295,2.16993348096179,1.96618249118858,4.19672464017812,28,79.137815023977,14,4.15258409381371,0.579526958931565,1.22094167088036,6.38210842523171,17.7471200364215,17.8907702348565,3.47637291357998,6.38210842523171,11,7,1.79144515127677,0,9.78455233241665,17.1703828059774,0.104823562000272,0.122715404699739,53.3626446175592,6,12,0,-3.78836523113274,18.8185357728328,10,95.1701938778729,0.276865232255014,0,5.634512015109101
13,2.09964145368162,0.130249133270545,3.9204378717805,3.89016177419709,35.6719857877494,5.814826737443,11.3078691581436,1.55696247010855,2.13628439574805,1.96921978562015,4.19680186351573,32,24.7997013784712,11,4.15293818944346,0.586961458189117,1.2181864050697,6.32925033821234,14.4563282232166,14.6815683511649,3.44994120017251,6.32925033821234,10,10,1.79111144475153,0,9.75445819352454,17.0871315664471,0.108872017050191,0.0872885979268958,40.2421346293411,5,32,0,-2.20910017104209,22.5400705912207,9,106.170081765479,0.199148773305273,0,4.522878745280337
13,2.09963830267315,0.130412421036889,3.92037583929875,3.89009636705327,39.9410141605182,5.81470678117088,11.5072881870278,1.86106589090478,2.18747228696499,1.96924880068132,4.19679339203842,31,15.979599105044,10,4.15291842123682,0.824673029975919,1.15877804075697,6.49417609521297,17.2921011561346,17.4404154347628,3.46218750543323,6.49417609521297,10,11,1.68625927791635,0,9.7544495501702,17.0810308304892,0.108612063131235,0.0872885979268958,55.3681448295108,5,34,0,-0.912137022392736,22.6531495418851,8,106.170081765479,-0.0307207240426112,0,4.672028376376989
9,2.08635950387746,0.160380919819661,3.90700026330762,3.87266572847961,20.6346846679517,5.8121775097366,4.32809757838478,0.670808226395359,1.54687440356713,1.95456125147942,4.18456767792944,19,0.588299865331115,8,4.13537406950618,0.238332163160042,0.679372395777045,3.67142699205507,8.80372164679005,9.00158065891688,3.25904685571373,3.67142699205507,6,7,1.03778780875448,0,9.39309379155327,16.9611792477179,0.154665895859612,0.0619718309859155,0.913983428514016,3,0,0,-3.32304285771375,12.3876348862138,6,25.1449270324178,-0.0696197769992576,0,6.070581074285707
9,2.08646359850713,0.146777119096961,3.90800075443205,3.87384900224309,21.0868522344094,5.81373161063582,8.69496014814417,0.670478590736808,1.64066676710757,1.95261233321547,4.18472902531285,19,9.0473085894016,8,4.13567972215277,0.233284027903281,0.679555464206985,4.43901142022849,9.52831979825415,9.64137966066694,3.26584838782235,4.43901142022849,8,5,1.03801325024519,0,9.49006236358114,17.0662186230882,0.149044101289509,0.105182341650672,0.996412370214759,5,0,0,-2.16966092613865,13.1398414617607,5,55.0651535744427,-0.125016859715146,0,5.139063379299906
9,2.08645048357548,0.14938087488123,3.90778671494238,3.87359985686202,21.4501850711874,5.81334172719985,9.26518578522327,0.695649360055718,1.76974365320093,1.95275635981431,4.18471358647395,19,11.0852634761887,8,4.13564826919976,0.237844444126045,0.679403724797583,4.96257486685741,10.0479959333218,10.1611236005454,3.26538899806592,4.96257486685741,8,4,1.03783066094159,0,9.48919738565239,17.0344274510126,0.147285241235982,0.105182341650672,4.56220093602019,5,0,0,-7.90466114214382,12.0244146519013,6,55.0651535744427,0.0106355824522343,0,6.337242168318426
