P_VSA_ppp_hal,SM06_EA(ri),SM05_AEA(ed),SM11_AEA(ed),Mor25m,Mor31v,E2s,HATS4p,DP15,nRCONR2,H-052,O-058,B10[O-Cl],F08[S-Cl],F10[O-F],Hypertens-80,CATS3D_04_LL,CATS3D_10_LL,CATS3D_11_LL,alvo
0.0,7.69301885008128,10.7796851908438,21.7636147046555,-0.427375355726043,0.434883585617453,0.606040492583989,0.123508925796392,7.23853488262973,0,4,2,0,0,0,1,4,4,1,6.6595558851598815
104.720792897087,8.15603082834156,11.4113909541459,22.6652092131797,0.429527326611628,0.102151043144721,0.634197324114533,0.0950762286818454,8.5916644358487,0,0,2,0,0,5,0,4,4,1,7.744727494896693
44.8803398130374,7.84790198087592,11.0363241185762,22.4312161846693,0.614829245153309,0.123444099085967,0.37267061109329,0.111770050228382,7.52509623928355,0,2,2,0,0,3,1,2,1,0,7.769551078621726
74.8005663550623,7.99261472604115,11.2477743207583,22.406867286519,0.518634121490695,0.199439129908497,0.525013789615724,0.107519684539628,7.29580699695499,0,2,2,0,0,7,0,5,1,0,8.481486060122112
89.7606796260748,8.14677406109831,11.3708663861964,22.8007381713847,0.638718170508628,0.19877962500258,0.450048649343156,0.10625920298548,7.40553589580795,0,2,2,0,0,3,1,2,1,0,8.187086643357144
39.148644061782,8.21734179620877,11.1343116135127,22.6382081818988,0.0769398403464752,0.115363842477759,0.358672817007676,0.130376999086197,7.2811757750057,0,1,2,0,0,0,1,10,10,0,9.259637310505756
29.9202265420249,7.82692466435472,10.9681810480006,22.1513377888989,-0.168171146175375,0.387497599418557,1.02022839686899,0.124337368254756,7.19130021084741,0,4,2,0,0,0,1,4,4,1,7.251811972993799
0.0,7.88520887612314,10.9300845496611,22.0219829538222,0.184785854091181,0.288160452991,0.416801794807693,0.115249150162724,7.4202121850275,0,2,2,0,0,0,1,7,1,0,7.455931955649724
74.8005663550623,8.00718439728739,11.246809170433,22.457320026772,0.455585756923453,0.0434333055567145,0.55640621902489,0.101274537215429,7.29004348191749,0,2,2,0,0,3,1,2,1,0,8.327902142064282
29.9202265420249,8.06409764383791,11.0610760463045,22.2998749558182,-0.138205172845435,0.370209950588817,0.614724714542891,0.111438489635214,6.4543125452358,0,0,2,0,0,0,1,6,2,0,8.267606240177031
59.8404530840499,8.00167893986006,11.2016471786633,22.5903867314156,0.608851289519395,0.335583304819782,0.276834170593116,0.118939379114581,7.48304687111772,0,6,2,0,0,3,1,5,1,0,7.853871964321762
39.148644061782,7.53313843913684,10.6572358252239,21.7262620674008,0.172237605014663,0.11432694898394,0.608351535785987,0.178884273555748,7.50253946867946,0,2,2,0,0,0,1,4,1,0,5.0
44.8803398130374,8.15532436143032,11.1875415253344,22.538612517302,0.237766926410202,0.158086117367731,0.490993070300468,0.115763559595148,7.34563877053553,0,2,2,0,0,3,0,7,1,0,6.027334407733889
29.9202265420249,7.7744470915726,10.9003070277955,21.9439709355045,0.231638424273095,0.198033060618632,0.441681195119234,0.110775945762847,7.31711332653995,0,2,2,0,0,2,1,2,1,0,6.311580177997289
0.0,7.77807750155191,10.8359468655719,21.9026727957242,0.121684579647492,0.203580283883151,0.399923842526694,0.12432341735694,7.30916211218426,0,2,2,0,0,0,1,3,1,0,6.189767482004916
74.8005663550623,8.08770445843051,11.3150475327785,22.6967056311733,0.79302748251449,0.325676394367143,0.30968068885913,0.11977865594646,7.77231414506987,0,2,2,0,0,7,1,6,1,0,8.853871964321762
44.8803398130374,8.00082365787508,11.1845463901863,22.5370464868367,0.485376122661722,0.169022357624241,0.275470906710873,0.114093031030849,7.45520894512876,0,2,2,0,0,3,1,2,1,0,7.823908740944319
