RDF040s,CATS2D_08_DD,CATS2D_08_DP,CATS2D_00_PP,B07[C-S],B09[N-Cl],B10[C-F],F08[C-S],Ui,CATS3D_04_DA,CATS3D_03_AP,alvo
63.994223194182,1,0,0,0,0,1,0,4.08746284125034,0,0,5.13430394008393
42.4955157357257,1,1,1,0,0,0,0,3.70043971814109,0,1,5.563837352959244
61.7266772744734,1,0,0,0,0,1,0,4.08746284125034,0,0,5.935542010773082
65.3320656579806,1,0,0,0,0,1,0,4.08746284125034,0,0,6.346787486224656
96.3222733673633,1,0,0,0,0,1,0,4.08746284125034,0,0,4.633017024022149
68.2673864109974,1,0,0,0,0,1,0,4.08746284125034,0,0,5.739928612014925
73.3093211653961,1,0,0,0,0,1,0,4.08746284125034,0,0,5.790484985457369
97.6422474246978,1,0,0,0,1,1,0,4.08746284125034,0,0,6.180456064458132
96.2294859167109,1,0,0,0,0,1,0,4.08746284125034,0,0,4.522878745280337
84.696196440785,1,0,0,0,0,1,0,4.08746284125034,0,0,5.554395796726403
68.7348661893414,1,0,0,0,0,1,0,4.08746284125034,0,0,5.7447274948966935
79.8792827512276,1,0,0,0,0,1,0,4.08746284125034,0,0,4.897223385116559
52.8066441255373,1,0,0,0,0,0,0,4.08746284125034,0,0,5.150580586203101
90.9841036996251,1,0,0,0,1,1,0,4.08746284125034,0,0,6.045757490560675
86.3309511391627,1,0,0,0,0,1,0,4.08746284125034,0,0,5.939302159646388
58.6491587689341,1,0,0,0,0,1,0,4.08746284125034,0,0,5.563837352959244
74.0613201890771,1,0,0,0,0,1,0,4.08746284125034,0,0,6.958607314841775
56.8754274574691,1,0,0,0,0,1,0,4.08746284125034,0,0,6.3872161432802645
71.0637960824674,1,0,0,0,1,1,0,4.08746284125034,0,0,6.096910013008056
94.2987680298635,1,0,0,0,0,1,0,4.08746284125034,0,0,7.397940008672037
84.8816376912976,1,0,0,0,0,1,0,4.08746284125034,0,0,5.543633966870957
83.4359001847128,1,0,0,0,0,1,0,4.08746284125034,0,0,5.892790030352131
79.0505460551061,1,0,0,0,0,1,0,4.08746284125034,0,0,5.795880017344075
36.8266861877035,1,0,0,0,0,0,0,4.08746284125034,0,0,5.197226274708024
48.058704303807,1,0,0,0,0,1,0,4.08746284125034,0,0,4.522878745280337
47.8624046214353,1,0,0,0,0,1,0,4.08746284125034,0,0,5.769551078621726
45.3415649197254,1,0,0,0,0,1,0,4.08746284125034,0,0,4.522878745280337
59.6540208356049,1,0,0,0,0,1,0,4.08746284125034,0,0,4.522878745280337
83.2603715725661,1,0,0,0,0,1,0,4.08746284125034,0,0,5.935542010773082
78.4262997738873,1,0,0,0,0,1,0,4.08746284125034,0,0,6.251811972993799
77.6270409583704,1,0,0,0,0,1,0,4.08746284125034,0,0,5.756961951313706
93.0347975164646,1,0,0,0,0,1,0,4.08746284125034,0,0,8.0
94.4853146172214,1,0,0,0,0,1,0,4.08746284125034,0,0,6.259637310505756
78.3352711478521,1,0,0,0,0,1,0,4.08746284125034,0,0,6.050609993355088
89.6299445460917,1,0,0,0,0,1,0,4.08746284125034,0,0,5.889410289700751
76.6962226518857,1,0,0,0,0,1,0,4.08746284125034,0,0,6.008773924307505
62.1091510530037,1,0,0,0,0,1,0,4.08746284125034,0,0,6.309803919971486
73.2745525887347,1,0,0,0,0,1,0,4.08746284125034,0,0,5.966576244513051
36.3407228382668,1,0,0,0,0,0,0,4.08746284125034,0,0,4.522878745280337
41.3117426684898,1,0,0,0,0,1,0,4.08746284125034,0,0,5.100179497572904
81.5527852757154,1,0,0,0,0,1,0,4.08746284125034,0,0,7.221848749616356
76.6044561685064,1,0,0,0,0,1,0,4.08746284125034,0,0,6.337242168318426
91.4522663139277,1,0,0,0,1,1,0,4.08746284125034,0,0,5.609064892896621
81.2482582309475,1,0,0,0,0,1,0,4.08746284125034,0,0,5.987162775294828
