SpMin1_Bh(p),F05[C-N],F04[N-O],nArCO,F10[N-Cl],alvo
2.08728002724137,7,0,0,0,4.997402019280091
2.08647931227245,7,0,0,0,4.861697301833718
2.08651415006922,8,0,0,0,5.85078088734462
2.08769753705472,9,0,0,0,6.086186147616283
2.08647003622582,7,0,0,0,6.366531544420414
2.08656870304183,7,0,0,0,5.4156687756324695
2.09305075387095,13,1,0,1,5.966576244513051
2.09301384624112,12,1,0,1,5.823908740944319
2.09161171450811,15,1,0,0,5.425968732272281
2.09324728909685,16,1,0,0,6.356547323513813
2.08668915621692,7,0,0,0,5.812479279163537
2.093654664768,12,1,0,1,6.251811972993799
2.09502005934863,14,1,0,1,5.935542010773082
2.09385106569626,13,1,0,1,5.943095148663527
2.09246748562478,15,1,0,0,6.022276394711152
2.09299346952684,12,1,0,1,6.356547323513813
2.09244823997926,15,1,0,0,5.421360790031928
2.09422151040059,17,1,0,0,6.920818753952375
2.09229262573043,15,1,0,0,5.85078088734462
2.09243623032813,15,1,0,0,5.7121982700697735
2.09123414170093,15,1,0,0,7.522878745280337
2.09470000639501,14,1,0,1,5.785156151952302
2.09920015290761,9,0,0,2,4.522878745280337
2.0994241493746,9,0,0,1,5.094743951251549
2.09927559450978,9,0,0,2,5.13430394008393
2.08794145987161,8,0,0,0,5.563837352959244
2.09283659612082,12,1,0,1,5.935542010773082
2.09297577905092,12,1,0,1,6.346787486224656
2.09162207236245,12,1,0,1,4.633017024022149
2.09315556474637,13,1,0,0,5.739928612014925
2.09329160306068,13,1,0,0,5.790484985457369
2.0922263947321,13,1,0,0,6.180456064458132
2.09218740119937,13,1,0,0,4.522878745280337
2.09312502937637,13,1,0,0,5.554395796726403
2.09252115135988,13,1,0,0,5.7447274948966935
2.09405637219457,14,1,0,0,4.897223385116559
2.09956922025163,9,0,0,1,5.150580586203101
2.09188505279968,12,1,0,1,6.045757490560675
2.0918104571356,12,1,0,1,5.939302159646388
2.093128232789,15,1,0,0,5.563837352959244
2.0945533137629,17,1,0,0,6.958607314841775
2.09333860058524,16,1,0,0,6.3872161432802645
2.09250978605232,16,1,0,0,6.096910013008056
2.09215283495727,13,1,0,0,7.397940008672037
2.0926470541677,13,1,0,0,5.543633966870957
2.09175610488989,15,1,0,0,5.892790030352131
2.09395705442434,13,1,0,0,5.795880017344075
2.09938233441598,9,0,0,0,5.197226274708024
2.09988921613502,10,0,0,0,4.522878745280337
2.0998383859168,9,0,0,0,5.769551078621726
2.09991777308681,10,0,0,0,4.522878745280337
2.09965997635001,10,0,0,0,4.522878745280337
2.0922558099583,15,1,0,0,5.935542010773082
2.09325706699376,16,1,0,0,6.251811972993799
2.09313356134136,15,1,0,0,5.756961951313706
2.09456508418728,17,1,0,0,8.0
2.09528030953292,15,1,0,0,6.259637310505756
2.09231636091756,12,1,0,1,6.050609993355088
2.09184591237346,12,1,0,1,5.889410289700751
2.09280371723642,12,1,0,1,6.008773924307505
2.09218640060216,12,1,0,1,6.309803919971486
2.09376289501069,13,1,0,1,5.966576244513051
2.09958922659715,9,0,0,0,4.522878745280337
2.09963352848223,9,0,0,0,5.100179497572904
2.09334837401139,16,1,0,0,7.221848749616356
2.09414241529169,14,1,0,0,6.337242168318426
2.09336158898645,14,1,0,0,5.609064892896621
2.09332913109663,13,1,0,0,5.987162775294828
