SpMin1_Bh(p),F05[C-N],TPSA(Tot),B10[C-S],RTp,RDF040s,alvo
2.09242824118356,15,100.42,0,11.7511654189251,52.8778511853257,5.235077015350112
2.09103003531457,15,100.42,0,13.2525746740721,82.5436854658127,6.769551078621726
2.0913009199319,15,100.42,0,13.0673430895395,77.146461242986,5.723538195826756
2.09122472469306,15,100.42,0,13.2409344031715,73.9005786153484,7.221848749616356
2.0917472751288,15,100.42,0,12.3607489364271,64.399920455432,5.809668301829708
2.09126142626994,15,100.42,0,13.1401550423337,75.8669127882939,6.4089353929735005
2.09224919650276,15,100.42,0,12.6370198371207,64.2928559245725,5.703334809738469
2.08706497115682,8,85.31,0,10.1476537579762,40.0861697393932,5.671620396561262
2.08728002724137,7,94.54,0,10.943631748525,48.5336456306034,4.997402019280091
2.08647931227245,7,94.54,0,10.6782773036549,51.2092140771311,4.861697301833718
2.08651415006922,8,85.31,0,10.7900147547127,54.2605578002225,5.85078088734462
2.08769753705472,9,85.31,0,10.7905553566942,37.0587826223227,6.086186147616283
2.08647003622582,7,94.54,0,10.1652174277955,37.0636932883926,6.366531544420414
2.08656870304183,7,103.77,0,10.6157090330709,47.4853876846672,5.4156687756324695
2.09305075387095,13,88.39,0,13.2606255006732,84.9659359998884,5.966576244513051
2.09301384624112,12,97.62,0,12.5858426660958,75.1132769014461,5.823908740944319
2.09161171450811,15,100.42,0,12.8910970050375,48.3182269614124,5.425968732272281
2.09324728909685,16,100.42,0,11.7969358512125,59.5053118482422,6.356547323513813
2.08668915621692,7,113.0,0,10.9623982662604,54.1858605613292,5.812479279163537
2.093654664768,12,88.39,0,12.6607448969507,72.4395451952509,6.251811972993799
2.09502005934863,14,88.39,0,12.3837575390111,87.8416119790319,5.935542010773082
2.09385106569626,13,88.39,0,12.6013499267676,70.7120135599624,5.943095148663527
2.09246748562478,15,109.65,0,11.8888677601567,61.2405518292793,6.022276394711152
2.09299346952684,12,97.62,0,12.5831211252635,66.9588885567262,6.356547323513813
2.09244823997926,15,109.65,0,11.8306736598822,53.1352424209867,5.421360790031928
2.09422151040059,17,100.42,0,12.1697991107066,53.255731046878,6.920818753952375
2.09229262573043,15,100.42,0,12.2845647198911,66.8223625684559,5.85078088734462
2.09243623032813,15,100.42,0,12.0631197549364,71.8544348267694,5.7121982700697735
2.09123414170093,15,100.42,0,13.4069619426625,92.8227573046391,7.522878745280337
2.09470000639501,14,88.39,0,13.0713235725743,65.6687839367422,5.785156151952302
2.09920015290761,9,75.5,0,14.0302324206653,76.2387655157995,4.522878745280337
2.0994241493746,9,75.5,0,13.2112883001512,53.0316759127562,5.094743951251549
2.09927559450978,9,75.5,0,13.8551982534146,63.994223194182,5.13430394008393
2.08794145987161,8,85.31,0,11.0518011092518,42.4955157357257,5.563837352959244
2.09283659612082,12,88.39,0,12.7983626338942,61.7266772744734,5.935542010773082
2.09297577905092,12,88.39,0,12.6468574143132,65.3320656579806,6.346787486224656
2.09162207236245,12,88.39,0,13.9597527646991,96.3222733673633,4.633017024022149
2.09315556474637,13,88.39,0,12.7343868629153,68.2673864109974,5.739928612014925
2.09329160306068,13,88.39,0,12.7791842212109,73.3093211653961,5.790484985457369
2.0922263947321,13,88.39,0,13.9513213580029,97.6422474246978,6.180456064458132
2.09218740119937,13,88.39,0,14.125878340814,96.2294859167109,4.522878745280337
2.09312502937637,13,88.39,0,13.3325892257949,84.696196440785,5.554395796726403
2.09252115135988,13,88.39,0,13.6688960517073,68.7348661893414,5.7447274948966935
2.09405637219457,14,88.39,0,12.5716196791561,79.8792827512276,4.897223385116559
2.09956922025163,9,75.5,0,13.3299238443351,52.8066441255373,5.150580586203101
2.09188505279968,12,88.39,0,13.9767302861453,90.9841036996251,6.045757490560675
2.0918104571356,12,88.39,0,14.1751409211436,86.3309511391627,5.939302159646388
2.093128232789,15,100.42,0,11.8834090421318,58.6491587689341,5.563837352959244
2.0945533137629,17,100.42,0,11.6144911133785,74.0613201890771,6.958607314841775
2.09333860058524,16,100.42,0,11.7074700482584,56.8754274574691,6.3872161432802645
2.09250978605232,16,100.42,0,12.3724599701744,71.0637960824674,6.096910013008056
2.09215283495727,13,88.39,0,14.2185316913461,94.2987680298635,7.397940008672037
2.0926470541677,13,88.39,0,13.1727103885454,84.8816376912976,5.543633966870957
2.09175610488989,15,100.42,0,12.6743913471679,83.4359001847128,5.892790030352131
2.09395705442434,13,88.39,0,12.9226304256788,79.0505460551061,5.795880017344075
2.09938233441598,9,75.5,0,13.7646182522448,36.8266861877035,5.197226274708024
2.09988921613502,10,75.5,0,12.5530729295951,48.058704303807,4.522878745280337
2.0998383859168,9,75.5,0,12.6208008240046,47.8624046214353,5.769551078621726
2.09991777308681,10,75.5,0,12.4461749064383,45.3415649197254,4.522878745280337
2.09965997635001,10,75.5,0,13.1546408981605,59.6540208356049,4.522878745280337
2.0922558099583,15,100.42,0,12.9493505409918,83.2603715725661,5.935542010773082
2.09325706699376,16,100.42,0,12.122566451361,78.4262997738873,6.251811972993799
2.09313356134136,15,100.42,0,12.1969439739523,77.6270409583704,5.756961951313706
2.09456508418728,17,100.42,0,11.9715425350154,93.0347975164646,8.0
2.09528030953292,15,88.39,0,12.440915905822,94.4853146172214,6.259637310505756
2.09231636091756,12,88.39,0,13.1776433982438,78.3352711478521,6.050609993355088
2.09184591237346,12,88.39,0,13.9271386901182,89.6299445460917,5.889410289700751
2.09280371723642,12,88.39,0,13.5347469837903,76.6962226518857,6.008773924307505
2.09218640060216,12,88.39,0,13.6596918383291,62.1091510530037,6.309803919971486
2.09376289501069,13,88.39,0,12.6300370624049,73.2745525887347,5.966576244513051
2.09958922659715,9,75.5,0,12.7782417537157,36.3407228382668,4.522878745280337
2.09963352848223,9,75.5,0,12.5816054469836,41.3117426684898,5.100179497572904
2.09334837401139,16,100.42,0,12.0766436890711,81.5527852757154,7.221848749616356
2.09414241529169,14,88.39,0,12.5909725632741,76.6044561685064,6.337242168318426
