F03[C-N],F05[C-N],MATS7e,ATSC3i,R5m+,alvo
15,12,-0.0944494675238047,1.56653077741818,0.024983042479934,5.133122185662502
15,12,-0.0890702153673055,1.54092234396364,0.0416529833255267,4.799149501908922
15,12,0.0548350519348902,1.54557594396364,0.0251076364817133,5.350665141287858
15,12,0.262704235239092,1.95438801285375,0.0250423705353321,5.367542707815276
15,13,-0.0673589243461593,1.95438801285375,0.02544249942523,5.521433504406157
15,12,0.349551748887826,2.39292542779091,0.0243090517566936,5.681936665037238
11,10,0.196567273899158,1.32640344599773,0.0180661026083053,5.36251027048749
11,10,0.145935922995475,1.23256508734694,0.0525643667560749,5.333482019445119
11,10,0.361044671808442,1.60586982,0.0244262764081323,5.281498311132726
11,11,-0.0672496908557104,1.60586982,0.0171296058781037,5.958607314841775
11,10,0.432432494132516,2.0726225459375,0.0303672910465723,5.042871802323187
11,10,0.43145225049945,1.57590337654321,0.0223317212026052,4.9503943874050265
11,11,0.0340010184341873,1.31378247395555,0.0173491615491057,5.568636235841013
11,10,0.176509347445275,1.2958017858034,0.0166819579658484,5.522878745280337
14,15,0.0520294032455772,1.89118933145405,0.0274007024434695,5.701146923590294
14,15,0.0910459308515937,2.16772316491084,0.0443394875022327,5.235077015350112
14,15,0.112279565428463,1.84593736766804,0.0903018393088201,6.769551078621726
14,15,0.0502634536243254,1.84858637507544,0.0629983553331303,5.723538195826756
14,15,0.0901950055968374,1.84545037507544,0.0828769178944364,7.221848749616356
14,15,0.0348963516685754,1.98783205162895,0.0620990121251509,5.809668301829708
14,15,0.0520486302182421,1.94599923352195,0.0825366248913874,6.4089353929735005
14,15,-0.0012108850597099,1.94707631930748,0.060835409502476,5.703334809738469
9,8,-0.0542163905901865,1.74891701292591,0.0223069978356776,5.671620396561262
9,7,-0.111234880075856,1.31089257863739,0.0221289318967195,4.997402019280091
9,7,0.271746767904635,1.39161411799587,0.0297334468306879,4.861697301833718
9,8,-0.0542139401560201,1.52421946345051,0.0224510806273744,5.85078088734462
9,9,0.040935544605941,1.32282508210775,0.0213334652587693,6.086186147616283
9,7,0.0087977217499342,1.39161411799587,0.0265910762430865,6.366531544420414
9,7,-0.0670918820663056,1.29469042109375,0.0168524111303637,5.4156687756324695
12,13,-0.102887861042664,1.95898791816529,0.0455390562715366,5.966576244513051
12,12,0.131335046232242,1.8338244871875,0.0484622689123023,5.823908740944319
14,15,0.0371386621571832,1.89075558528121,0.0756179782649429,5.425968732272281
14,16,-0.0119731804511344,2.27354576501693,0.0220345735784174,6.356547323513813
9,7,-0.0706642967140626,1.36105099305843,0.0171456967621415,5.812479279163537
12,12,0.175688136129463,1.98908296609917,0.0413643681083579,6.251811972993799
