SpMin1_Bh(p),F06[C-C],F05[C-N],SpMin4_Bh(s),alvo
2.09243623032813,24,15,0.92143683217185,5.7121982700697735
2.09123414170093,24,15,0.922558146688082,7.522878745280337
2.09470000639501,29,14,0.924209058483488,5.785156151952302
2.09920015290761,31,9,1.01454712411897,4.522878745280337
2.0994241493746,31,9,1.01313560727753,5.094743951251549
2.09927559450978,31,9,1.01255065072381,5.13430394008393
2.08794145987161,21,8,0.74673288607197,5.563837352959244
2.09283659612082,27,12,0.921261927808,5.935542010773082
2.09297577905092,27,12,0.919704485715667,6.346787486224656
2.09315556474637,28,13,0.92204487464106,5.739928612014925
2.09329160306068,28,13,0.920467277191325,5.790484985457369
2.0922263947321,28,13,0.921542639605282,6.180456064458132
2.09312502937637,28,13,0.924555859420966,5.554395796726403
2.09252115135988,28,13,0.922194058006857,5.7447274948966935
2.09956922025163,31,9,1.0180234426084,5.150580586203101
2.09188505279968,27,12,0.920764109826483,6.045757490560675
2.0918104571356,27,12,0.9207953454798,5.939302159646388
2.093128232789,24,15,0.92398812632003,5.563837352959244
2.0945533137629,26,17,0.924481289050644,6.958607314841775
2.09333860058524,25,16,0.923290798073472,6.3872161432802645
2.09250978605232,25,16,0.923652167487331,6.096910013008056
2.0926470541677,28,13,0.920999613346676,5.543633966870957
2.09175610488989,24,15,0.921977353846175,5.892790030352131
2.09395705442434,28,13,0.923201923272279,5.795880017344075
2.09938233441598,31,9,1.01564461007325,5.197226274708024
2.09988921613502,32,10,1.01693837991537,4.522878745280337
2.09991777308681,32,10,1.01633447842948,4.522878745280337
2.09965997635001,32,10,1.01681282225111,4.522878745280337
2.0922558099583,24,15,0.925560738836049,5.935542010773082
2.09325706699376,25,16,0.924053370555868,6.251811972993799
2.09313356134136,24,15,0.924201720847501,5.756961951313706
2.09456508418728,26,17,0.92469589126923,8.0
2.09528030953292,30,15,0.923690168799914,6.259637310505756
2.09231636091756,27,12,0.920227882757108,6.050609993355088
2.09184591237346,27,12,0.919920723109514,5.889410289700751
2.09280371723642,27,12,0.923750596827762,6.008773924307505
2.09218640060216,27,12,0.921408311136148,6.309803919971486
2.09376289501069,28,13,0.922258790362865,5.966576244513051
2.09958922659715,31,9,1.01516018183196,4.522878745280337
2.09963352848223,31,9,1.01083281835968,5.100179497572904
2.09334837401139,25,16,0.923502318983274,7.221848749616356
2.09414241529169,29,14,0.922507109511098,6.337242168318426
2.09336158898645,29,14,0.922866157116698,5.609064892896621
2.09332913109663,28,13,0.921900041638532,5.987162775294828
