F06[C-C],F03[C-N],TPSA(Tot),RNCG,F05[C-N],RDF060p,B05[N-O],RDF025p,Mor20v,VE1sign_B(m),R8p+,alvo
24,14,100.42,0.080793976901747,15,10.5179062826225,1,28.4740177410911,2.20344094350313,0.134357991065831,0.006878976919667,5.756961951313706
26,14,100.42,0.0725489231451442,17,12.8717530753109,1,30.6449525863387,2.34103401510051,0.149100991122837,0.008138695742813,8.0
30,12,88.39,0.076693175081904,15,11.8091547052838,1,32.0545249957174,2.10968355691698,0.161705953237222,0.009171427487119,6.259637310505756
27,12,88.39,0.105426745819386,12,7.6537768254189,1,25.6534785821932,1.75626856769341,0.145846640483417,0.0112282626975519,6.050609993355088
27,12,88.39,0.104088040628961,12,7.63284290182932,1,25.5784655910669,1.77314921817803,0.1229354947578,0.0161848216703481,5.889410289700751
27,12,88.39,0.109074109765944,12,7.77835418570585,1,27.649679172221,1.73641378332812,0.150635029094487,0.0136494194786597,6.008773924307505
27,12,88.39,0.111090198931021,12,7.66979574536326,1,25.5271872118723,1.61447909586957,0.149158102586379,0.0111864036614884,6.309803919971486
28,12,88.39,0.0948630583449304,13,8.24889875998062,1,27.8707884551453,1.87582944207909,0.149139753380064,0.0114168788877753,5.966576244513051
31,13,75.5,0.121122175946141,9,7.70245509692679,1,27.6415305681005,1.75495610817177,0.14624484312865,0.010207905995535,4.522878745280337
31,13,75.5,0.113889203535103,9,8.16319833921197,1,27.4736115204898,1.85331920203399,0.114126408795855,0.0100623816059352,5.100179497572904
25,14,100.42,0.0783298831318575,16,11.9043180417552,1,28.5871595856829,2.30841965857731,0.187671317169081,0.0091622079934164,7.221848749616356
29,12,88.39,0.0831829972560538,14,9.45205359619782,1,29.9544081316985,1.80158487482588,0.199534692868672,0.0102399486747466,6.337242168318426
29,12,88.39,0.0856529186970186,14,11.4202685568274,1,29.7584989073715,2.04731476256592,0.186714748708633,0.010695331119481,5.609064892896621
28,12,97.62,0.110358521598692,13,10.9145120896344,1,28.911754606658,1.86658698668954,0.143322170541727,0.0082289656374165,5.987162775294828
