F03[C-N],HOMA,L1p,L1v,SpMin1_Bh(p),RNCG,H6v,P_VSA_p_2,H6p,TPSA(NO),SpMax_B(v),Tp,Eig07_EA,SM15_AEA(bo),H4s,SpMax_B(p),SpDiam_B(p),TPSA(Tot),HOMT,H6i,RDF115v,SpMax1_Bh(i),RDF060p,F05[C-N],Eig07_EA(ed),SpMax5_Bh(i),F06[C-N],RDF145s,DP15,H7v,SM02_AEA(ri),H7u,L1u,Eig06_AEA(bo),DP18,DP17,DP16,DP20,DP19,Eig12_EA(ri),R3s,CATS3D_09_DL,SpDiam_RG,nCIR,RDF085v,SM15_EA(ri),R7u+,VE3sign_RG,SM02_AEA(ed),SpMAD_G,SM5_Dt,R5p+,R1s+,alvo
9,0.7521839904,19.5591124169791,20.6782578714763,2.08794321269317,0.115396358000517,0.242146236483971,110.910406475419,0.175585200422905,85.31,3.90947376821854,24.0302588886244,1.8643994809495,1.8643994809495,11.7521165834648,3.87582010879288,5.81591053382654,85.31,18.80459976,1.32457810375269,4.36715160679809,4.18580476863687,6.59591062064236,9,5.51054217360109,3.45224192124438,8,3.90717279649051,12.271580551433,0.0613154364859349,5.51054217360109,0.328382050177513,21.3613562064341,3.65323692010694,11.7556157500785,11.9784177596539,12.1512615496731,11.1692000624167,11.4851743374703,1.04238411404935,7.29609470355928,0,4.79632944013729,5,9.91148298794998,17.6070044110399,0.0191059260038727,-3.16493362955846,6.1463292576689,13.1712856279216,29.5611838498066,0.0129295072849078,0.71748798753257,5.079876673709276
15,0.767293484516129,41.4252645210591,41.7683658090263,2.09898601626382,0.0959822119974778,0.367001064359396,122.394117853702,0.37857047477988,87.53,3.92009640971864,46.0971909996826,2.16993348096179,2.16993348096179,17.5899411596486,3.88980456299471,5.81414767986047,87.53,23.78609802,1.50118679489295,8.88453871772025,4.19672464017812,10.3980100251704,12,6.38210842523171,3.5192062657597,14,79.137815023977,17.3275405001416,0.21320043296857,6.38210842523171,0.579526958931565,41.3797550936991,3.72377377756036,17.7471200364215,17.659750794099,17.5208428320602,17.7773314712468,17.785532451705,1.22094167088036,6.24123711657243,1,4.77290813825443,6,9.03873080757478,17.4598752078153,0.0200706717412368,-9.03732534302529,6.22455842927536,17.1801449221783,31.3723937821697,0.013179522442897,0.765055557112447,5.634512015109101
13,0.697954366060606,30.7297110743541,29.8865067090001,2.09964145368162,0.130249133270545,0.363053586660236,115.383255058278,0.361985141263343,84.73,3.9204378717805,36.2762210093564,2.13628439574805,2.13628439574805,11.3078691581436,3.89016177419709,5.814826737443,84.73,23.03249408,1.55696247010855,6.04925023429303,4.19680186351573,8.50258822359166,9,6.32925033821234,3.477976354131,11,24.7997013784712,14.5750918760814,0.159713366299695,6.32925033821234,0.586961458189117,31.3910777082407,3.71255120125298,14.4563282232166,14.5479229383731,14.5884381133365,14.1296671934205,14.3161559857691,1.2181864050697,5.43732677307909,0,4.81080684747431,6,12.0431508918745,17.3381805339679,0.0179866186765988,-8.9363302238406,6.18001665365257,15.6049971009304,31.2039171824721,0.0126636629483619,0.642225424007368,4.522878745280337
13,0.699866145454545,33.7572566556849,35.3387240997859,2.09963830267315,0.130412421036889,0.460210790544213,115.383255058278,0.457988222165116,84.73,3.92037583929875,38.6137705418998,2.18747228696499,2.18747228696499,11.5072881870278,3.89009636705327,5.81470678117088,84.73,23.0955828,1.86106589090478,8.84901700600648,4.19679339203842,7.80135293750855,9,6.49417609521297,3.48613230093219,10,15.979599105044,16.9014278910576,0.268470528987461,6.49417609521297,0.824673029975919,36.418148763379,3.71462947815641,17.2921011561346,17.214926006435,17.0856172523149,17.2998279109371,17.3196415337177,1.15877804075697,5.45311967934437,0,4.80528757063967,6,11.3619440998379,17.3223114927089,0.0170394572779942,-8.81752647485968,6.18001665365257,16.3261026292998,31.1314793449102,0.0116421839752765,0.568297441788826,4.672028376376989
9,0.7521839904,17.1073042839757,16.915393007153,2.08635950387746,0.160380919819661,0.095276482753478,110.910406475419,0.118007011238109,85.31,3.90700026330762,21.0445826639632,1.54687440356713,1.54687440356713,4.32809757838478,3.87266572847961,5.8121775097366,85.31,18.80459976,0.670808226395359,2.16831378707832,4.18456767792944,4.16071149353949,7,3.67142699205507,3.30827630775328,8,0.588299865331115,9.78729049292271,0.0364606052749279,3.67142699205507,0.238332163160042,18.2283464971521,3.1137891597086,8.80372164679005,9.18210038601078,9.51083583811969,7.90724989533565,8.37806007549741,0.679372395777045,4.79727335986278,0,4.72929758050894,5,7.14453275367717,17.0018677743605,0.0226602968907573,-2.7399813720788,5.73979291217923,12.1645246685538,27.7745717545485,0.0153536530896966,0.47817822839099,6.070581074285707
9,0.7521839904,17.0604348137645,17.2891347320739,2.08646359850713,0.146777119096961,0.0973330979808659,110.910406475419,0.116429286193231,85.31,3.90800075443205,21.0118152603815,1.64066676710757,1.64066676710757,8.69496014814417,3.87384900224309,5.81373161063582,85.31,18.80459976,0.670478590736808,2.3005589188337,4.18472902531285,4.33209873170574,7,4.43901142022849,3.31456479369265,8,9.0473085894016,10.3988642054279,0.0390667834016745,4.43901142022849,0.233284027903281,18.249133037548,3.2102293894004,9.52831979825415,9.86904043332458,10.1601125119346,8.70727595897592,9.14034465268985,0.679555464206985,6.5562043685158,0,4.70605947616294,5,8.16185098934314,17.1807358332977,0.0223887978374914,-2.74081276055174,5.85507192220243,12.188291536808,28.3000978950875,0.0151438162009376,1.10197773967995,5.139063379299906
9,0.7521839904,17.0381499057187,17.6237355769322,2.08645048357548,0.14938087488123,0.102234324113711,110.910406475419,0.11715081974346,85.31,3.90778671494238,20.9867591094951,1.76974365320093,1.76974365320093,9.26518578522327,3.87359985686202,5.81334172719985,85.31,18.80459976,0.695649360055718,2.29670448173302,4.18471358647395,4.42620459952364,7,4.96257486685741,3.31422971602805,8,11.0852634761887,10.7820708944303,0.0365053620366297,4.96257486685741,0.237844444126045,18.305509186485,3.23205080756888,10.0479959333218,10.3414439008319,10.5869479801858,9.32573612090379,9.70877596116544,0.679403724797583,6.6728210775189,0,4.70982771393158,5,7.17273899513785,17.0847420770365,0.0225397759394078,-2.74154156412825,5.84932477994686,12.2047455245071,28.2985341265855,0.0152480792976247,0.91676558466898,6.337242168318426
9,0.7521839904,18.5924615047917,18.3887769777102,2.08559786896648,0.158158999834749,0.111661288693662,110.910406475419,0.133448212925967,85.31,3.90858396930357,22.7435141538687,1.54750416536519,1.54750416536519,4.89667602464483,3.87532940866743,5.81507790454784,85.31,18.80459976,0.599931794382521,3.8164349346498,4.18454556882735,5.12700102901298,7,3.67548185366589,3.30785458259484,8,12.3099695256277,10.7028836143204,0.0415195670277218,3.67548185366589,0.202039497590274,18.1424237681099,3.16790312261377,9.92331176894221,10.2321698616336,10.4928888157209,9.17010926196332,9.56860814493659,0.679494040539303,6.15550156590618,0,4.68264517393762,5,6.99230312220049,17.1012123303142,0.0223010864794554,-2.7425634179746,5.86078622346586,12.2413482702851,28.3265872969917,0.0134875454621263,0.509075307719155,6.1938200260161125
9,0.7542146664,19.8640555988824,19.5963509428749,2.08575397895544,0.160350682281801,0.110537785829658,110.910406475419,0.135964704475852,85.31,3.90802894862945,23.8931195782344,1.54755973755737,1.54755973755737,5.32185115388786,3.87435198799505,5.81397275687355,85.31,18.85536666,0.663469189668382,3.55257540634476,4.18454917910097,5.178418320964,7,3.67563296206769,3.3070017141661,8,0.91342174615091,11.3404890054743,0.0449058213976635,3.67563296206769,0.238591580789496,18.5923084219065,3.17913040994756,10.6811479884157,10.9508997421167,11.1715569958242,10.0035204947217,10.3646511143282,0.679478076438323,6.00741465498634,0,4.70183593322051,5,7.44525317741831,17.0337266428652,0.0223462636079363,-2.74177557947264,5.85507192220243,12.3005697809478,28.2751905365969,0.0151220129803046,0.472688262274054,5.91721462968355
9,0.7521839904,18.7900840577715,18.5557573326857,2.08571046051047,0.162565111551043,0.111410663493432,110.910406475419,0.140636098846043,85.31,3.90801363409912,23.0183507889717,1.76974365320093,1.76974365320093,5.70266731870807,3.8742849695196,5.81391888953644,85.31,18.80459976,0.672462382203232,3.15612269224074,4.18454836773497,4.14166144618413,7,4.96257486685741,3.30742249384492,8,0.0090359589160521,11.0522237895125,0.0374603968370327,4.96257486685741,0.238208008864021,18.4225837788897,3.23205080756888,10.406244834094,10.6700929610307,10.8861877432485,9.74334535587634,10.096707304214,0.679397952443448,5.49841886923701,0,4.69742461979775,5,7.17835459047666,17.0378594243722,0.0223311288956027,-2.74244520893679,5.84932477994686,12.2674423341321,28.2985341265855,0.0150644590974651,0.468698582531918,5.531652669587842
13,0.699155518181818,30.3290050523167,29.3795485653636,2.100315590279,0.118869953518586,0.238504374057226,104.383367170671,0.278919414550879,75.5,3.92109234183281,35.9428057914246,1.9359537171361,1.9359537171361,7.10369005342845,3.89116449948565,5.81601962252365,75.5,23.0721321,1.15849118290789,7.69680587263125,4.1974808945453,9.61005386484823,10,5.65005878132736,3.46911256704424,10,25.7569603781625,14.468404490773,0.111931585567879,5.65005878132736,0.436825661245507,31.6051302759722,3.54745723150765,14.3853062057529,14.4652492420164,14.4938443726219,14.0809162692886,14.256454028434,1.05945723085516,4.46365058158951,1,4.98450300688746,6,12.6254332612082,17.5417714246263,0.0168437575476133,-6.03452989257472,6.08904487544685,15.6322020829687,30.5865127193569,0.0121836392742498,0.290395565874233,4.522878745280337
13,0.697954366060606,34.2084990061107,33.3065542851964,2.1001994768437,0.118955393491684,0.310284342318601,104.383367170671,0.358463359725085,75.5,3.92080365542334,39.5124391825243,1.87938524157182,1.87938524157182,7.36979097636664,3.8907874966612,5.8154959316774,75.5,23.03249408,1.61620628320003,6.67547650283844,4.19741013761471,9.27800727333373,11,5.62731081166063,3.471445737029,10,11.1796412883044,15.3292883758378,0.154159181746656,5.62731081166063,0.58131182733428,35.7289595628366,3.59210407561025,15.4338295807095,15.4498793390157,15.4159247621223,15.2610831647602,15.3701761574816,1.09221311702179,4.57247614416954,0,4.9276761996067,6,12.7221955160971,17.4074335193147,0.0176412174289523,-5.06195679201671,6.08449941307517,16.3120397652096,30.5683501888254,0.0122242086246074,0.323457123526809,4.522878745280337
13,0.699492756969697,33.9868223676611,33.3083755131298,2.09968011700452,0.152393647823095,0.465661658823764,126.383142945884,0.549943903086873,93.96,3.92074423531975,39.7774046765621,1.88811566597022,1.88811566597022,7.81912139290617,3.89053710463687,5.81532815018943,93.96,23.08326098,1.91376848437285,11.4732917872972,4.19701884394372,11.2876641803363,9,5.69077803822141,3.47060623088459,11,18.2230596662814,15.7625208129681,0.286894357447442,5.69077803822141,1.12559421388073,35.8348871769329,3.6531556076176,15.9784674803276,15.9573469176927,15.8862182476797,15.8797141781075,15.9518909872609,1.1697190465247,4.72500988795271,0,4.96252371467609,6,13.997980121946,17.3977992458205,0.0149768387727199,-12.5184866102062,6.1246833908942,16.4933129025584,30.9445598352077,0.0109718979050369,0.428268412074384,5.023650020996727
15,0.767664089032258,28.8588145184585,28.0203003380735,2.09889675568643,0.111841114650388,0.271863844806638,122.394117853702,0.300888587054213,87.53,3.91937873087144,36.0665357551637,1.89960488155872,1.89960488155872,8.15890005839556,3.88897037266855,5.81323949554472,87.53,23.79758676,1.23489603015389,6.74056677885334,4.19621195675087,9.27078208213911,12,5.50586654999091,3.49423122128798,13,26.0679169014107,14.7020169189211,0.110263442322131,5.50586654999091,0.431298101311652,28.5392184346257,3.5334303616533,14.7428836492081,14.7793179631331,14.7664845553981,14.5306135820493,14.6593286499248,1.13720557174752,5.00708890834637,1,4.79550946080732,6,11.357736000907,17.1563851505276,0.0183595085816874,-8.4793338415309,6.05208916892442,15.3424997227686,30.6123958374859,0.0136100157854863,0.367860897322639,5.133122185662502
15,0.767664089032258,39.8966232875393,38.9955929726704,2.09881867871683,0.109691432302794,0.453471359683529,122.394117853702,0.488713525922407,87.53,3.91981018620645,44.0616275613313,1.89966166143969,1.89966166143969,8.28238899117894,3.88958856646796,5.81390911129692,87.53,23.79758676,1.62853416831591,9.58641165858474,4.19620298723005,9.41510269247601,12,5.66350972088193,3.49420052434925,13,48.1724664059368,16.633050739736,0.294712204858658,5.66350972088193,0.909651276584125,39.5466742756206,3.54350247407879,16.94050533495,16.8912274078417,16.7896789336443,16.8921743322846,16.940052303579,1.22012504330767,5.88524135144915,1,4.746175600945,6,9.1576251823316,17.1890276093517,0.018513249381949,-8.6016460855913,6.10255859461357,16.6159724705021,30.8354013026195,0.0119444151924256,0.494210704579962,4.799149501908922
