F06[C-C],SpMin1_Bh(p),TPSA(Tot),TPSA(NO),HATS5s,Mor30i,alvo
28,2.09315556474637,88.39,88.39,1.30888880956334,0.114154195239176,5.739928612014925
28,2.09329160306068,88.39,88.39,2.39743294092481,0.187049868240555,5.790484985457369
28,2.0922263947321,88.39,88.39,1.50747444098999,0.124118379390405,6.180456064458132
28,2.09218740119937,88.39,88.39,1.85752837690686,0.24991474064182,4.522878745280337
28,2.09312502937637,88.39,88.39,1.32918353604298,0.234731150149351,5.554395796726403
28,2.09252115135988,88.39,88.39,1.2872875947291,0.172763714227107,5.7447274948966935
29,2.09405637219457,88.39,88.39,1.56000821905643,0.258908602207931,4.897223385116559
31,2.09956922025163,75.5,75.5,0.924890856916657,-0.133656701708268,5.150580586203101
27,2.09188505279968,88.39,88.39,1.40884074470371,-0.0681296187250962,6.045757490560675
27,2.0918104571356,88.39,88.39,1.68956827668223,0.001464748420736,5.939302159646388
24,2.093128232789,100.42,100.42,1.44721832383814,-0.179467475947486,5.563837352959244
26,2.0945533137629,100.42,100.42,1.79335705200551,-0.0453321749050458,6.958607314841775
25,2.09333860058524,100.42,100.42,1.55836876724182,-0.0923574775051688,6.3872161432802645
25,2.09250978605232,100.42,100.42,1.53161968088571,-0.0574049373511171,6.096910013008056
28,2.09215283495727,88.39,88.39,1.83932449067804,0.252331265854332,7.397940008672037
28,2.0926470541677,88.39,88.39,1.54712819547349,0.186397511216325,5.543633966870957
24,2.09175610488989,100.42,100.42,1.41492156009989,-0.131067000227626,5.892790030352131
28,2.09395705442434,88.39,88.39,1.53200659594883,0.210168866691537,5.795880017344075
31,2.09938233441598,75.5,75.5,0.903619035277024,-0.279719428059573,5.197226274708024
32,2.09988921613502,75.5,75.5,1.19188856147603,-0.231586741943873,4.522878745280337
31,2.0998383859168,75.5,75.5,1.17253168667488,-0.213390924440514,5.769551078621726
32,2.09991777308681,75.5,75.5,1.34988691517452,-0.28225930785939,4.522878745280337
32,2.09965997635001,75.5,75.5,1.32492623949931,-0.190867681123899,4.522878745280337
24,2.0922558099583,100.42,100.42,1.26761735861748,-0.107954116643843,5.935542010773082
25,2.09325706699376,100.42,100.42,1.58005696237196,-0.0596962618970854,6.251811972993799
24,2.09313356134136,100.42,100.42,1.48269442422796,-0.128914355019151,5.756961951313706
26,2.09456508418728,100.42,100.42,1.83321403131226,0.0098437637215394,8.0
30,2.09528030953292,88.39,88.39,1.75704335286903,0.315584199205159,6.259637310505756
27,2.09231636091756,88.39,88.39,1.27846017403101,0.0139583768245199,6.050609993355088
27,2.09184591237346,88.39,88.39,1.67422755915347,0.0707804583848297,5.889410289700751
27,2.09280371723642,88.39,88.39,1.14839038191157,-0.0302040023251671,6.008773924307505
27,2.09218640060216,88.39,88.39,1.06161707848992,-0.0362190174232625,6.309803919971486
28,2.09376289501069,88.39,88.39,1.44226626779392,0.042825948798277,5.966576244513051
31,2.09958922659715,75.5,75.5,0.911312447234459,-0.39790339346504,4.522878745280337
31,2.09963352848223,75.5,75.5,1.39341039724696,-0.286487270332077,5.100179497572904
25,2.09334837401139,100.42,100.42,1.74237538758352,-0.06738545890918,7.221848749616356
29,2.09414241529169,88.39,88.39,1.59065355721666,0.238562691672479,6.337242168318426
29,2.09336158898645,88.39,88.39,1.60999928548574,0.337541766810156,5.609064892896621
28,2.09332913109663,97.62,97.62,1.65466107476778,0.319082339185252,5.987162775294828
