SpMin1_Bh(p),TPSA(Tot),L1v,F06[C-C],F05[C-N],TPSA(NO),RDF115v,SM02_AEA(ri),Eig07_EA(ed),CATS2D_06_LL,GGI8,RDF045m,Mor26p,alvo
2.08545128357926,97.34,27.5124249723609,16,11,97.34,3.80455503944183,5.00263116471281,5.00263116471281,4,0.296060090702948,10.2272514326688,-0.207886766181757,5.958607314841775
2.08584475145002,97.34,27.2513996596697,15,10,97.34,4.89968226444568,5.70175287829319,5.70175287829319,4,0.468899596875788,10.7259596902622,-0.232637685644422,5.042871802323187
2.08526639805938,97.34,26.7277615170787,15,10,97.34,4.57338784193194,5.48143772846791,5.48143772846791,4,0.394825522801714,16.5268441028003,-0.208872455273725,4.9503943874050265
2.0854202267248,97.34,25.3411980498604,16,11,97.34,3.19423734429536,4.67894940078547,4.67894940078547,4,0.271368732678257,9.90601438335214,-0.168245612586681,5.568636235841013
2.08524944045023,106.57,26.9560740939179,15,10,106.57,3.07366880190235,4.72564647679473,4.72564647679473,4,0.271368732678257,10.0390084613699,-0.173403251605436,5.522878745280337
2.09228447187331,100.42,38.4284212377476,24,15,100.42,7.8988858684255,5.74560199741264,5.74560199741264,2,0.428350970017637,10.3611841621606,-0.274283533397403,5.701146923590294
2.09242824118356,100.42,39.6455801566194,24,15,100.42,7.89398774143099,6.08413503579686,6.08413503579686,2,0.506440539178634,10.4071481031993,-0.234837673259965,5.235077015350112
2.09103003531457,100.42,40.264373049084,24,15,100.42,8.195206886172,6.09102740156653,6.09102740156653,2,0.519053917863442,16.75429624531,-0.376960210334867,6.769551078621726
2.0913009199319,100.42,42.2975397298917,24,15,100.42,7.9064308139731,6.13142869807592,6.13142869807592,2,0.532903439153439,16.0624521526334,-0.375528297099281,5.723538195826756
2.09122472469306,100.42,41.1626371647203,24,15,100.42,7.89513125748119,6.08413503579688,6.08413503579688,2,0.506440539178634,16.1999697625247,-0.403063353481634,7.221848749616356
2.0917472751288,100.42,41.2147647518387,24,15,100.42,8.07275293922776,6.13142869807592,6.13142869807592,2,0.532903439153439,13.5210242267395,-0.344684758702082,5.809668301829708
2.09126142626994,100.42,41.9689338877951,24,15,100.42,8.06858664873459,6.1358555439154,6.1358555439154,2,0.571948223733938,16.4659221010213,-0.42013830937673,6.4089353929735005
2.09224919650276,100.42,43.4347554006367,24,15,100.42,8.01550191781334,6.13142869807592,6.13142869807592,2,0.532903439153439,13.3925534708047,-0.300176119694243,5.703334809738469
2.08706497115682,85.31,21.4691123016691,19,8,85.31,3.66215773785098,5.32265932206994,5.32265932206994,9,0.347450554295793,9.89701693750714,-0.15362956533773,5.671620396561262
2.08728002724137,94.54,20.557646303325,20,7,94.54,4.01335752616421,3.69909248904206,3.69909248904206,9,0.277659674981103,10.5387757940315,-0.170897865950634,4.997402019280091
2.08647931227245,94.54,16.39949194522,18,7,94.54,2.28901553111768,5.30460686295962,5.30460686295962,7,0.331325585789872,15.1642827735308,-0.141737870134779,4.861697301833718
2.08651415006922,85.31,21.9029676902711,19,8,85.31,4.5528987366524,5.32265932206994,5.32265932206994,9,0.347450554295793,16.0505641070623,-0.182534299608098,5.85078088734462
2.08769753705472,85.31,19.4090400535139,20,9,85.31,3.69023070190557,4.9625748668574,4.9625748668574,9,0.253472222222222,9.57500900701215,-0.154131324562742,6.086186147616283
2.08647003622582,94.54,20.6015976710826,19,7,94.54,4.25160393497714,5.32515917813156,5.32515917813156,9,0.277155769715294,12.664652303921,-0.171709185752566,6.366531544420414
2.08656870304183,103.77,22.437244181478,19,7,103.77,2.94985892090873,4.16905551075453,4.16905551075453,7,0.273376480221718,9.44283563129832,-0.161147994536703,5.4156687756324695
2.09305075387095,88.39,39.3077628732416,28,13,88.39,8.01981984482482,6.90142878594206,6.90142878594206,7,0.637455908289242,19.6889205652698,-0.353246656280603,5.966576244513051
2.09301384624112,97.62,36.1242721533077,27,12,97.62,8.85511757382679,6.90862034714165,6.90862034714165,7,0.522565507684555,16.2039586384587,-0.32202098413175,5.823908740944319
2.09161171450811,100.42,41.2011929823448,24,15,100.42,7.35198827037743,5.99006889872868,5.99006889872868,2,0.49385865457294,10.6256402416825,-0.272015717031555,5.425968732272281
2.09324728909685,100.42,44.0666212569452,25,16,100.42,8.15177738351886,6.15499240648988,6.15499240648988,2,0.590852544721593,10.8158158771371,-0.317135620799656,6.356547323513813
2.08668915621692,113.0,21.7044870678005,20,7,113.0,4.34907803619546,5.33661567240373,5.33661567240373,5,0.294288548752834,12.9857718964442,-0.247533396485102,5.812479279163537
2.093654664768,88.39,39.0326233763346,27,12,88.39,7.66023342504342,6.87409478353283,6.87409478353283,7,0.54902840765936,13.2962542329225,-0.411347039339923,6.251811972993799
2.09502005934863,88.39,39.8689256624852,29,14,88.39,8.34195954707473,7.68185337438849,7.68185337438849,7,0.734449798437894,13.7884824749616,-0.425310238263401,5.935542010773082
2.09385106569626,88.39,38.5302534607248,28,13,88.39,8.12644366813141,6.90142878594206,6.90142878594206,7,0.637455908289242,13.5376541007757,-0.312341932820683,5.943095148663527
2.09246748562478,109.65,40.6779929434789,24,15,109.65,10.0833741306593,6.47124177322363,6.47124177322363,2,0.54146982867221,13.7544583500756,-0.247490635782022,6.022276394711152
2.09299346952684,97.62,40.2865046623878,28,12,97.62,8.72216792695505,6.89129647826457,6.89129647826457,7,0.499645691609977,16.2781161805424,-0.383046802661642,6.356547323513813
2.09244823997926,109.65,45.5517381599523,25,15,109.65,9.20553251368195,6.56294028375128,6.56294028375128,2,0.518550012597632,13.8361043419107,-0.291189233371704,5.421360790031928
2.09422151040059,100.42,42.8574116620636,26,17,100.42,8.36434590591849,6.08413503579686,6.08413503579686,2,0.506440539178634,10.7587736067182,-0.265863146007363,6.920818753952375
2.09229262573043,100.42,42.7229468322251,24,15,100.42,9.49115309123321,6.38210842523172,6.38210842523172,4,0.530895691609978,17.0312146945935,-0.348783387083591,5.85078088734462
2.09243623032813,100.42,43.9444233387991,24,15,100.42,9.48510529163662,6.58016901544188,6.58016901544188,4,0.608985260770975,17.0802999319906,-0.310663581314065,5.7121982700697735
2.09123414170093,100.42,45.61300091698,24,15,100.42,8.90895864983687,6.58016901544185,6.58016901544185,4,0.608985260770975,22.8682194957183,-0.479708948430143,7.522878745280337
2.09470000639501,88.39,36.1851196633212,29,14,88.39,8.75144024113833,6.48232737555914,6.48232737555914,7,0.48753621819098,13.2684483000798,-0.269909726286644,5.785156151952302
2.09920015290761,75.5,29.3572789641375,31,9,75.5,8.86726972478489,5.63359952238012,5.63359952238012,14,0.413729843789368,17.7553382932846,-0.261690823268178,4.522878745280337
2.0994241493746,75.5,32.6397561841263,31,9,75.5,5.36382140110664,5.68226078175749,5.68226078175749,14,0.409446649029982,13.6708051362481,-0.21317172947427,5.094743951251549
2.09927559450978,75.5,32.7210169476813,31,9,75.5,5.56808774783469,5.68900085954173,5.68900085954173,12,0.430358717561099,16.650633561919,-0.305403425356267,5.13430394008393
2.08794145987161,85.31,17.7404317694851,21,8,85.31,3.45141190111741,4.81201756306983,4.81201756306983,11,0.277659674981104,10.4379724743634,-0.141779703746514,5.563837352959244
2.09283659612082,88.39,33.6370116674555,27,12,88.39,7.9399100485317,5.68226078175749,5.68226078175749,7,0.409446649029983,12.8043231498695,-0.329521178584901,5.935542010773082
2.09297577905092,88.39,32.9845392716072,27,12,88.39,8.28505367579446,6.48232737555915,6.48232737555915,7,0.48753621819098,12.927095314654,-0.256014186883282,6.346787486224656
2.09162207236245,88.39,35.6628701763532,27,12,88.39,9.0078458424712,6.62371581496481,6.62371581496481,7,0.500149596875787,19.2050330877099,-0.462882847986605,4.633017024022149
2.09315556474637,88.39,37.2228971987984,28,13,88.39,10.3164944581101,6.52081793661175,6.52081793661175,9,0.483520723104056,16.5277170630299,-0.303478840622909,5.739928612014925
2.09329160306068,88.39,37.9649998953564,28,13,88.39,9.16025897388818,6.6011669914636,6.6011669914636,9,0.561610292265054,16.5796180588167,-0.319503506976602,5.790484985457369
2.0922263947321,88.39,40.3184307846224,28,13,88.39,10.1013595350438,7.03360702634615,7.03360702634615,9,0.588073192239859,22.2404624500047,-0.41387010097751,6.180456064458132
2.09218740119937,88.39,40.1959085516694,28,13,88.39,9.34312253335633,7.04820780733504,7.04820780733504,9,0.627117976820358,22.6321234713303,-0.504699762531296,4.522878745280337
2.09312502937637,88.39,41.9835892492916,28,13,88.39,10.4513173778156,7.03360702634615,7.03360702634615,9,0.588073192239859,19.5560362557185,-0.343979726519389,5.554395796726403
2.09252115135988,88.39,39.712661754228,28,13,88.39,10.3225161944324,6.52537028544149,6.52537028544149,9,0.54902840765936,16.8033242749599,-0.315424975819864,5.7447274948966935
2.09405637219457,88.39,41.9355167181047,29,14,88.39,10.5806005578359,7.06477861230655,7.06477861230655,9,0.646022297808012,16.9805916618783,-0.342779282171833,4.897223385116559
2.09956922025163,75.5,33.8163805082052,31,9,75.5,5.36701359421923,5.6822607817575,5.6822607817575,14,0.409446649029982,13.5406279569355,-0.196710214236591,5.150580586203101
2.09188505279968,88.39,36.9201882387052,27,12,88.39,7.96886882703109,6.84892460811135,6.84892460811135,7,0.513999118165785,18.5162005985911,-0.451566646302783,6.045757490560675
2.0918104571356,88.39,34.3804002426809,27,12,88.39,8.29301685809196,6.48232737555915,6.48232737555915,7,0.48753621819098,18.6938401067768,-0.412742981779335,5.939302159646388
2.093128232789,100.42,44.3121679470925,24,15,100.42,8.1505426181553,6.14960334659494,6.14960334659494,2,0.567932728647015,10.8505003638987,-0.304925709387548,5.563837352959244
2.0945533137629,100.42,45.2283898086118,26,17,100.42,8.80588815744381,7.34479000091718,7.34479000091718,2,0.753354119425549,11.341811085491,-0.341983680126612,6.958607314841775
