F03[C-N],SpMin1_Bh(p),RNCG,H6v,TPSA(NO),P_VSA_p_2,Tv,Eig07_EA,TPSA(Tot),H6p,SpMax_B(v),SpMax_B(p),H4s,SpDiam_B(p),RDF060p,H6i,HOMT,F01[C-N],VE3sign_RG,SpMax1_Bh(i),SpMax5_Bh(i),DP15,MATS1p,Eig06_AEA(bo),Eig07_EA(ed),F06[C-N],SM02_AEA(ri),H7v,CATS2D_08_AL,F05[C-N],H7u,RDF025v,SM6_H2,VE3_Dz(v),SM07_EA(ri),VE2_Dz(Z),VE2_G,F09[N-O],P_VSA_ppp_con,HATS7u,P_VSA_m_5,JGI8,AVS_Dz(v),GATS3i,Mor19p,SpDiam_AEA(dm),HyWi_Dz(p),R6p,VE1sign_Dz(v),RDF075e,P_VSA_p_1,CATS3D_16_AL,alvo
9,2.08559786896648,0.158158999834749,0.111661288693662,85.31,110.910406475419,22.3114251139585,1.54750416536519,85.31,0.133448212925967,3.90858396930357,3.87532940866743,4.89667602464483,5.81507790454784,5.12700102901298,0.599931794382521,18.80459976,10,-2.7425634179746,4.18454556882735,3.30785458259484,10.7028836143204,0.0347038991232358,3.16790312261377,3.67548185366589,8,3.67548185366589,0.0415195670277218,3,7,0.202039497590274,18.2171072717898,8.78149409089692,1.82904791234266,8.45466822179717,0.174606383110723,0.142069291884187,0,178.11040683456,0.328168146012847,0.0,0.010679218268504,127.521372839506,0.953217561961329,-0.239240392717839,5.65612831066555,8.97730783807933,0.338518907759949,0.112217808051203,13.4082579776321,117.711019965903,0,6.1938200260161125
9,2.08575397895544,0.160350682281801,0.110537785829658,85.31,110.910406475419,23.4299633502447,1.54755973755737,85.31,0.135964704475852,3.90802894862945,3.87435198799505,5.32185115388786,5.81397275687355,5.178418320964,0.663469189668382,18.85536666,10,-2.74177557947264,4.18454917910097,3.3070017141661,11.3404890054743,0.0347038991232357,3.17913040994756,3.67563296206769,8,3.67563296206769,0.0449058213976635,4,7,0.238591580789496,18.7597443816075,8.75780669035115,1.83025698399653,8.42480155546846,0.173995299332505,0.141781035466615,0,178.11040683456,0.31850098643818,0.0,0.0105144800085276,129.397916049383,0.96319150997032,-0.179775384344426,5.58598956924355,9.00617621416531,0.330626815050023,0.142359089229189,12.5432268671612,117.711019965903,0,5.91721462968355
9,2.08571046051047,0.162565111551043,0.111410663493432,85.31,110.910406475419,22.5773750859389,1.76974365320093,85.31,0.140636098846043,3.90801363409912,3.8742849695196,5.70266731870807,5.81391888953644,4.14166144618413,0.672462382203232,18.80459976,10,-2.74244520893679,4.18454836773497,3.30742249384492,11.0522237895125,0.0347038991232357,3.23205080756888,4.96257486685741,8,4.96257486685741,0.0374603968370327,4,7,0.238208008864021,18.7192665384141,8.75852931523866,1.82993347554757,8.42036947374313,0.174335691690829,0.141738676584189,0,178.11040683456,0.319543556224498,0.0,0.0097489316239316,128.509027160494,0.965881977641339,-0.253773961131637,5.58537114902539,8.99157917617003,0.330516057549389,0.127249591717551,14.1537413962953,117.711019965903,0,5.531652669587842
13,2.100315590279,0.118869953518586,0.238504374057226,75.5,104.383367170671,34.6710392451327,1.9359537171361,75.5,0.278919414550879,3.92109234183281,3.89116449948565,7.10369005342845,5.81601962252365,9.61005386484823,1.15849118290789,23.0721321,9,-6.03452989257472,4.1974808945453,3.46911256704424,14.468404490773,0.006841912394991,3.54745723150765,5.65005878132736,10,5.65005878132736,0.111931585567879,7,10,0.436825661245507,30.7843887317916,9.0406227995736,2.51663232940296,8.83621444547771,0.151139299213371,0.115535090846599,0,251.445105677828,0.311708142611403,0.0,0.0096216242741713,215.510586666667,1.18176367284535,0.2783122539009,5.60536800379407,10.0272324844217,0.396327625228048,0.0028041043817194,29.3599098447301,258.964243924987,0,4.522878745280337
13,2.1001994768437,0.118955393491684,0.310284342318601,75.5,104.383367170671,38.3231481035879,1.87938524157182,75.5,0.358463359725085,3.92080365542334,3.8907874966612,7.36979097636664,5.8154959316774,9.27800727333373,1.61620628320003,23.03249408,9,-5.06195679201671,4.19741013761471,3.471445737029,15.3292883758378,0.006841912394991,3.59210407561025,5.62731081166063,10,5.62731081166063,0.154159181746656,7,11,0.58131182733428,31.2139694261867,9.02941961367105,2.51552211166114,8.78767561849585,0.150938894121625,0.115818862353772,0,251.445105677828,0.255272490558502,0.0,0.009059125372802,216.501062857143,1.20790994962591,0.225388627882129,5.58008530510249,10.036033619609,0.395358895903304,0.0111265408869181,26.1156351512167,258.964243924987,0,4.522878745280337
13,2.09968011700452,0.152393647823095,0.465661658823764,93.96,126.383142945884,38.7958620547569,1.88811566597022,93.96,0.549943903086873,3.92074423531975,3.89053710463687,7.81912139290617,5.81532815018943,11.2876641803363,1.91376848437285,23.08326098,9,-12.5184866102062,4.19701884394372,3.47060623088459,15.7625208129681,-0.0521411577322847,3.6531556076176,5.69077803822141,11,5.69077803822141,0.286894357447442,11,9,1.12559421388073,28.5250640607569,9.0826629049633,2.70491267088238,8.79095725632695,0.146913429850481,0.113252016629738,0,255.560811965516,0.285360793072974,0.0,0.0089010141093474,246.594126126126,1.15792741935498,-0.0009680160723457,5.58133877580312,10.3438705043622,0.398217867942196,0.0781336468125683,27.0110803188548,258.964243924987,4,5.023650020996727
15,2.09889675568643,0.111841114650388,0.271863844806638,87.53,122.394117853702,34.8591207309676,1.89960488155872,87.53,0.300888587054213,3.91937873087144,3.88897037266855,8.15890005839556,5.81323949554472,9.27078208213911,1.23489603015389,23.79758676,11,-8.4793338415309,4.19621195675087,3.49423122128798,14.7020169189211,0.0136468844989613,3.5334303616533,5.50586654999091,13,5.50586654999091,0.110263442322131,4,12,0.431298101311652,25.9028090709037,8.9796911687635,2.49459270485562,8.58193677705165,0.150119605758619,0.119099561063786,0,227.772405416737,0.310808359773425,0.0,0.008901105661903,231.047362857143,1.10764436472054,0.0075630698354191,5.57935992020794,10.2064311104976,0.400762288856698,0.197156370616019,28.4959715172326,200.108733942035,0,5.133122185662502
15,2.09881867871683,0.109691432302794,0.453471359683529,87.53,122.394117853702,42.9270634752315,1.89966166143969,87.53,0.488713525922407,3.91981018620645,3.88958856646796,8.28238899117894,5.81390911129692,9.41510269247601,1.62853416831591,23.79758676,11,-8.6016460855913,4.19620298723005,3.49420052434925,16.633050739736,0.0168885689146145,3.54350247407879,5.66350972088193,13,5.66350972088193,0.294712204858658,4,12,0.909651276584125,26.0329076529541,9.03588906945682,2.59661222872692,8.62358212417588,0.148203603374082,0.118939109845941,0,221.796764474966,0.27066416511571,0.0,0.0089702135998432,242.172846296296,1.10998625383879,-0.0955572037481228,5.58833486486989,10.2955506449923,0.365324325358401,0.162563074789027,22.1257007150274,188.337631945445,2,4.799149501908922
15,2.09885133000887,0.111169157848155,0.474786459568521,87.53,122.394117853702,44.6704170150161,1.9492328217144,87.53,0.512926621110397,3.91967848625366,3.88940317391876,8.22098795341832,5.81368944132382,10.0668732501948,1.62746082954187,23.78645788,11,-8.60041028695184,4.19620480452341,3.49389045438289,17.2502123821,0.0168885689146145,3.61016412287316,5.80968920509455,13,5.80968920509455,0.31178613917648,4,12,0.908941863144293,25.8032311733608,9.02096434833488,2.5952188545568,8.60481042401828,0.147847923026271,0.118921545030224,0,221.796764474966,0.271418349972585,0.0,0.0098211422616184,244.24692037037,1.10704274660833,-0.0212329141066181,5.57936907423528,10.3121565911123,0.364809914610344,0.189133042265221,21.3035021997141,188.337631945445,1,5.350665141287858
15,2.0990711683359,0.0963391729421129,0.347106032949394,87.53,122.394117853702,44.8831264081902,2.03185888698861,87.53,0.354647456042637,3.91965962463128,3.88922086125746,12.5669720911672,5.81352319516937,9.95107666333367,1.50442651498613,23.78609802,11,-9.02178842480015,4.19673457395776,3.51944619700617,16.9731311289317,0.0080467915804452,3.70961328330406,5.90349006326854,14,5.90349006326854,0.19809549686475,4,12,0.581361043958781,28.3676083398393,9.08950568600677,2.80214275410717,8.81059714055464,0.144954793963502,0.116406218746512,0,227.457373835818,0.274127169491375,0.0,0.0104676733817521,274.797205263158,0.94376767908888,0.0814425025740458,6.46042826668535,10.5954883847937,0.364108948020681,0.204326632689128,23.849234933833,244.989073755073,0,5.367542707815276
