F03[C-N],L1p,F06[C-C],L1v,P_VSA_p_2,TPSA(Tot),RNCG,SpMin1_Bh(p),H6v,Tv,H4s,RDF115v,SpMax_B(p),Tp,HOMT,SpDiam_B(p),L1e,RDF060p,TPSA(NO),F05[C-C],SpMax1_Bh(i),SpMax5_Bh(i),RDF145s,Eig07_EA(ed),SpMax1_Bh(e),DP15,H7u,Eig12_EA(ri),DP18,DP20,DP19,SpMax4_Bh(p),DP16,CATS3D_11_LL,SpMaxA_EA(bo),J_Dz(Z),SM5_B(e),H3p,Xindex,nArCONHR,MATS1s,RTm,CATS3D_08_DP,MWC02,SMTIV,P_VSA_m_1,Ho_D/Dt,VE1sign_B(m),X3v,PCR,Mor29s,Mor19e,VR2_G,RDF070i,TDB05s,TDB01i,SpMaxA_AEA(ed),alvo
11,23.555285053707,15,23.1714010109862,128.921157158449,97.34,0.146303706524086,2.08506564352015,0.141964595531544,26.5580984239565,4.8127855081038,3.34171270280855,3.87186479961633,27.1547243363671,19.56969244,5.81119089889248,23.6844635741049,6.08128424431615,97.34,16,4.18427118540634,3.35627898226896,6.49500945206258,4.54804515296877,4.13476947844667,12.1464007320029,0.324153730278952,0.679720523771481,11.5809895042002,10.9581006899694,11.2925485747106,3.17730007251087,12.0105750431638,2,0.15364589204049,1.71455881629269,8.1432636969744,1.13869183580504,0.283609951406517,0,-0.159646669131222,10.8862992229931,1,4.97673374242057,16195,129.482121962493,12.4017361412487,0.17351646772482,4.1890896606112,1.55169505529416,0.773975362954476,-0.310329273266385,1.05921358434835,17.4817364229736,17.2260396404855,1.508584173048,0.22669646914204,5.300162274132754
11,23.5995943753316,15,23.224999464125,128.921157158449,97.34,0.143091485721548,2.08490830692647,0.150671603467981,26.7842586735816,5.23464085869018,3.04933271434724,3.87254010311743,27.3705223012329,19.56969244,5.81190257626986,23.6522769185321,5.91553921196361,97.34,16,4.1842625894073,3.35627827341651,8.66883721531779,4.64917308397103,4.13483276261313,12.1727949648262,0.318496381162543,0.679748552911053,11.6181335429787,11.0039909753229,11.3339364150382,3.17730341077369,12.0401710140387,2,0.148689578173132,1.73465473613654,8.18139663900672,1.35592299431622,0.283069933448503,0,-0.160267842339002,13.6753382144386,1,5.01727983681492,18474,117.711019965903,13.0658583151382,0.171708243202438,4.89020491474381,1.55316883847894,1.8597954344664,-0.497113950414572,1.05919837311525,15.6713267560579,19.1492121679825,1.52406916860356,0.219383694107895,5.896196279044043
9,19.2315483185911,18,20.4662462782889,110.910406475419,85.31,0.134307147447364,2.08691350922283,0.114285496880584,24.6441829697795,10.5172750657341,5.11088072850646,3.87355301843376,23.4685356640181,18.80459976,5.81317139359221,22.1942821615042,4.00511244583995,85.31,20,4.1851027616627,3.37042248713361,14.1338281500659,4.91811089292111,4.13611027358504,11.830111652135,0.248988962168937,0.951944081670218,11.1881161202582,10.520335364182,10.8766096054054,3.20324336770259,11.6675392551939,0,0.144043289123272,1.6918174006833,8.22406208067916,1.04597558199613,0.278421866802581,1,-0.125475726917132,12.8026000976919,1,5.06890420222023,21345,129.482121962493,13.7656335801126,0.148268237092363,4.34592215202465,1.54801665296608,-1.98883791492377,-0.004283835112683,1.05793340485947,22.3342208157797,19.36570107423,1.52139928868261,0.222225645039332,5.152427340857888
9,19.5591124169791,20,20.6782578714763,110.910406475419,85.31,0.115396358000517,2.08794321269317,0.242146236483971,25.2700951566376,11.7521165834648,4.36715160679809,3.87582010879288,24.0302588886244,18.80459976,5.81591053382654,22.2753781538599,6.59591062064236,85.31,19,4.18580476863687,3.45224192124438,3.90717279649051,5.51054217360109,4.13715317494677,12.271580551433,0.328382050177513,1.04238411404935,11.7556157500785,11.1692000624167,11.4851743374703,3.18760559419943,12.1512615496731,0,0.128038515310086,1.79356855891249,8.34848179871918,1.05266492346929,0.286236101765902,1,-0.117698088989233,16.530046146686,1,5.20948615284142,30341,117.711019965903,16.9465525479267,0.166386572449678,4.7213615098111,1.53967954133937,-3.48570468308508,0.0585294393013379,1.0540997016534,23.4380240148632,25.992403982024,1.56126518733469,0.199601803050088,5.079876673709276
15,41.4252645210591,28,41.7683658090263,122.394117853702,87.53,0.0959822119974778,2.09898601626382,0.367001064359396,46.5502738906591,17.5899411596486,8.88453871772025,3.88980456299471,46.0971909996826,23.78609802,5.81414767986047,42.3843035043506,10.3980100251704,87.53,28,4.19672464017812,3.5192062657597,79.137815023977,6.38210842523171,4.15258409381371,17.3275405001416,0.579526958931565,1.22094167088036,17.7471200364215,17.7773314712468,17.785532451705,3.76314714099939,17.5208428320602,13,0.107346423911295,1.46720387269067,8.49411159335651,1.66272824016536,0.220628707546781,1,-0.0952640585431341,15.5411393870776,0,5.35185813347607,48563,188.337631945445,20.0970528437596,0.152118889239787,6.0953757212491,1.61450570607769,-2.06292381526509,0.125847883175391,1.06018041110022,27.6506253308067,22.531748474223,1.50236414476323,0.168372705910676,5.634512015109101
13,30.7297110743541,31,29.8865067090001,115.383255058278,84.73,0.130249133270545,2.09964145368162,0.363053586660236,35.6719857877494,11.3078691581436,6.04925023429303,3.89016177419709,36.2762210093564,23.03249408,5.814826737443,30.8513981944677,8.50258822359166,84.73,32,4.19680186351573,3.477976354131,24.7997013784712,6.32925033821234,4.15293818944346,14.5750918760814,0.586961458189117,1.2181864050697,14.4563282232166,14.1296671934205,14.3161559857691,3.75297913438546,14.5884381133365,10,0.109902485340076,1.48916079033717,8.4715794704877,1.55468728272497,0.224913393255112,2,-0.0994052801264024,14.7870066143927,0,5.32300997913841,44242,200.108733942035,19.1849517887389,0.131763894768004,5.56596109501757,1.62020821204722,-2.02244757627059,0.435078553006137,1.06118702076102,28.6102000038426,21.9104419743121,1.48407534536984,0.162371873568149,4.522878745280337
13,33.7572566556849,32,35.3387240997859,115.383255058278,84.73,0.130412421036889,2.09963830267315,0.460210790544213,39.9410141605182,11.5072881870278,8.84901700600648,3.89009636705327,38.6137705418998,23.0955828,5.81470678117088,37.9109168852261,7.80135293750855,84.73,31,4.19679339203842,3.48613230093219,15.979599105044,6.49417609521297,4.15291842123682,16.9014278910576,0.824673029975919,1.15877804075697,17.2921011561346,17.2998279109371,17.3196415337177,3.75298625722796,17.0856172523149,7,0.109902479315478,1.45935972355225,8.47157634186488,1.45073770922675,0.220231909296726,2,-0.0994052801264024,13.5970066335579,0,5.32300997913841,45616,200.108733942035,19.0139189418668,0.157706388994849,5.5862414613473,1.61645795020433,-2.50162606007228,0.517783379600144,1.06133352356114,32.3115259160475,21.0848339703433,1.4840371142223,0.162371865007314,4.672028376376989
9,17.1073042839757,18,16.915393007153,110.910406475419,85.31,0.160380919819661,2.08635950387746,0.095276482753478,20.6346846679517,4.32809757838478,2.16831378707832,3.87266572847961,21.0445826639632,18.80459976,5.8121775097366,18.1957709970769,4.16071149353949,85.31,19,4.18456767792944,3.30827630775328,0.588299865331115,3.67142699205507,4.13537406950618,9.78729049292271,0.238332163160042,0.679372395777045,8.80372164679005,7.90724989533565,8.37806007549741,3.15793057001502,9.51083583811969,0,0.164620892148539,1.77868387359452,8.081951626231,1.01504080283271,0.30148361398006,1,-0.141653511595734,9.0538970921891,1,4.90527477843843,11917,141.253223959084,11.0177148500337,0.15789421967093,3.90748420555955,1.56132377437745,0.436393891338869,0.103619918554123,1.06223518880391,18.0543828315149,16.2188084196832,1.47585837161395,0.242889700408552,6.070581074285707
9,17.0604348137645,18,17.2891347320739,110.910406475419,85.31,0.146777119096961,2.08646359850713,0.0973330979808659,21.0868522344094,8.69496014814417,2.3005589188337,3.87384900224309,21.0118152603815,18.80459976,5.81373161063582,18.5076180809982,4.33209873170574,85.31,19,4.18472902531285,3.31456479369265,9.0473085894016,4.43901142022849,4.13567972215277,10.3988642054279,0.233284027903281,0.679555464206985,9.52831979825415,8.70727595897592,9.14034465268985,3.15762388310583,10.1601125119346,0,0.153646269308598,1.77479391191655,8.17192264868334,0.991259179877305,0.29465119167817,1,-0.0915840115705399,11.1337299117217,1,4.99043258677874,16374,117.711019965903,12.3446443916709,0.205335316519209,4.04726415923834,1.55936230946719,-0.0098124218035401,-0.232190468745425,1.06222761641386,18.2251767063575,17.8487819053975,1.51129716578419,0.226697501934934,5.139063379299906
9,17.0381499057187,18,17.6237355769322,110.910406475419,85.31,0.14938087488123,2.08645048357548,0.102234324113711,21.4501850711874,9.26518578522327,2.29670448173302,3.87359985686202,20.9867591094951,18.80459976,5.81334172719985,18.8486149217829,4.42620459952364,85.31,19,4.18471358647395,3.31422971602805,11.0852634761887,4.96257486685741,4.13564826919976,10.7820708944303,0.237844444126045,0.679403724797583,10.0479959333218,9.32573612090379,9.70877596116544,3.15762323499176,10.5869479801858,0,0.153646198243195,1.77383357091241,8.17189744747626,0.990880063512762,0.294351253020565,1,-0.0924710870824669,11.3607526915326,1,4.99043258677874,16373,117.711019965903,12.2865815122888,0.112736189723331,3.99625059474431,1.55694057183048,1.70819195140631,-0.281573248324387,1.06223408327276,16.0485781127581,25.7020197566112,1.51125301812558,0.226697083082178,6.337242168318426
9,18.5924615047917,18,18.3887769777102,110.910406475419,85.31,0.158158999834749,2.08559786896648,0.111661288693662,22.3114251139585,4.89667602464483,3.8164349346498,3.87532940866743,22.7435141538687,18.80459976,5.81507790454784,18.5292126481435,5.12700102901298,85.31,19,4.18454556882735,3.30785458259484,12.3099695256277,3.67548185366589,4.13555446698148,10.7028836143204,0.202039497590274,0.679494040539303,9.92331176894221,9.17010926196332,9.56860814493659,3.16173400579053,10.4928888157209,0,0.153646301774682,1.80362825038785,8.16131882209149,1.32521478824081,0.297130948421118,1,-0.148367901189973,14.3655414383471,1,4.99043258677874,16133,117.711019965903,12.2820796985379,0.158959343795884,4.88663047984269,1.56046669824468,0.736091187478266,-0.219655800292648,1.06220818756326,18.8126966905532,19.0903418170516,1.5077854250707,0.226697836125403,6.1938200260161125
9,19.8640555988824,18,19.5963509428749,110.910406475419,85.31,0.160350682281801,2.08575397895544,0.110537785829658,23.4299633502447,5.32185115388786,3.55257540634476,3.87435198799505,23.8931195782344,18.85536666,5.81397275687355,19.2092557638409,5.178418320964,85.31,19,4.18454917910097,3.3070017141661,0.91342174615091,3.67563296206769,4.13552282969214,11.3404890054743,0.238591580789496,0.679478076438323,10.6811479884157,10.0035204947217,10.3646511143282,3.17075379398845,11.1715569958242,0,0.153646192613917,1.77397941687455,8.16128468920823,1.40232853614424,0.292133773397795,1,-0.150280386768663,13.6730834660201,1,4.99043258677874,16584,117.711019965903,12.3610889783166,0.155668166108503,4.79232547700409,1.55580921005298,0.100337859623776,-0.128023240543896,1.06225435356057,15.9283226259941,18.5761189093326,1.50753159021861,0.226697076044883,5.91721462968355
9,18.7900840577715,18,18.5557573326857,110.910406475419,85.31,0.162565111551043,2.08571046051047,0.111410663493432,22.5773750859389,5.70266731870807,3.15612269224074,3.8742849695196,23.0183507889717,18.80459976,5.81391888953644,18.7828784434062,4.14166144618413,85.31,19,4.18454836773497,3.30742249384492,0.0090359589160521,4.96257486685741,4.1355286662617,11.0522237895125,0.238208008864021,0.679397952443448,10.406244834094,9.74334535587634,10.096707304214,3.16505285951935,10.8861877432485,0,0.153646198243195,1.78769974626887,8.16126605526336,1.28706119303309,0.294351253020565,1,-0.152192872347353,13.4180866990031,1,4.99043258677874,16373,117.711019965903,12.2865815122888,0.134972067528937,4.43268637521629,1.55694057183048,-0.231314265650696,-0.147999610026103,1.06223201701214,16.8783582319406,20.7273363845874,1.50715442742791,0.226697083082178,5.531652669587842
