F06[C-C],L1p,H6v,L1v,F03[C-N],RNCG,SpMin1_Bh(p),H6p,Tp,F05[C-N],Tv,L1e,P_VSA_p_2,SpMax_B(p),SM15_AEA(bo),Eig07_EA,H4s,SpDiam_B(v),TPSA(Tot),CATS3D_02_AL,SpDiam_B(p),RDF115v,Eig07_AEA(ri),RDF060p,SpMin1_Bh(e),SpMax1_Bh(e),nCsp2,RDF145s,DP15,VE3sign_RG,SpMax5_Bh(i),MATS1p,H7v,SM02_AEA(ri),Eig07_EA(ed),TPSA(NO),SP17,DP17,CATS2D_08_AL,SP18,DP16,nHAcc,SpDiam_AEA(bo),RDF075p,F04[S-F],F05[N-Br],RDF065i,alvo
15,23.5995943753316,0.150671603467981,23.224999464125,11,0.143091485721548,2.08490830692647,0.171695238080505,27.3705223012329,10,26.7842586735816,23.6522769185321,128.921157158449,3.87254010311743,1.6541474936615,1.6541474936615,5.23464085869018,5.79839133612776,97.34,3,5.81190257626986,3.04933271434724,2.61412583515198,5.91553921196361,1.94687157595382,4.13483276261313,19,8.66883721531779,12.1727949648262,-2.87876394815035,3.35627827341651,0.0381293583886995,0.0870153145802214,4.64917308397103,4.64917308397103,97.34,11.9177668873782,11.8543660352951,1,11.7050866714065,12.0401710140387,6,5.52130343847209,5.25877767771983,0,0,22.3671795271551,5.896196279044043
18,19.2315483185911,0.114285496880584,20.4662462782889,9,0.134307147447364,2.08691350922283,0.132501738843513,23.4685356640181,7,24.6441829697795,22.1942821615042,110.910406475419,3.87355301843376,1.70767979137926,1.70767979137926,10.5172750657341,5.79975855390872,85.31,4,5.81317139359221,5.11088072850646,2.65445815835136,4.00511244583995,1.95693910680322,4.13611027358504,19,14.1338281500659,11.830111652135,-2.95073678139564,3.37042248713361,0.0150029018508288,0.0473263235132863,4.91811089292111,4.91811089292111,85.31,11.4795878071585,11.4525986865008,4,11.2382001101357,11.6675392551939,8,5.48260202084238,5.50610898108139,0,0,26.703972474121,5.152427340857888
20,19.5591124169791,0.242146236483971,20.6782578714763,9,0.115396358000517,2.08794321269317,0.175585200422905,24.0302588886244,9,25.2700951566376,22.2753781538599,110.910406475419,3.87582010879288,1.8643994809495,1.8643994809495,11.7521165834648,5.80231649066716,85.31,4,5.81591053382654,4.36715160679809,2.7950907312222,6.59591062064236,1.96087958196653,4.13715317494677,19,3.90717279649051,12.271580551433,-3.16493362955846,3.45224192124438,0.0107387352149461,0.0613154364859349,5.51054217360109,5.51054217360109,85.31,12.0327074329725,11.9784177596539,4,11.8324372108817,12.1512615496731,11,5.48958101662329,8.41483357242803,0,0,30.7469208686262,5.079876673709276
28,41.4252645210591,0.367001064359396,41.7683658090263,15,0.0959822119974778,2.09898601626382,0.37857047477988,46.0971909996826,12,46.5502738906591,42.3843035043506,122.394117853702,3.88980456299471,2.16993348096179,2.16993348096179,17.5899411596486,5.80450455555129,87.53,8,5.81414767986047,8.88453871772025,3.08219030360145,10.3980100251704,1.96618249118858,4.15258409381371,27,79.137815023977,17.3275405001416,-9.03732534302529,3.5192062657597,0.0104721048351113,0.21320043296857,6.38210842523171,6.38210842523171,87.53,17.7856319288267,17.659750794099,4,17.8907702348565,17.5208428320602,9,5.53161203101895,9.72186901606999,0,0,34.5979897433415,5.634512015109101
31,30.7297110743541,0.363053586660236,29.8865067090001,13,0.130249133270545,2.09964145368162,0.361985141263343,36.2762210093564,9,35.6719857877494,30.8513981944677,115.383255058278,3.89016177419709,2.13628439574805,2.13628439574805,11.3078691581436,5.80532074146577,84.73,11,5.814826737443,6.04925023429303,3.09612953335169,8.50258822359166,1.96921978562015,4.15293818944346,27,24.7997013784712,14.5750918760814,-8.9363302238406,3.477976354131,-0.0228413608105929,0.159713366299695,6.32925033821234,6.32925033821234,84.73,14.7580935261217,14.5479229383731,9,14.6815683511649,14.5884381133365,9,5.50231066826335,11.9318381686119,0,0,43.7137899731851,4.522878745280337
32,33.7572566556849,0.460210790544213,35.3387240997859,13,0.130412421036889,2.09963830267315,0.457988222165116,38.6137705418998,9,39.9410141605182,37.9109168852261,115.383255058278,3.89009636705327,2.18747228696499,2.18747228696499,11.5072881870278,5.80520061993716,84.73,11,5.81470678117088,8.84901700600648,3.14299016728367,7.80135293750855,1.96924880068132,4.15291842123682,27,15.979599105044,16.9014278910576,-8.81752647485968,3.48613230093219,-0.0228413608105929,0.268470528987461,6.49417609521297,6.49417609521297,84.73,17.3519386165103,17.214926006435,9,17.4404154347628,17.0856172523149,9,5.49841483979283,13.0559945399119,0,0,32.5186545160235,4.672028376376989
18,17.1073042839757,0.095276482753478,16.915393007153,9,0.160380919819661,2.08635950387746,0.118007011238109,21.0445826639632,7,20.6346846679517,18.1957709970769,110.910406475419,3.87266572847961,1.54687440356713,1.54687440356713,4.32809757838478,5.79884938551017,85.31,4,5.8121775097366,2.16831378707832,2.48265209085269,4.16071149353949,1.95456125147942,4.13537406950618,19,0.588299865331115,9.78729049292271,-2.7399813720788,3.30827630775328,0.021138522219689,0.0364606052749279,3.67142699205507,3.67142699205507,85.31,9.36216878353295,9.18210038601078,4,9.00158065891688,9.51083583811969,5,5.47573819967266,5.89228860408523,0,0,20.5721097846896,6.070581074285707
18,17.0604348137645,0.0973330979808659,17.2891347320739,9,0.146777119096961,2.08646359850713,0.116429286193231,21.0118152603815,7,21.0868522344094,18.5076180809982,110.910406475419,3.87384900224309,1.64066676710757,1.64066676710757,8.69496014814417,5.80041278783193,85.31,4,5.81373161063582,2.3005589188337,2.59028731357905,4.33209873170574,1.95261233321547,4.13567972215277,19,9.0473085894016,10.3988642054279,-2.74081276055174,3.31456479369265,0.0195365503887606,0.0390667834016745,4.43901142022849,4.43901142022849,85.31,9.95894210740069,9.86904043332458,3,9.64137966066694,10.1601125119346,7,5.48345120029379,5.86406175899293,0,0,21.3929267305171,5.139063379299906
18,17.0381499057187,0.102234324113711,17.6237355769322,9,0.14938087488123,2.08645048357548,0.11715081974346,20.9867591094951,7,21.4501850711874,18.8486149217829,110.910406475419,3.87359985686202,1.76974365320093,1.76974365320093,9.26518578522327,5.79999717021308,85.31,4,5.81334172719985,2.29670448173302,2.7168928583341,4.42620459952364,1.95275635981431,4.13564826919976,19,11.0852634761887,10.7820708944303,-2.74154156412825,3.31422971602805,0.0195365503887606,0.0365053620366297,4.96257486685741,4.96257486685741,85.31,10.4280375920944,10.3414439008319,4,10.1611236005454,10.5869479801858,7,5.48091151775246,5.78501665874946,0,0,20.5381526996991,6.337242168318426
18,18.5924615047917,0.111661288693662,18.3887769777102,9,0.158158999834749,2.08559786896648,0.133448212925967,22.7435141538687,7,22.3114251139585,18.5292126481435,110.910406475419,3.87532940866743,1.54750416536519,1.54750416536519,4.89667602464483,5.80094535626413,85.31,3,5.81507790454784,3.8164349346498,2.48346401710019,5.12700102901298,1.95313303175846,4.13555446698148,19,12.3099695256277,10.7028836143204,-2.7425634179746,3.30785458259484,0.0347038991232358,0.0415195670277218,3.67548185366589,3.67548185366589,85.31,10.3299120353803,10.2321698616336,3,10.0471259928794,10.4928888157209,5,5.48378741051325,7.93032741489296,0,0,21.1966845248516,6.1938200260161125
