F06[C-C],L1p,L1v,HOMA,H6v,SpMin1_Bh(p),RNCG,F05[C-N],RDF115v,Tp,SpDiam_B(v),SpMax_B(p),SM15_AEA(bo),Eig07_EA,H4s,HOMT,SpMin1_Bh(e),SpMax1_Bh(e),SpMax5_Bh(i),MATS1p,TPSA(Tot),RDF145s,H7v,L1u,F05[C-C],H7u,SpMin4_Bh(s),Eig12_EA(ri),SP16,DP18,SpMax5_Bh(e),ATSC5v,B10[C-S],SM07_AEA(ri),RTp,CATS3D_19_LL,RDF155e,SM5_G/D,R1i+,BID,VE1_Dt,RDF040s,alvo
15,23.555285053707,23.1714010109862,0.850856193043478,0.141964595531544,2.08506564352015,0.146303706524086,10,3.34171270280855,27.1547243363671,5.7978889352845,3.87186479961633,1.65056858795789,1.65056858795789,4.8127855081038,19.56969244,1.94701175215642,4.13476947844667,3.35627898226896,0.0284157833057165,97.34,6.49500945206258,0.0878469336277225,23.5692185106018,16,0.324153730278952,0.502617021023897,0.679720523771481,12.0361990774227,11.5809895042002,3.28875584611306,7.87240046401361,0,1.78079238909067,10.8760704419423,0,1.21577147657179,18.7663761583622,0.21234803481433,3.33979077789067,4.67304360386129,44.8971503822371,5.300162274132754
15,23.5995943753316,23.224999464125,0.850856193043478,0.150671603467981,2.08490830692647,0.143091485721548,10,3.04933271434724,27.3705223012329,5.79839133612776,3.87254010311743,1.6541474936615,1.6541474936615,5.23464085869018,19.56969244,1.94687157595382,4.13483276261313,3.35627827341651,0.0381293583886995,97.34,8.66883721531779,0.0870153145802214,23.5279845771527,16,0.318496381162543,0.502617007143713,0.679748552911053,12.0787816877842,11.6181335429787,3.28875685527402,7.49314620444444,0,1.7809583269701,11.545657007278,0,1.44632924632598,18.7801336444254,0.212302188996248,3.37445476476239,4.735804634629,62.8698942874414,5.896196279044043
18,19.2315483185911,20.4662462782889,0.7521839904,0.114285496880584,2.08691350922283,0.134307147447364,7,5.11088072850646,23.4685356640181,5.79975855390872,3.87355301843376,1.70767979137926,1.70767979137926,10.5172750657341,18.80459976,1.95693910680322,4.13611027358504,3.37042248713361,0.0150029018508288,85.31,14.1338281500659,0.0473263235132863,21.1136574238499,20,0.248988962168937,0.503367048894455,0.951944081670218,11.670645707709,11.1881161202582,3.30332449944171,8.16065817492698,0,2.27491721763537,10.1909895816276,0,0.274297160112617,18.8124468880012,0.184895139693569,3.40785318630133,4.85561022112666,42.5267090608438,5.152427340857888
20,19.5591124169791,20.6782578714763,0.7521839904,0.242146236483971,2.08794321269317,0.115396358000517,9,4.36715160679809,24.0302588886244,5.80231649066716,3.87582010879288,1.8643994809495,1.8643994809495,11.7521165834648,18.80459976,1.96087958196653,4.13715317494677,3.45224192124438,0.0107387352149461,85.31,3.90717279649051,0.0613154364859349,21.3613562064341,19,0.328382050177513,0.50298341311034,1.04238411404935,12.1819485641467,11.7556157500785,3.41846638663548,8.00813390540643,0,2.81697231243644,10.2595871740303,0,2.26184222341734,19.1452676860742,0.172907707121615,3.53197073494184,5.23189083458832,57.86137762599,5.079876673709276
28,41.4252645210591,41.7683658090263,0.767293484516129,0.367001064359396,2.09898601626382,0.0959822119974778,12,8.88453871772025,46.0971909996826,5.80450455555129,3.88980456299471,2.16993348096179,2.16993348096179,17.5899411596486,23.78609802,1.96618249118858,4.15258409381371,3.5192062657597,0.0104721048351113,87.53,79.137815023977,0.21320043296857,41.3797550936991,28,0.579526958931565,1.01883045878569,1.22094167088036,17.6279652455688,17.7471200364215,3.47637291357998,10.1483960524376,0,3.14095714254048,12.7353559054617,3,11.4573811073201,20.3806988561832,0.16179003484954,3.69273748844623,5.72166246535672,58.1592914868938,5.634512015109101
31,30.7297110743541,29.8865067090001,0.697954366060606,0.363053586660236,2.09964145368162,0.130249133270545,9,6.04925023429303,36.2762210093564,5.80532074146577,3.89016177419709,2.13628439574805,2.13628439574805,11.3078691581436,23.03249408,1.96921978562015,4.15293818944346,3.477976354131,-0.0228413608105929,84.73,24.7997013784712,0.159713366299695,31.3910777082407,32,0.586961458189117,1.01500904264452,1.2181864050697,14.7822666495851,14.4563282232166,3.44994120017251,10.8443882686427,0,2.99823174904141,12.9490224290061,0,9.67908124800945,20.0925271447691,0.152677022547133,3.66766464553347,5.64455849246033,48.9727166705559,4.522878745280337
32,33.7572566556849,35.3387240997859,0.699866145454545,0.460210790544213,2.09963830267315,0.130412421036889,9,8.84901700600648,38.6137705418998,5.80520061993716,3.89009636705327,2.18747228696499,2.18747228696499,11.5072881870278,23.0955828,1.96924880068132,4.15291842123682,3.48613230093219,-0.0228413608105929,84.73,15.979599105044,0.268470528987461,36.418148763379,31,0.824673029975919,1.01501072005369,1.15877804075697,17.2104745177813,17.2921011561346,3.46218750543323,10.9770851035457,0,2.97610080254855,12.6278445986186,0,3.71856917444148,20.1378827490291,0.139114822750894,3.66757232683227,5.66451863192745,54.6503415354917,4.672028376376989
18,17.1073042839757,16.915393007153,0.7521839904,0.095276482753478,2.08635950387746,0.160380919819661,7,2.16831378707832,21.0445826639632,5.79884938551017,3.87266572847961,1.54687440356713,1.54687440356713,4.32809757838478,18.80459976,1.95456125147942,4.13537406950618,3.30827630775328,0.021138522219689,85.31,0.588299865331115,0.0364606052749279,18.2283464971521,19,0.238332163160042,0.501722870497825,0.679372395777045,9.67173398246006,8.80372164679005,3.25904685571373,8.22372054695,0,1.77977452890914,10.4631150327493,0,0.0,18.4481275180501,0.193379303233008,3.2672004831094,4.54527241370447,31.753678201421,6.070581074285707
18,17.0604348137645,17.2891347320739,0.7521839904,0.0973330979808659,2.08646359850713,0.146777119096961,7,2.3005589188337,21.0118152603815,5.80041278783193,3.87384900224309,1.64066676710757,1.64066676710757,8.69496014814417,18.80459976,1.95261233321547,4.13567972215277,3.31456479369265,0.0195365503887606,85.31,9.0473085894016,0.0390667834016745,18.249133037548,19,0.233284027903281,0.500604407980756,0.679555464206985,10.2256350427955,9.52831979825415,3.26584838782235,7.37578984479999,0,1.78030476206254,10.3124617497751,0,0.0,18.460285353701,0.188550269594086,3.34010251871663,4.69500754043811,84.7618190680067,5.139063379299906
18,17.0381499057187,17.6237355769322,0.7521839904,0.102234324113711,2.08645048357548,0.14938087488123,7,2.29670448173302,20.9867591094951,5.79999717021308,3.87359985686202,1.76974365320093,1.76974365320093,9.26518578522327,18.80459976,1.95275635981431,4.13564826919976,3.31422971602805,0.0195365503887606,85.31,11.0852634761887,0.0365053620366297,18.305509186485,19,0.237844444126045,0.500406281083722,0.679403724797583,10.6455886467599,10.0479959333218,3.26538899806592,7.55422366079999,0,1.78001970468506,10.2786235945804,0,0.0090689377170165,18.4661911395768,0.192223291885078,3.34009677580406,4.69605369742149,36.7350166781968,6.337242168318426
