F06[C-C],L1p,HOMA,SpMin1_Bh(p),F03[C-N],H6v,RNCG,H6p,H4s,SpDiam_B(v),SpMax_B(p),Tp,P_VSA_p_2,Eig07_EA,TPSA(Tot),SpDiam_B(p),RDF115v,F05[C-N],RDF060p,H6i,SpMax1_Bh(i),Eig07_AEA(ri),SpMax5_Bh(i),DP15,MATS1p,H7v,SM02_AEA(ri),DP17,Eig07_EA(ed),Eig12_EA(ri),SP18,DP16,TPSA(NO),DP20,Mor30p,GATS4m,Mor25u,ATSC1m,L2e,AVS_Dz(e),GATS1p,Chi_B(m),R3v,Mor32v,CATS3D_17_AL,F02[C-S],VE2sign_G,VE3sign_B(i),RDF015e,CATS2D_00_LL,SpMin2_Bh(s),SM15_AEA(ri),Mor05v,SM05_EA(dm),alvo
15,23.555285053707,0.850856193043478,2.08506564352015,11,0.141964595531544,0.146303706524086,0.15880194206667,4.8127855081038,5.7978889352845,3.87186479961633,27.1547243363671,128.921157158449,1.65056858795789,97.34,5.81119089889248,3.34171270280855,10,6.08128424431615,0.788637323596249,4.18427118540634,2.61366209016839,3.35627898226896,12.1464007320029,0.0284157833057165,0.0878469336277225,4.54804515296877,11.8211682115522,4.54804515296877,0.679720523771481,11.6489991462307,12.0105750431638,97.34,10.9581006899694,0.101586293723668,0.866393143778059,1.46373421508504,5.85983151183674,3.29059797247119,111.640481481481,0.820228552746801,7.74572773798262,0.682825593763427,-0.39212881276366,0,0,0.003900371267436,-1.96495621508613,9.40984120399094,10,1.05796900977604,2.8077353510285,-4.48947153493995,2.32395511873024,5.300162274132754
15,23.5995943753316,0.850856193043478,2.08490830692647,11,0.150671603467981,0.143091485721548,0.171695238080505,5.23464085869018,5.79839133612776,3.87254010311743,27.3705223012329,128.921157158449,1.6541474936615,97.34,5.81190257626986,3.04933271434724,10,5.91553921196361,0.786733808017493,4.1842625894073,2.61412583515198,3.35627827341651,12.1727949648262,0.0381293583886995,0.0870153145802214,4.64917308397103,11.8543660352951,4.64917308397103,0.679748552911053,11.7050866714065,12.0401710140387,97.34,11.0039909753229,0.0680406460427504,1.04046111280454,1.35199157695688,4.48737308888889,3.38325734831059,118.188666666667,0.749962701704083,7.91048073632535,0.75962005466228,-0.448777222057049,0,0,0.0040424951166704,-2.03870534727194,9.41124805394367,10,1.05523270892804,2.81558600666731,-4.74474736832539,2.32395511873024,5.896196279044043
18,19.2315483185911,0.7521839904,2.08691350922283,9,0.114285496880584,0.134307147447364,0.132501738843513,10.5172750657341,5.79975855390872,3.87355301843376,23.4685356640181,110.910406475419,1.70767979137926,85.31,5.81317139359221,5.11088072850646,7,4.00511244583995,0.654286438406357,4.1851027616627,2.65445815835136,3.37042248713361,11.830111652135,0.0150029018508288,0.0473263235132863,4.91811089292111,11.4525986865008,4.91811089292111,0.951944081670218,11.2382001101357,11.6675392551939,85.31,10.520335364182,0.174967948227828,1.15863966084733,1.48277921424507,5.11734534620877,4.25872275655332,128.519393103448,0.912165402953071,8.20517044557869,0.705076537680034,-0.533757751359528,0,0,0.0029152333439058,-2.44858137361951,10.9311825713228,11,1.10300213702181,3.09102995281441,-4.4969283965896,6.68962001086062,5.152427340857888
20,19.5591124169791,0.7521839904,2.08794321269317,9,0.242146236483971,0.115396358000517,0.175585200422905,11.7521165834648,5.80231649066716,3.87582010879288,24.0302588886244,110.910406475419,1.8643994809495,85.31,5.81591053382654,4.36715160679809,9,6.59591062064236,1.32457810375269,4.18580476863687,2.7950907312222,3.45224192124438,12.271580551433,0.0107387352149461,0.0613154364859349,5.51054217360109,11.9784177596539,5.51054217360109,1.04238411404935,11.8324372108817,12.1512615496731,85.31,11.1692000624167,0.164542514951397,1.17545449981757,1.87938601782947,3.69184313695653,4.7102352646336,153.261798989899,0.937739700626185,9.12220268643061,0.719254757321052,-0.556898577011472,0,0,0.0006834774849014,-2.74468234717175,12.6411681620199,11,1.12964638592116,3.31663519291748,-4.94188395397493,7.38214512032612,5.079876673709276
28,41.4252645210591,0.767293484516129,2.09898601626382,15,0.367001064359396,0.0959822119974778,0.37857047477988,17.5899411596486,5.80450455555129,3.88980456299471,46.0971909996826,122.394117853702,2.16993348096179,87.53,5.81414767986047,8.88453871772025,12,10.3980100251704,1.50118679489295,4.19672464017812,3.08219030360145,3.5192062657597,17.3275405001416,0.0104721048351113,0.21320043296857,6.38210842523171,17.659750794099,6.38210842523171,1.22094167088036,17.8907702348565,17.5208428320602,87.53,17.7773314712468,0.168249863839947,0.982778867871297,2.01328837921009,6.38182954019025,4.7754230736372,225.107863247863,0.856133781082825,11.0366913662617,0.764032837446276,-0.589920643488334,1,0,0.0007220110509953,-3.1737539857327,14.9123996896947,18,1.09748183046081,3.20422621761235,-6.50143978984313,6.70101726354035,5.634512015109101
31,30.7297110743541,0.697954366060606,2.09964145368162,13,0.363053586660236,0.130249133270545,0.361985141263343,11.3078691581436,5.80532074146577,3.89016177419709,36.2762210093564,115.383255058278,2.13628439574805,84.73,5.814826737443,6.04925023429303,9,8.50258822359166,1.55696247010855,4.19680186351573,3.09612953335169,3.477976354131,14.5750918760814,-0.0228413608105929,0.159713366299695,6.32925033821234,14.5479229383731,6.32925033821234,1.2181864050697,14.6815683511649,14.5884381133365,84.73,14.1296671934205,0.241933561825922,0.920923861563594,1.82056046958096,7.00441965000001,5.77801796451601,211.447099122807,0.944619106059389,10.8620050223809,0.728663481848196,-0.647881492848844,0,0,0.0028691310114442,-3.30577588345879,14.4306311070931,18,1.08455017659671,3.21207794553638,-6.35427214526234,6.95245599409102,4.522878745280337
32,33.7572566556849,0.699866145454545,2.09963830267315,13,0.460210790544213,0.130412421036889,0.457988222165116,11.5072881870278,5.80520061993716,3.89009636705327,38.6137705418998,115.383255058278,2.18747228696499,84.73,5.81470678117088,8.84901700600648,9,7.80135293750855,1.86106589090478,4.19679339203842,3.14299016728367,3.48613230093219,16.9014278910576,-0.0228413608105929,0.268470528987461,6.49417609521297,17.214926006435,6.49417609521297,1.15877804075697,17.4404154347628,17.0856172523149,84.73,17.2998279109371,0.222668320513643,0.955925468438201,1.97974352622255,7.00441965000001,4.05067089629292,216.18394122807,0.944619106059389,10.8620050223809,0.722097515657887,-0.633713601968448,2,0,0.0004116802226523,-2.87873895094084,14.4385640387396,18,1.08454310889182,3.25125185564938,-6.4642200537256,6.95245599409102,4.672028376376989
18,17.1073042839757,0.7521839904,2.08635950387746,9,0.095276482753478,0.160380919819661,0.118007011238109,4.32809757838478,5.79884938551017,3.87266572847961,21.0445826639632,110.910406475419,1.54687440356713,85.31,5.8121775097366,2.16831378707832,7,4.16071149353949,0.670808226395359,4.18456767792944,2.48265209085269,3.30827630775328,9.78729049292271,0.021138522219689,0.0364606052749279,3.67142699205507,9.18210038601078,3.67142699205507,0.679372395777045,9.00158065891688,9.51083583811969,85.31,7.90724989533565,0.149546587597651,1.06902057174143,1.34761966832064,6.531481466325,3.77661468461403,93.3394173333333,0.884353653555934,7.28634725003942,0.652251124456773,-0.46262170533533,0,0,0.002356821510449,-1.96571327279286,9.22119696766833,11,1.07007602709685,2.57514643727929,-4.11029286435221,0.0,6.070581074285707
18,17.0604348137645,0.7521839904,2.08646359850713,9,0.0973330979808659,0.146777119096961,0.116429286193231,8.69496014814417,5.80041278783193,3.87384900224309,21.0118152603815,110.910406475419,1.64066676710757,85.31,5.81373161063582,2.3005589188337,7,4.33209873170574,0.670478590736808,4.18472902531285,2.59028731357905,3.31456479369265,10.3988642054279,0.0195365503887606,0.0390667834016745,4.43901142022849,9.86904043332458,4.43901142022849,0.679555464206985,9.64137966066694,10.1601125119346,85.31,8.70727595897592,0.15947329556175,1.01825348071204,1.33904863889535,4.92061257250001,3.85605863727848,107.265932098765,0.882887680768755,7.70746235244819,0.692309275730605,-0.519415475804033,0,0,0.0025907173476483,-1.69787510054916,9.44252440510254,9,1.04126607903248,2.96048438240387,-4.32016819187796,0.0,5.139063379299906
18,17.0381499057187,0.7521839904,2.08645048357548,9,0.102234324113711,0.14938087488123,0.11715081974346,9.26518578522327,5.79999717021308,3.87359985686202,20.9867591094951,110.910406475419,1.76974365320093,85.31,5.81334172719985,2.29670448173302,7,4.42620459952364,0.695649360055718,4.18471358647395,2.7168928583341,3.31422971602805,10.7820708944303,0.0195365503887606,0.0365053620366297,4.96257486685741,10.3414439008319,4.96257486685741,0.679403724797583,10.1611236005454,10.5869479801858,85.31,9.32573612090379,0.17188452773112,0.948711713286107,1.21656443823365,4.92061257250001,3.89647295393932,107.265932098765,0.882887680768755,7.70307263938214,0.693292978737585,-0.51560156177288,0,0,0.002616334317003,-2.90426925329637,9.43897239057288,9,1.04220157274864,2.94702602395167,-4.23681241734103,0.0,6.337242168318426
18,18.5924615047917,0.7521839904,2.08559786896648,9,0.111661288693662,0.158158999834749,0.133448212925967,4.89667602464483,5.80094535626413,3.87532940866743,22.7435141538687,110.910406475419,1.54750416536519,85.31,5.81507790454784,3.8164349346498,7,5.12700102901298,0.599931794382521,4.18454556882735,2.48346401710019,3.30785458259484,10.7028836143204,0.0347038991232358,0.0415195670277218,3.67548185366589,10.2321698616336,3.67548185366589,0.679494040539303,10.0471259928794,10.4928888157209,85.31,9.17010926196332,0.22215945435637,1.00071833056683,1.37991651623241,3.913413607825,3.7450697156662,106.666255555556,0.733969338553905,7.60697051288803,0.790313134150851,-0.461266458532145,0,0,0.0027197547227842,-2.34862856519262,9.23240134260189,11,1.06571298440503,2.90458952197627,-4.47271332589433,0.0,6.1938200260161125
18,19.8640555988824,0.7542146664,2.08575397895544,9,0.110537785829658,0.160350682281801,0.135964704475852,5.32185115388786,5.80012048712802,3.87435198799505,23.8931195782344,110.910406475419,1.54755973755737,85.31,5.81397275687355,3.55257540634476,7,5.178418320964,0.663469189668382,4.18454917910097,2.48371059005063,3.3070017141661,11.3404890054743,0.0347038991232357,0.0449058213976635,3.67563296206769,10.9508997421167,3.67563296206769,0.679478076438323,10.818614634967,11.1715569958242,85.31,10.0035204947217,0.201125092430534,0.961942721430928,1.32790101899113,3.913413607825,3.86929583250845,108.542798765432,0.733969338553905,7.60258079982198,0.765407788525271,-0.468059809117376,0,0,0.0031832620581606,-2.28852998104193,9.23190579775299,11,1.06599083720939,3.04471467132537,-4.3987142839072,0.0,5.91721462968355
