F06[C-C],F03[C-N],RNCG,SpMin1_Bh(p),H6v,Tv,H6p,Eig07_EA,L1e,SpMax_B(v),RDF060p,H6i,Eig07_EA(ed),VE3sign_RG,F05[C-C],SpMax5_Bh(i),F05[C-N],DP15,SM02_AEA(ri),RDF145s,Eig06_AEA(bo),SpMax1_Bh(e),DP18,DP17,H7v,Eig12_EA(ri),SP18,DP16,RDF040s,H1p,Eig12_EA,Wi_B(e),CATS2D_00_DP,F10[C-Cl],SpMin2_Bh(e),Mor31v,B05[N-Br],CATS3D_00_DP,VR2_B(p),F10[C-N],CATS2D_07_AL,H8m,J_Dz(p),GATS7s,MATS8m,MATS6p,alvo
15,11,0.146303706524086,2.08506564352015,0.141964595531544,26.5580984239565,0.15880194206667,1.65056858795789,23.6844635741049,3.90638582015433,6.08128424431615,0.788637323596249,4.54804515296877,-2.87835690274128,16,3.35627898226896,10,12.1464007320029,4.54804515296877,6.49500945206258,3.2184826927087,4.13476947844667,11.5809895042002,11.8211682115522,0.0878469336277225,0.679720523771481,11.6489991462307,12.0105750431638,44.8971503822371,1.51831782255768,0.730304323173698,64.5324007329878,1,2,1.87884711254805,-0.168561028972887,0,1,1.09102943648782,4,1,0.020056177228263,1.18527908202057,1.19389098294421,0.141869926917166,0.0125347399278125,5.300162274132754
15,11,0.143091485721548,2.08490830692647,0.150671603467981,26.7842586735816,0.171695238080505,1.6541474936615,23.6522769185321,3.90682234904245,5.91553921196361,0.786733808017493,4.64917308397103,-2.87876394815035,16,3.35627827341651,10,12.1727949648262,4.64917308397103,8.66883721531779,3.21851150893962,4.13483276261313,11.6181335429787,11.8543660352951,0.0870153145802214,0.679748552911053,11.7050866714065,12.0401710140387,62.8698942874414,1.57942186842331,0.73039512755186,66.9239007329878,1,3,1.87296077275164,-0.163927548126315,0,1,1.08777450283788,4,1,0.0278365119195499,1.19138428995714,1.13435560990011,0.0363278647556321,0.0152186731885893,5.896196279044043
18,9,0.134307147447364,2.08691350922283,0.114285496880584,24.6441829697795,0.132501738843513,1.70767979137926,22.1942821615042,3.90773327459922,4.00511244583995,0.654286438406357,4.91811089292111,-2.95073678139564,20,3.37042248713361,7,11.830111652135,4.91811089292111,14.1338281500659,3.25234531189839,4.13611027358504,11.1881161202582,11.4525986865008,0.0473263235132863,0.951944081670218,11.2382001101357,11.6675392551939,42.5267090608438,1.37923231089712,1.0,69.7234007329878,1,0,1.90427962164499,-0.145448798100833,0,1,1.08472482256905,5,2,0.0087224880261936,1.2463361721991,0.448190328186508,0.102792514199876,-0.074897006092065,5.152427340857888
20,9,0.115396358000517,2.08794321269317,0.242146236483971,25.2700951566376,0.175585200422905,1.8643994809495,22.2753781538599,3.90947376821854,6.59591062064236,1.32457810375269,5.51054217360109,-3.16493362955846,19,3.45224192124438,9,12.271580551433,5.51054217360109,3.90717279649051,3.65323692010694,4.13715317494677,11.7556157500785,11.9784177596539,0.0613154364859349,1.04238411404935,11.8324372108817,12.1512615496731,57.86137762599,1.33493149198424,1.04221561928157,79.504900732988,1,0,1.91538180490343,-0.119528350401534,0,1,1.0743922708593,7,2,0.0385956605141493,1.28619697527451,0.748565911873801,0.167188417933967,0.278976420679151,5.079876673709276
28,15,0.0959822119974778,2.09898601626382,0.367001064359396,46.5502738906591,0.37857047477988,2.16993348096179,42.3843035043506,3.92009640971864,10.3980100251704,1.50118679489295,6.38210842523171,-9.03732534302529,28,3.5192062657597,12,17.3275405001416,6.38210842523171,79.137815023977,3.72377377756036,4.15258409381371,17.7471200364215,17.659750794099,0.21320043296857,1.22094167088036,17.8907702348565,17.5208428320602,58.1592914868938,1.64477601160691,1.23775935357785,93.5028835237105,0,2,1.90778717609306,-0.21152691997517,0,0,1.08835164193854,6,6,0.145316503007317,1.00337826686335,0.470037215439425,-0.0141245747309592,0.0471622990970667,5.634512015109101
31,13,0.130249133270545,2.09964145368162,0.363053586660236,35.6719857877494,0.361985141263343,2.13628439574805,30.8513981944677,3.9204378717805,8.50258822359166,1.55696247010855,6.32925033821234,-8.9363302238406,32,3.477976354131,9,14.5750918760814,6.32925033821234,24.7997013784712,3.71255120125298,4.15293818944346,14.4563282232166,14.5479229383731,0.159713366299695,1.2181864050697,14.6815683511649,14.5884381133365,48.9727166705559,1.61807089392766,1.23331159900517,91.2676835237104,0,0,1.91189927520834,-0.185883926560563,0,0,1.09066011937108,5,8,0.112102109515296,1.0250063844541,0.620677907185784,-0.0305967165306969,-0.0441555820387974,4.522878745280337
32,13,0.130412421036889,2.09963830267315,0.460210790544213,39.9410141605182,0.457988222165116,2.18747228696499,37.9109168852261,3.92037583929875,7.80135293750855,1.86106589090478,6.49417609521297,-8.81752647485968,31,3.48613230093219,9,16.9014278910576,6.49417609521297,15.979599105044,3.71462947815641,4.15291842123682,17.2921011561346,17.214926006435,0.268470528987461,1.15877804075697,17.4404154347628,17.0856172523149,54.6503415354917,1.57607866257618,1.16008945968776,91.2676835237104,0,0,1.91196232955518,-0.14835865318673,0,0,1.0906636336335,5,6,0.272327786455893,1.01145432683224,0.550044427610826,0.141027438550418,0.0465415698263179,4.672028376376989
18,9,0.160380919819661,2.08635950387746,0.095276482753478,20.6346846679517,0.118007011238109,1.54687440356713,18.1957709970769,3.90700026330762,4.16071149353949,0.670808226395359,3.67142699205507,-2.7399813720788,19,3.30827630775328,7,9.78729049292271,3.67142699205507,0.588299865331115,3.1137891597086,4.13537406950618,8.80372164679005,9.18210038601078,0.0364606052749279,0.679372395777045,9.00158065891688,9.51083583811969,31.753678201421,1.46175882709859,0.729753547836367,59.9579007329879,1,0,1.89074152926166,-0.142427994874597,0,1,1.09829481397421,5,2,0.0023420821100517,1.34242574231514,0.957568305270291,0.0998756511122702,0.0007080232408173,6.070581074285707
18,9,0.146777119096961,2.08646359850713,0.0973330979808659,21.0868522344094,0.116429286193231,1.64066676710757,18.5076180809982,3.90800075443205,4.33209873170574,0.670478590736808,4.43901142022849,-2.74081276055174,19,3.31456479369265,7,10.3988642054279,4.43901142022849,9.0473085894016,3.2102293894004,4.13567972215277,9.52831979825415,9.86904043332458,0.0390667834016745,0.679555464206985,9.64137966066694,10.1601125119346,84.7618190680067,1.44705646766125,0.730064939559504,65.1159007329878,1,0,1.87599554206629,-0.0930116985690385,0,1,1.09097249247853,5,2,0.0022563067686693,1.29386024538734,0.972434273282715,0.177634569696152,-0.0013703116734845,5.139063379299906
18,9,0.14938087488123,2.08645048357548,0.102234324113711,21.4501850711874,0.11715081974346,1.76974365320093,18.8486149217829,3.90778671494238,4.42620459952364,0.695649360055718,4.96257486685741,-2.74154156412825,19,3.31422971602805,7,10.7820708944303,4.96257486685741,11.0852634761887,3.23205080756888,4.13564826919976,10.0479959333218,10.3414439008319,0.0365053620366297,0.679403724797583,10.1611236005454,10.5869479801858,36.7350166781968,1.44394845482259,0.729822584195492,65.1159007329878,1,0,1.87623675382318,-0.103110971135191,0,1,1.0909883742529,5,2,0.0044667362307308,1.2935417064802,0.689884281301269,-0.0155108330887349,0.0017349453854128,6.337242168318426
18,9,0.158158999834749,2.08559786896648,0.111661288693662,22.3114251139585,0.133448212925967,1.54750416536519,18.5292126481435,3.90858396930357,5.12700102901298,0.599931794382521,3.67548185366589,-2.7425634179746,19,3.30785458259484,7,10.7028836143204,3.67548185366589,12.3099695256277,3.16790312261377,4.13555446698148,9.92331176894221,10.2321698616336,0.0415195670277218,0.679494040539303,10.0471259928794,10.4928888157209,65.1760403268709,1.59700619019675,0.730085689736114,64.7379007329878,1,3,1.88091349125944,-0.0963944330817787,0,1,1.09098782961418,5,2,0.0226191136955708,1.35801863021343,0.972294195402129,-0.020390101011483,0.064231714583407,6.1938200260161125
18,9,0.160350682281801,2.08575397895544,0.110537785829658,23.4299633502447,0.135964704475852,1.54755973755737,19.2092557638409,3.90802894862945,5.178418320964,0.663469189668382,3.67563296206769,-2.74177557947264,19,3.3070017141661,7,11.3404890054743,3.67563296206769,0.91342174615091,3.17913040994756,4.13552282969214,10.6811479884157,10.9508997421167,0.0449058213976635,0.679478076438323,10.818614634967,11.1715569958242,61.0052229155844,1.61225708976924,0.729994983679456,64.7379007329878,1,3,1.88121906538087,-0.13529458252254,0,1,1.0910016103582,5,2,0.0050931728037477,1.34115659869859,0.911200575127108,0.0531553773594445,-0.0526507936438204,5.91721462968355
18,9,0.162565111551043,2.08571046051047,0.111410663493432,22.5773750859389,0.140636098846043,1.76974365320093,18.7828784434062,3.90801363409912,4.14166144618413,0.672462382203232,4.96257486685741,-2.74244520893679,19,3.30742249384492,7,11.0522237895125,4.96257486685741,0.0090359589160521,3.23205080756888,4.1355286662617,10.406244834094,10.6700929610307,0.0374603968370327,0.679397952443448,10.5610313178968,10.8861877432485,57.4753529785551,1.59898324150477,0.729822584195492,64.7379007329878,1,2,1.88105211039249,-0.18203926015329,0,1,1.09100047045378,5,2,0.0066381413927811,1.34902818269342,0.863596883078128,-0.0939355793824104,-0.0144052624346505,5.531652669587842
34,13,0.118869953518586,2.100315590279,0.238504374057226,34.6710392451327,0.278919414550879,1.9359537171361,31.0914702674653,3.92109234183281,9.61005386484823,1.15849118290789,5.65005878132736,-6.03452989257472,32,3.46911256704424,10,14.468404490773,5.65005878132736,25.7569603781625,3.54745723150765,4.15365219207748,14.3853062057529,14.4652492420164,0.111931585567879,1.05945723085516,14.5734686671898,14.4938443726219,53.3504114734437,1.66909046680278,1.06471568707745,83.3718835237105,0,0,1.94160215236337,-0.0770301677778612,0,0,1.09841806257185,7,6,0.0622828114453989,1.13268064034369,0.775372235381355,-0.0246588653659449,0.0126386975109768,4.522878745280337
33,13,0.118955393491684,2.1001994768437,0.310284342318601,38.3231481035879,0.358463359725085,1.87938524157182,35.2736322158533,3.92080365542334,9.27800727333373,1.61620628320003,5.62731081166063,-5.06195679201671,30,3.471445737029,11,15.3292883758378,5.62731081166063,11.1796412883044,3.59210407561025,4.15355302924226,15.4338295807095,15.4498793390157,0.154159181746656,1.09221311702179,15.6042304473243,15.4159247621223,41.6671809395707,1.63742811133841,1.07884816583806,83.3718835237105,0,0,1.94132614810761,-0.170934961608519,0,0,1.09842839974181,7,6,0.107986563618976,1.12830557683261,0.805976977139815,-0.115006657161149,0.183062771120932,4.522878745280337
32,13,0.152393647823095,2.09968011700452,0.465661658823764,38.7958620547569,0.549943903086873,1.88811566597022,35.5606520489659,3.92074423531975,11.2876641803363,1.91376848437285,5.69077803822141,-12.5184866102062,34,3.47060623088459,9,15.7625208129681,5.69077803822141,18.2230596662814,3.6531556076176,4.15324498253418,15.9784674803276,15.9573469176927,0.286894357447442,1.1697190465247,16.2441581656773,15.8862182476797,58.5901638629849,1.53933141279279,1.17302419459955,88.0954835237105,0,0,1.91097750375559,-0.245694561245534,0,0,1.09310057896089,5,8,0.113396058533072,1.08094308111208,1.13094100417891,-0.0420788514823609,-0.0485860237136934,5.023650020996727
28,15,0.111841114650388,2.09889675568643,0.271863844806638,34.8591207309676,0.300888587054213,1.89960488155872,28.4443676876757,3.91937873087144,9.27078208213911,1.23489603015389,5.50586654999091,-8.4793338415309,27,3.49423122128798,12,14.7020169189211,5.50586654999091,26.0679169014107,3.5334303616533,4.15195394985239,14.7428836492081,14.7793179631331,0.110263442322131,1.13720557174752,14.9401437061008,14.7664845553981,56.3918886897044,1.81157724160911,1.17516794079634,83.6973835237104,0,2,1.90572363588906,-0.22578817924852,0,0,1.09845573080612,6,5,0.0769392819882925,1.04187663097454,0.974978572783774,0.0536987269723798,0.0021857621068255,5.133122185662502
28,15,0.109691432302794,2.09881867871683,0.453471359683529,42.9270634752315,0.488713525922407,1.89966166143969,39.3972200430342,3.91981018620645,9.41510269247601,1.62853416831591,5.66350972088193,-8.6016460855913,27,3.49420052434925,12,16.633050739736,5.66350972088193,48.1724664059368,3.54350247407879,4.15201551545649,16.94050533495,16.8912274078417,0.294712204858658,1.22012504330767,17.1045264688274,16.7896789336443,67.5115765708293,1.73261449776388,1.23825926040049,86.0968835237104,0,3,1.90545088606026,-0.21339371863353,0,0,1.0957171932522,6,5,0.12555874306682,1.04337988785306,0.939906259873697,-0.0011019388815157,-0.0030852073350403,4.799149501908922
28,15,0.111169157848155,2.09885133000887,0.474786459568521,44.6704170150161,0.512926621110397,1.9492328217144,40.1622230496905,3.91967848625366,10.0668732501948,1.62746082954187,5.80968920509455,-8.60041028695184,27,3.49389045438289,12,17.2502123821,5.80968920509455,38.0406972742252,3.61016412287316,4.1520033151725,17.727391487512,17.6199642826396,0.31178613917648,1.19741583344367,17.8743825483355,17.4618328788307,64.2332780828591,1.7307355468289,1.23771029976215,86.0968835237104,0,4,1.90548278257011,-0.209599556784707,0,0,1.09571956627166,6,6,0.131293697186102,1.03636821205919,0.839327185029738,0.0300450469207483,-0.0030852073350403,5.350665141287858
28,15,0.0963391729421129,2.0990711683359,0.347106032949394,44.8831264081902,0.354647456042637,2.03185888698861,41.8180687023627,3.91965962463128,9.95107666333367,1.50442651498613,5.90349006326854,-9.02178842480015,28,3.51944619700617,12,16.9731311289317,5.90349006326854,40.8429293521343,3.70961328330406,4.15251528265014,17.3124510696617,17.2523082749436,0.19809549686475,1.21789411413621,17.4559899469175,17.1401652847174,46.2211900274884,1.60529192843717,1.23449130284963,91.1003835237105,0,0,1.90973394861211,-0.202850288782315,0,0,1.09068031598789,6,5,0.133817707602721,0.998714487961492,0.514447387435434,-0.0005780711480091,0.0507407230580747,5.367542707815276
