F06[C-C],L1p,TPSA(Tot),SpMin1_Bh(p),L1v,H6p,RDF115v,L1e,Tv,HOMT,SpDiam_B(p),F06[C-N],H6i,RDF060p,SpMin1_Bh(e),F05[C-N],SpMax1_Bh(i),F01[C-N],CATS3D_02_AL,VE3sign_RG,TPSA(NO),SpMax5_Bh(i),SM02_AEA(ri),CATS2D_03_AL,CATS2D_08_AL,H7u,DP15,L1u,VE2sign_RG,SpMin3_Bh(m),GATS1e,HATS3p,R3p,SM2_B(e),Mor27p,Mor09s,HGM,CATS3D_05_DA,X2,SpMin5_Bh(e),SM6_Dz(v),SM11_EA(dm),EE_B(v),nBT,B06[O-Br],Chi_G/D,SM6_B(s),alvo
28,39.8966232875393,87.53,2.09881867871683,38.9955929726704,0.488713525922407,9.58641165858474,39.3972200430342,42.9270634752315,23.79758676,5.81390911129692,13,1.62853416831591,9.41510269247601,1.96599214427825,12,4.19620298723005,11,8,-8.6016460855913,87.53,3.49420052434925,5.66350972088193,7,4,0.909651276584125,16.633050739736,39.5466742756206,0.0004962513012706,1.94027951749632,0.715251143724236,0.159700325305891,0.879155466034401,5.04643337421709,-0.656799005552708,-12.7915515060885,3.97839810137008,1,15.7676448282849,1.3908863903493,33.1917196943077,5.50368875018106,5.79386734436367,59,0,1.03747992807561,12.9303898762905,4.799149501908922
28,41.8768420123953,87.53,2.09885133000887,40.9278056762081,0.512926621110397,9.60917887803535,40.1622230496905,44.6704170150161,23.78645788,5.81368944132382,13,1.62746082954187,10.0668732501948,1.96600624597587,12,4.19620480452341,11,8,-8.60041028695184,87.53,3.49389045438289,5.80968920509455,7,4,0.908941863144293,17.2502123821,39.8229103888932,0.0004965081129203,1.93993384385548,0.715251143724236,0.154356162557187,0.870719715577786,5.04643337421709,-0.698503290530604,-12.2082133996729,3.97967475322518,1,15.8739065742819,1.39052093682435,33.250072234368,5.50368875018106,5.79369423715281,59,0,1.03645178534196,12.9304244738549,5.350665141287858
28,39.5805945394992,87.53,2.0990711683359,40.0398636177422,0.354647456042637,7.66760133792055,41.8180687023627,44.8831264081902,23.78609802,5.81352319516937,14,1.50442651498613,9.95107666333367,1.96624569182343,12,4.19673457395776,11,8,-9.02178842480015,87.53,3.51944619700617,5.90349006326854,7,4,0.581361043958781,16.9731311289317,41.2207457253654,0.0004798342493116,1.99815087684172,0.615679561569662,0.10644218605603,0.751754546891094,5.10005454537227,-0.763588908490787,-26.9705286608453,3.75254197030142,1,17.3358410253328,1.39280015045969,33.9611484042256,14.7579581444382,5.81908152763846,62,0,1.03708756062998,14.0766522620098,5.367542707815276
29,41.3283882391235,87.53,2.09906885319117,42.8779365826156,0.353989498418714,7.30578381483983,45.1286500885615,46.8302154695584,23.79758676,5.81346864623789,13,1.39676707802052,9.61742061080721,1.96623920016994,13,4.19671771802442,11,8,-9.02967846062117,87.53,3.53124549293129,5.88582086960403,7,4,0.687004465872646,17.9726294987723,43.6437671649797,0.000478333604484,1.99805133127132,0.615679561569662,0.10915207473139,0.76076450014581,5.10005454537227,-0.779519996038147,-26.7647132954075,3.76507358003645,1,17.3239356435337,1.39402679466249,34.060109446696,14.7579581444382,5.81907468482211,62,0,1.03651587040976,14.0766510277137,5.521433504406157
28,42.1123568895961,87.53,2.09921921010724,43.6410507070662,0.371371277030618,9.42728847584167,45.6639557795894,48.413879824505,23.78609802,5.81453848678124,15,1.81236077282482,11.1184957572905,1.96649315866522,12,4.19733999841026,11,8,-9.52330807688962,87.53,3.52430784079861,7.12159812368595,7,4,0.641416194990607,17.6986734935142,44.2721618722799,0.0004502690744368,1.98880615382814,0.598167791528649,0.0995868181614259,0.740500592190086,5.19649432514324,-0.755220982216973,-46.4992369718744,3.53370816803265,1,19.9392907151841,1.39390567887265,34.936903453486,15.4510574727592,5.895100340949,65,0,1.03322223465535,14.6052521521236,5.681936665037238
15,23.4860250150737,97.34,2.08507729453642,23.9605387320833,0.156614694354008,3.77245428425445,24.4625071695229,27.3086558449001,19.56969244,5.8114993688159,11,0.809361730602363,6.17074111181713,1.94685868499717,10,4.18432066557131,12,3,-2.87873548080045,97.34,3.3575084780042,4.71661643116515,3,1,0.324770186851983,12.8440111741185,23.6745732357189,0.0049128951983906,1.86820250969321,0.756605903925589,0.158618460332291,0.741674147419723,4.79908070736238,-0.506704665435855,-14.2730607885702,5.02230116167267,1,12.4800345621452,1.23500205533062,30.4341250567743,5.50368875018106,5.52509340107375,45,0,1.0368378031328,13.1964691318684,5.36251027048749
15,25.6118505152341,97.34,2.08504544582534,24.5691949265137,0.202191500051465,2.7822145556469,23.9917881014469,27.6210622683384,19.56969244,5.81125322650018,11,0.789989791988373,6.59843221270595,1.94705297065154,10,4.18426002540256,12,3,-2.87766150968227,97.34,3.35592306185825,4.67894940078546,3,1,0.324775268789374,13.049553206635,23.8022562030946,0.0049157887042117,1.86840277690354,0.919415633985894,0.163186037261723,0.76875615985492,4.75902933353779,-0.55487082553185,-13.287494931351,5.04864778684996,1,11.9722865180764,1.23892321953237,29.9983933450669,5.50368875018106,5.5012883406811,45,0,1.0370938912552,12.3374778531633,5.333482019445119
15,24.3516684366321,97.34,2.08546367246724,25.3237376612035,0.161579701926792,3.63437953047078,26.8713956888978,29.0971914311877,19.56969244,5.81145934094929,12,0.935602127049759,6.51105518609581,1.94770003496925,10,4.18474817547341,12,3,-3.08779387280188,97.34,3.37652497919771,4.98795979456423,3,1,0.299991808071076,13.0306962882697,26.0060790217953,0.0045773178401321,1.86870150543301,0.671650739118436,0.129098396689071,0.68339991188103,4.86328331536364,-0.517955659435648,-26.17253333089,4.57964272609334,1,13.9419690131962,1.25794841402768,31.29474020782,14.7579581444382,5.56599802646543,48,0,1.03198005103685,13.9382157172007,5.281498311132726
16,25.7228243602806,97.34,2.08545128357926,27.5124249723609,0.162365785581055,3.80455503944183,29.4291945760448,30.5296368869007,19.56969244,5.81140586599502,11,0.843465226296638,6.17628959176484,1.9476776718285,11,4.1847310055167,12,3,-3.08671513333889,97.34,3.37795497299685,5.00263116471281,3,1,0.401684341476673,14.1772388700515,27.9095615739152,0.0045798451045161,1.86869514984636,0.671650739118436,0.131124634341068,0.693225404768707,4.86328331536364,-0.536646761936523,-26.1270470815441,4.67295838862027,1,13.930063631397,1.27078693339068,31.4326834020876,14.7579581444382,5.56598922009386,48,0,1.03294041444695,13.9382142996965,5.958607314841775
15,25.8398229568104,97.34,2.08584475145002,27.2513996596697,0.157027746496187,4.89968226444568,28.8735271963859,31.3755164773039,19.56969244,5.81247834220892,13,0.976681431351131,7.67580123275432,1.94871518942587,10,4.18530770578131,12,3,-3.2982354961774,97.34,3.47012131667029,5.70175287829319,3,1,0.349084614363718,13.6488291178219,27.7323847295995,0.0042817998990281,1.86866295005711,0.6485659460606,0.116429810715684,0.665285137934671,4.98398655099832,-0.508609767761743,-45.6620551524151,4.21974916577302,1,16.5454187030474,1.26304051991749,32.4868595755642,15.4510574727592,5.66287493385325,51,0,1.0278382845901,14.5259887590554,5.042871802323187
