F06[C-C],F03[C-N],L1p,P_VSA_p_2,HOMA,L1v,SpMin1_Bh(p),RNCG,H6p,SpMax_B(v),SpDiam_B(v),Eig07_EA,H6i,RDF115v,RDF060p,MATS1p,Eig07_AEA(ri),SpMax1_Bh(i),F07[C-N],H7v,SpMax5_Bh(i),VE3sign_RG,SM02_AEA(ri),SP17,Eig07_EA(ed),DP16,DP20,Mor24m,Wi_Dz(m),Cl-089,SpPosLog_B(s),SpMaxA_Dz(p),B03[Cl-Cl],Mor03s,Eig13_AEA(bo),Mor32u,SpAbs_Dz(v),Mor30v,H%,SM09_EA(bo),alvo
18,9,18.5924615047917,110.910406475419,0.7521839904,18.3887769777102,2.08559786896648,0.158158999834749,0.133448212925967,3.90858396930357,5.80094535626413,1.54750416536519,0.599931794382521,3.8164349346498,5.12700102901298,0.0347038991232358,2.48346401710019,4.18454556882735,8,0.0415195670277218,3.30785458259484,-2.7425634179746,3.67548185366589,10.3299120353803,3.67548185366589,10.4928888157209,9.17010926196332,0.0587065356952303,1415.21853333333,2,4.93696766261587,5.32925211343821,1,-15.2712000337259,1.34051595834944,-0.416729840505319,263.98168277076,0.259004880657386,32.5,14.1209898158273,6.1938200260161125
18,9,19.8640555988824,110.910406475419,0.7542146664,19.5963509428749,2.08575397895544,0.160350682281801,0.135964704475852,3.90802894862945,5.80012048712802,1.54755973755737,0.663469189668382,3.55257540634476,5.178418320964,0.0347038991232357,2.48371059005063,4.18454917910097,8,0.0449058213976635,3.3070017141661,-2.74177557947264,3.67563296206769,11.0614480330908,3.67563296206769,11.1715569958242,10.0035204947217,0.0410828478431944,1440.55186666667,2,4.93647895977381,5.40747754504843,1,-15.5343998126395,1.36593037888229,-0.42940761755735,268.305141014154,0.247664318778501,32.5,14.0754326751478,5.91721462968355
18,9,18.7900840577715,110.910406475419,0.7521839904,18.5557573326857,2.08571046051047,0.162565111551043,0.140636098846043,3.90801363409912,5.80012553850698,1.76974365320093,0.672462382203232,3.15612269224074,4.14166144618413,0.0347038991232357,2.70683956370263,4.18454836773497,8,0.0374603968370327,3.30742249384492,-2.74244520893679,4.96257486685741,10.7989543581133,4.96257486685741,10.8861877432485,9.74334535587634,0.0357845007957949,1428.55186666667,2,4.93621408534709,5.36969829805478,0,-20.5643842207322,1.18280768840508,-0.381363030087644,266.218728442647,0.252664871520987,32.5,14.0536244579638,5.531652669587842
34,13,30.3290050523167,104.383367170671,0.699155518181818,29.3795485653636,2.100315590279,0.118869953518586,0.278919414550879,3.92109234183281,5.80634791845735,1.9359537171361,1.15849118290789,7.69680587263125,9.61005386484823,0.006841912394991,2.91853675964846,4.1974808945453,10,0.111931585567879,3.46911256704424,-6.03452989257472,5.65005878132736,14.6389450025323,5.65005878132736,14.4938443726219,14.0809162692886,0.419415917843498,3117.81226666667,0,6.69544956748891,7.07542827544275,0,-27.1413230796286,2.52895942152831,-0.514042520309413,449.147019127279,0.270001502307029,40.6779661016949,14.1752919239273,4.522878745280337
33,13,34.2084990061107,104.383367170671,0.697954366060606,33.3065542851964,2.1001994768437,0.118955393491684,0.358463359725085,3.92080365542334,5.80583261413754,1.87938524157182,1.61620628320003,6.67547650283844,9.27800727333373,0.006841912394991,2.87938524157182,4.19741013761471,10,0.154159181746656,3.471445737029,-5.06195679201671,5.62731081166063,15.601802097435,5.62731081166063,15.4159247621223,15.2610831647602,0.361230417022943,3135.1456,0,6.69465037344939,7.10722533798879,0,-28.8669395489946,2.56568735350868,-0.595437823401591,451.393183972929,0.260338628407873,40.6779661016949,14.1453859576671,4.522878745280337
32,13,33.9868223676611,126.383142945884,0.699492756969697,33.3083755131298,2.09968011700452,0.152393647823095,0.549943903086873,3.92074423531975,5.80581789094036,1.88811566597022,1.91376848437285,11.4732917872972,11.2876641803363,-0.0521411577322847,2.86196144993535,4.19701884394372,11,0.286894357447442,3.47060623088459,-12.5184866102062,5.69077803822141,16.208007668391,5.69077803822141,15.8862182476797,15.8797141781075,0.343428681960172,3691.04453333334,0,7.20870115321169,7.96105460767965,0,-29.9782512341314,2.56579694000904,-0.62892891900328,517.286027151941,0.351732280891731,39.344262295082,14.1794202510809,5.023650020996727
28,15,28.8588145184585,122.394117853702,0.767664089032258,28.0203003380735,2.09889675568643,0.111841114650388,0.300888587054213,3.91937873087144,5.80369841092013,1.89960488155872,1.23489603015389,6.74056677885334,9.27078208213911,0.0136468844989613,2.85284156975377,4.19621195675087,10,0.110263442322131,3.49423122128798,-8.4793338415309,5.50586654999091,14.9600936602809,5.50586654999091,14.7664845553981,14.5306135820493,0.444612317862534,3180.6352,1,6.74524632581213,7.76172752657044,0,-29.663394046955,2.56583365374052,-0.506985550482221,483.593496658328,0.280755881744247,36.3636363636364,14.0698899904803,5.133122185662502
28,15,39.8966232875393,122.394117853702,0.767664089032258,38.9955929726704,2.09881867871683,0.109691432302794,0.488713525922407,3.91981018620645,5.80420664560669,1.89966166143969,1.62853416831591,9.58641165858474,9.41510269247601,0.0168885689146145,2.85440585292587,4.19620298723005,10,0.294712204858658,3.49420052434925,-8.6016460855913,5.66350972088193,17.0400763982796,5.66350972088193,16.7896789336443,16.8921743322846,0.32230853949666,3410.44233333333,2,7.00843768170142,7.87885602253526,1,-27.9942851312894,2.56583728661164,-0.590040106662972,505.336668368068,0.185100178881655,34.5454545454545,14.170334973935,4.799149501908922
28,15,41.8768420123953,122.394117853702,0.767305092903226,40.9278056762081,2.09885133000887,0.111169157848155,0.512926621110397,3.91967848625366,5.8040260191448,1.9492328217144,1.62746082954187,9.60917887803535,10.0668732501948,0.0168885689146145,2.90915853180656,4.19620480452341,10,0.31178613917648,3.49389045438289,-8.60041028695184,5.80968920509455,17.7479449861711,5.80968920509455,17.4618328788307,17.7999254885128,0.201335074356886,3447.77566666667,2,7.00790011301259,7.94607977279363,1,-25.7886097456481,2.56583710374206,-0.528149523455698,510.251225297227,0.226220506873502,34.5454545454545,14.1349369153603,5.350665141287858
28,15,39.5805945394992,122.394117853702,0.767293484516129,40.0398636177422,2.0990711683359,0.0963391729421129,0.354647456042637,3.91965962463128,5.80401051777653,2.03185888698861,1.50442651498613,7.66760133792055,9.95107666333367,0.0080467915804452,3.00645887209071,4.19673457395776,10,0.19809549686475,3.51944619700617,-9.02178842480015,5.90349006326854,17.3828449013622,5.90349006326854,17.1401652847174,17.2869727355763,0.360030577638744,4080.56900000001,0,7.69310577622825,8.76640668848922,0,-68.4908644522741,2.57001961649938,-0.594364376512868,575.971528783374,0.264942062026291,34.4827586206897,14.1435382805648,5.367542707815276
29,15,41.3283882391235,122.394117853702,0.767664089032258,42.8779365826156,2.09906885319117,0.0964046439942992,0.353989498418714,3.9196240544317,5.80395816976154,2.03189891302727,1.39676707802052,7.30578381483983,9.61742061080721,0.0080467915804452,3.00725605282004,4.19671771802442,11,0.22456639232119,3.53124549293129,-9.02967846062117,5.88582086960403,18.5108823219981,5.88582086960403,18.2181343559141,18.6740569639465,0.378229044785747,4155.23566666667,0,7.69400279325664,8.89541592520253,0,-63.696438852815,2.5658355710388,-0.61237148516429,585.433973260905,0.270978038513865,34.4827586206897,14.1384051100477,5.521433504406157
28,15,42.1123568895961,122.394117853702,0.767293484516129,43.6410507070662,2.09921921010724,0.0849395497354287,0.371371277030618,3.9204659342856,5.80495824577415,2.34470524810927,1.81236077282482,9.42728847584167,11.1184957572905,0.0060934829637731,3.29824033414318,4.19733999841026,10,0.240675290839326,3.52430784079861,-9.52330807688962,7.12159812368595,18.1651970225494,7.12159812368595,17.9020513172152,18.1924389149868,0.198727508120285,5296.13606666667,0,8.89184092129977,9.48313120612529,0,-116.891224764895,2.7020672208415,-0.6281760535153,678.590626440558,0.287700470868229,31.1475409836066,14.2517980380997,5.681936665037238
15,11,23.4860250150737,128.921157158449,0.850856193043478,23.9605387320833,2.08507729453642,0.139306338433438,0.156614694354008,3.90662414534399,5.79815781442036,1.66975062184071,0.809361730602363,3.77245428425445,6.17074111181713,0.0272784563098038,2.64052094587666,4.18432066557131,8,0.0958129327664825,3.3575084780042,-2.87873548080045,4.71661643116515,12.6373302139767,4.71661643116515,12.7634076586591,11.9467661819764,0.032771730047692,1661.49003333333,1,5.22855397142185,6.53765830014923,0,-15.4280061700681,1.53278691668398,-0.307828105473693,319.956900058079,0.152577034621993,33.3333333333333,14.0421654529146,5.36251027048749
15,11,25.6118505152341,128.921157158449,0.850856193043478,24.5691949265137,2.08504544582534,0.148003136128507,0.202191500051465,3.9063860389588,5.79788414442003,1.66786657637627,0.789989791988373,2.7822145556469,6.59843221270595,0.0287791005682758,2.63313922626519,4.18426002540256,8,0.100026099334348,3.35592306185825,-2.87766150968227,4.67894940078546,12.9795187202737,4.67894940078546,13.012312784,12.3754944277522,0.40118459809554,1500.81456666667,0,4.88747786611378,6.17000078509389,0,-14.4561398304721,1.41532190686968,-0.308639550690887,297.063351444348,0.210655401652518,35.7142857142857,13.9653998999694,5.333482019445119
15,11,24.3516684366321,128.921157158449,0.850856193043478,25.3237376612035,2.08546367246724,0.123533899455079,0.161579701926792,3.90665200413328,5.79818140805661,1.72286732826895,0.935602127049759,3.63437953047078,6.51105518609581,0.0114933768154232,2.67529287877353,4.18474817547341,8,0.0938043117897388,3.37652497919771,-3.08779387280188,4.98795979456423,12.7918444556488,4.98795979456423,12.9396317320046,12.0781457235289,0.182223140904934,2055.38883333333,0,5.82116609009037,7.23702915423339,0,-54.1130917072207,2.17685415829729,-0.348808063921368,370.147228292362,0.17425229863433,33.3333333333333,14.0515990329239,5.281498311132726
16,11,25.7228243602806,128.921157158449,0.850856193043478,27.5124249723609,2.08545128357926,0.123628172649771,0.162365785581055,3.90661493524966,5.79812979987239,1.72624014124508,0.843465226296638,3.80455503944183,6.17628959176484,0.0114933768154232,2.67549888934611,4.1847310055167,9,0.114102344599324,3.37795497299685,-3.08671513333889,5.00263116471281,14.0790141392267,5.00263116471281,14.1714659570882,13.6358558267169,0.177859255195041,2108.72216666666,0,5.82202978948127,7.38198085244421,0,-50.9755467058827,2.17685737507076,-0.386553696720145,378.540578302391,0.19672501576121,33.3333333333333,14.0459701535177,5.958607314841775
15,11,25.8398229568104,128.921157158449,0.850856193043478,27.2513996596697,2.08584475145002,0.107355865937632,0.157027746496187,3.9074569833344,5.79909871583178,2.0,0.976681431351131,4.89968226444568,7.67580123275432,0.0063455181795398,2.96150972475825,4.18530770578131,8,0.117034467466861,3.47012131667029,-3.2982354961774,5.70175287829319,13.4839001850009,5.70175287829319,13.5863760953809,12.8368121316335,0.0555888525146403,2834.08056666667,0,6.97159101848292,7.96263137960538,0,-103.93220059716,2.5,-0.387536093286262,452.725052110721,0.212372880905992,29.1666666666667,14.1696910257045,5.042871802323187
15,11,25.9147082477414,128.921157158449,0.850856193043478,26.7277615170787,2.08526639805938,0.123020180351105,0.180034600932836,3.90709256594108,5.79866868432545,1.88421308352703,0.936012541060902,4.57338784193194,6.95373342572201,0.0194292983732418,2.81751766350705,4.18473870136315,8,0.110033584332844,3.37652497776764,-3.08832605469281,5.48143772846791,13.2650102836887,5.48143772846791,13.3574218566644,12.6017315853938,0.194136790030185,2225.63323333333,1,6.07400421530643,7.30071654364805,0,-51.6380157164406,2.17686213815589,-0.339660405796686,387.735892801354,0.199516204793417,31.1111111111111,14.1300135320414,4.9503943874050265
16,11,25.9642896638659,128.921157158449,0.850856193043478,25.3411980498604,2.0854202267248,0.144024388622942,0.166978994395512,3.90635972764003,5.79785955265434,1.66786657637626,0.823801995925968,3.19423734429536,6.21633363799412,0.0138551533179774,2.64182490555262,4.18461570523445,9,0.0958876372497963,3.36721535032978,-3.09003451225954,4.67894940078547,12.6268551158666,4.67894940078547,12.7214737042995,11.9740988522415,0.235735583940178,1522.05706666667,0,4.8741593190793,6.20835363078388,0,-12.690428627311,1.41532190686969,-0.238258250359872,298.412566149381,0.160057634920682,40.0,13.9653998999694,5.568636235841013
15,11,27.2039603044723,139.921045046056,0.850856193043478,26.9560740939179,2.08524944045023,0.184532238023741,0.187413566126299,3.90636718569967,5.79786863424449,1.6762099698216,1.03942882958673,3.07366880190235,6.91181186720396,-0.0313925562918879,2.64510929684034,4.18449774308736,8,0.0774674265065246,3.36751996111355,-3.16001309738674,4.72564647679473,13.5029695308994,4.72564647679473,13.4912410531746,12.9124477734106,0.231368731175677,1706.4601,0,5.11890130913292,6.8064222428747,0,-14.481336502863,1.7400954388357,-0.239823564649485,330.427721756764,0.204624697654738,39.1304347826087,13.9712028936952,5.522878745280337
24,14,38.3980099757011,139.179647401832,0.811127832258064,38.4284212377476,2.09228447187331,0.0977605520379153,0.432441560499558,3.91073756724642,5.81053820021251,1.9886459186502,1.64801038585883,7.8988858684255,9.94836439968026,-0.0119780305598032,2.93584730754335,4.19071334757232,13,0.274005127498952,3.48668303786693,-12.0866796164672,5.74560199741264,17.3223247133072,5.74560199741264,17.0667636899102,17.3166960031194,0.3961233577999,3444.62686666667,0,7.15391552099758,8.28869366272097,0,-32.5689461436725,2.56583672419685,-0.831200729407979,517.459531310656,0.257718303016647,33.3333333333333,14.137332255996,5.701146923590294
