F06[C-C],F03[C-N],L1v,P_VSA_p_2,L1p,HOMA,SpMin1_Bh(p),H6v,RNCG,Tv,H6p,L1e,SpMax_B(v),RDF115v,Tp,SpDiam_B(v),SpMax_B(p),Eig07_EA,SM15_AEA(bo),HOMT,H4s,SpDiam_B(p),TPSA(Tot),H6i,RDF060p,Eig07_AEA(ri),TPSA(NO),SpMin1_Bh(e),SpMax5_Bh(i),VE3sign_RG,F05[C-C],F05[C-N],DP15,MATS1p,SpMax1_Bh(e),Eig07_EA(ed),H7v,RDF145s,SM02_AEA(ri),DP18,H7u,L1u,SP18,DP16,F06[C-N],DP20,DP19,CATS3D_14_AP,Mor19p,GGI2,Eig12_EA,SM5_RG,RDF115m,T(N..Cl),SM3_Dz(p),ALOGP2,MATS4m,J_D/Dt,alvo
18,9,18.3887769777102,110.910406475419,18.5924615047917,0.7521839904,2.08559786896648,0.111661288693662,0.158158999834749,22.3114251139585,0.133448212925967,18.5292126481435,3.90858396930357,3.8164349346498,22.7435141538687,5.80094535626413,3.87532940866743,1.54750416536519,1.54750416536519,18.80459976,4.89667602464483,5.81507790454784,85.31,0.599931794382521,5.12700102901298,2.48346401710019,85.31,1.95313303175846,3.30785458259484,-2.7425634179746,19,7,10.7028836143204,0.0347038991232358,4.13555446698148,3.67548185366589,0.0415195670277218,12.3099695256277,3.67548185366589,9.92331176894221,0.202039497590274,18.1424237681099,10.0471259928794,10.4928888157209,8,9.17010926196332,9.56860814493659,0,-0.239240392717839,3.77777777777778,0.730085689736114,6.40121591447012,8.33405025819439,99,14.7073467722941,13.67224576,-0.0864273819345915,13.5003070336091,6.1938200260161125
18,9,19.5963509428749,110.910406475419,19.8640555988824,0.7542146664,2.08575397895544,0.110537785829658,0.160350682281801,23.4299633502447,0.135964704475852,19.2092557638409,3.90802894862945,3.55257540634476,23.8931195782344,5.80012048712802,3.87435198799505,1.54755973755737,1.54755973755737,18.85536666,5.32185115388786,5.81397275687355,85.31,0.663469189668382,5.178418320964,2.48371059005063,85.31,1.9533210222535,3.3070017141661,-2.74177557947264,19,7,11.3404890054743,0.0347038991232357,4.13552282969214,3.67563296206769,0.0449058213976635,0.91342174615091,3.67563296206769,10.6811479884157,0.238591580789496,18.5923084219065,10.818614634967,11.1715569958242,8,10.0035204947217,10.3646511143282,0,-0.179775384344426,3.77777777777778,0.729994983679456,6.42470124495415,6.76106683128873,109,14.748888082326,13.67224576,-0.148672277948626,13.1878312043837,5.91721462968355
18,9,18.5557573326857,110.910406475419,18.7900840577715,0.7521839904,2.08571046051047,0.111410663493432,0.162565111551043,22.5773750859389,0.140636098846043,18.7828784434062,3.90801363409912,3.15612269224074,23.0183507889717,5.80012553850698,3.8742849695196,1.76974365320093,1.76974365320093,18.80459976,5.70266731870807,5.81391888953644,85.31,0.672462382203232,4.14166144618413,2.70683956370263,85.31,1.95326945584079,3.30742249384492,-2.74244520893679,19,7,11.0522237895125,0.0347038991232357,4.1355286662617,4.96257486685741,0.0374603968370327,0.0090359589160521,4.96257486685741,10.406244834094,0.238208008864021,18.4225837788897,10.5610313178968,10.8861877432485,8,9.74334535587634,10.096707304214,0,-0.253773961131637,3.11111111111111,0.729822584195492,6.41785765234697,6.99246168466716,104,14.7300206759929,13.67224576,0.131478994393663,13.3324932133349,5.531652669587842
34,13,29.3795485653636,104.383367170671,30.3290050523167,0.699155518181818,2.100315590279,0.238504374057226,0.118869953518586,34.6710392451327,0.278919414550879,31.0914702674653,3.92109234183281,7.69680587263125,35.9428057914246,5.80634791845735,3.89116449948565,1.9359537171361,1.9359537171361,23.0721321,7.10369005342845,5.81601962252365,75.5,1.15849118290789,9.61005386484823,2.91853675964846,75.5,1.9757816411481,3.46911256704424,-6.03452989257472,32,10,14.468404490773,0.006841912394991,4.15365219207748,5.65005878132736,0.111931585567879,25.7569603781625,5.65005878132736,14.3853062057529,0.436825661245507,31.6051302759722,14.5734686671898,14.4938443726219,10,14.0809162692886,14.256454028434,0,0.2783122539009,4.22222222222222,1.06471568707745,7.07162387130354,7.04475412227583,0,16.3519113812215,30.074256,-0.005589751526976,13.9762630991394,4.522878745280337
33,13,33.3065542851964,104.383367170671,34.2084990061107,0.697954366060606,2.1001994768437,0.310284342318601,0.118955393491684,38.3231481035879,0.358463359725085,35.2736322158533,3.92080365542334,6.67547650283844,39.5124391825243,5.80583261413754,3.8907874966612,1.87938524157182,1.87938524157182,23.03249408,7.36979097636664,5.8154959316774,75.5,1.61620628320003,9.27800727333373,2.87938524157182,75.5,1.97510005017323,3.471445737029,-5.06195679201671,30,11,15.3292883758378,0.006841912394991,4.15355302924226,5.62731081166063,0.154159181746656,11.1796412883044,5.62731081166063,15.4338295807095,0.58131182733428,35.7289595628366,15.6042304473243,15.4159247621223,10,15.2610831647602,15.3701761574816,0,0.225388627882129,3.77777777777777,1.07884816583806,7.03964302910073,6.88183346668023,0,16.365173131645,30.074256,0.0600330061336523,13.8755106729352,4.522878745280337
32,13,33.3083755131298,126.383142945884,33.9868223676611,0.699492756969697,2.09968011700452,0.465661658823764,0.152393647823095,38.7958620547569,0.549943903086873,35.5606520489659,3.92074423531975,11.4732917872972,39.7774046765621,5.80581789094036,3.89053710463687,1.88811566597022,1.88811566597022,23.08326098,7.81912139290617,5.81532815018943,93.96,1.91376848437285,11.2876641803363,2.86196144993535,93.96,1.96901477131597,3.47060623088459,-12.5184866102062,34,9,15.7625208129681,-0.0521411577322847,4.15324498253418,5.69077803822141,0.286894357447442,18.2230596662814,5.69077803822141,15.9784674803276,1.12559421388073,35.8348871769329,16.2441581656773,15.8862182476797,11,15.8797141781075,15.9518909872609,0,-0.0009680160723457,4.44444444444444,1.17302419459955,7.07377114802151,12.1754944057846,0,16.8984884150202,20.05964944,-0.111971867055623,14.0137659409648,5.023650020996727
28,15,28.0203003380735,122.394117853702,28.8588145184585,0.767664089032258,2.09889675568643,0.271863844806638,0.111841114650388,34.8591207309676,0.300888587054213,28.4443676876757,3.91937873087144,6.74056677885334,36.0665357551637,5.80369841092013,3.88897037266855,1.89960488155872,1.89960488155872,23.79758676,8.15890005839556,5.81323949554472,87.53,1.23489603015389,9.27078208213911,2.85284156975377,87.53,1.96604169535084,3.49423122128798,-8.4793338415309,27,12,14.7020169189211,0.0136468844989613,4.15195394985239,5.50586654999091,0.110263442322131,26.0679169014107,5.50586654999091,14.7428836492081,0.431298101311652,28.5392184346257,14.9401437061008,14.7664845553981,13,14.5306135820493,14.6593286499248,0,0.0075630698354191,3.33333333333333,1.17516794079634,6.87376226190538,6.79861132816288,47,16.6284606015226,25.84908964,0.0294299991662085,13.6338097034149,5.133122185662502
28,15,38.9955929726704,122.394117853702,39.8966232875393,0.767664089032258,2.09881867871683,0.453471359683529,0.109691432302794,42.9270634752315,0.488713525922407,39.3972200430342,3.91981018620645,9.58641165858474,44.0616275613313,5.80420664560669,3.88958856646796,1.89966166143969,1.89966166143969,23.79758676,8.28238899117894,5.81390911129692,87.53,1.62853416831591,9.41510269247601,2.85440585292587,87.53,1.96599214427825,3.49420052434925,-8.6016460855913,27,12,16.633050739736,0.0168885689146145,4.15201551545649,5.66350972088193,0.294712204858658,48.1724664059368,5.66350972088193,16.94050533495,0.909651276584125,39.5466742756206,17.1045264688274,16.7896789336443,13,16.8921743322846,16.940052303579,0,-0.0955572037481228,4.22222222222222,1.23825926040049,6.82552940325671,9.56992097780993,89,16.7505171104499,33.04640196,-0.0673727039104053,13.9341866806155,4.799149501908922
28,15,40.9278056762081,122.394117853702,41.8768420123953,0.767305092903226,2.09885133000887,0.474786459568521,0.111169157848155,44.6704170150161,0.512926621110397,40.1622230496905,3.91967848625366,9.60917887803535,45.8462261240354,5.8040260191448,3.88940317391876,1.9492328217144,1.9492328217144,23.78645788,8.22098795341832,5.81368944132382,87.53,1.62746082954187,10.0668732501948,2.90915853180656,87.53,1.96600624597587,3.49389045438289,-8.60041028695184,27,12,17.2502123821,0.0168885689146145,4.1520033151725,5.80968920509455,0.31178613917648,38.0406972742252,5.80968920509455,17.727391487512,0.908941863144293,39.8229103888932,17.8743825483355,17.4618328788307,13,17.7999254885128,17.7866226439511,0,-0.0212329141066181,4.0,1.23771029976215,6.82974917208828,10.9936935559247,99,16.775700479169,33.04640196,-0.0389666528587403,13.7200800100726,5.350665141287858
28,15,40.0398636177422,122.394117853702,39.5805945394992,0.767293484516129,2.0990711683359,0.347106032949394,0.0963391729421129,44.8831264081902,0.354647456042637,41.8180687023627,3.91965962463128,7.66760133792055,44.3010090633254,5.80401051777653,3.88922086125746,2.03185888698861,2.03185888698861,23.78609802,12.5669720911672,5.81352319516937,87.53,1.50442651498613,9.95107666333367,3.00645887209071,87.53,1.96624569182343,3.51944619700617,-9.02178842480015,28,12,16.9731311289317,0.0080467915804452,4.15251528265014,5.90349006326854,0.19809549686475,40.8429293521343,5.90349006326854,17.3124510696617,0.581361043958781,41.2207457253654,17.4559899469175,17.1401652847174,14,17.2869727355763,17.3232122614999,0,0.0814425025740458,4.22222222222222,1.23449130284963,6.91064240755159,8.44458521496395,0,17.2493715652819,28.75211641,-0.0270856843091756,14.0762107166858,5.367542707815276
