F06[C-C],F03[C-N],RNCG,SpMin1_Bh(p),F05[C-N],DP15,RDF040s,CATS2D_00_DP,F10[C-Cl],B05[N-Br],CATS3D_00_DP,alvo
26,14,0.0963308750250069,2.09422151040059,17,17.4791898575805,53.255731046878,0,0,0,0,6.920818753952375
24,14,0.0910605739631306,2.09229262573043,15,17.4535412292363,66.8223625684559,0,2,0,0,5.85078088734462
24,14,0.0868707688287794,2.09243623032813,15,18.0084775518614,71.8544348267694,0,2,0,0,5.7121982700697735
24,14,0.0918685022905276,2.09123414170093,15,18.0398116051629,92.8227573046391,0,4,0,0,7.522878745280337
29,12,0.107598630252621,2.09470000639501,14,15.806962973598,65.6687839367422,0,1,0,0,5.785156151952302
31,13,0.119672194146179,2.09920015290761,9,14.5410300018719,76.2387655157995,0,3,0,0,4.522878745280337
31,13,0.116330831337114,2.0994241493746,9,15.591591612308,53.0316759127562,0,1,0,0,5.094743951251549
31,13,0.114718111759137,2.09927559450978,9,15.5814123415224,63.994223194182,0,2,0,0,5.13430394008393
21,9,0.156933298971348,2.08794145987161,8,9.84962039444708,42.4955157357257,1,0,0,1,5.563837352959244
27,12,0.1093854263302,2.09283659612082,12,15.7445400243858,61.7266772744734,0,1,0,0,5.935542010773082
27,12,0.103395116743929,2.09297577905092,12,15.7589818953623,65.3320656579806,0,1,0,0,6.346787486224656
27,12,0.108182419471468,2.09162207236245,12,16.398508727633,96.3222733673633,0,4,0,0,4.633017024022149
28,12,0.0976861204636099,2.09315556474637,13,16.7075937187141,68.2673864109974,0,2,0,0,5.739928612014925
28,12,0.0928805240434246,2.09329160306068,13,17.2127470677129,73.3093211653961,0,2,0,0,5.790484985457369
28,12,0.097673187554068,2.0922263947321,13,17.5654678662009,97.6422474246978,0,6,0,0,6.180456064458132
28,12,0.0934393015442376,2.09218740119937,13,17.6356705323899,96.2294859167109,0,4,0,0,4.522878745280337
28,12,0.0974377606960562,2.09312502937637,13,17.5734328363526,84.696196440785,0,3,0,0,5.554395796726403
28,12,0.0990434644840064,2.09252115135988,13,17.4670127947043,68.7348661893414,0,2,0,0,5.7447274948966935
29,12,0.0859372726038141,2.09405637219457,14,17.966274798009,79.8792827512276,0,2,0,0,4.897223385116559
31,13,0.120744160442093,2.09956922025163,9,15.6051262570532,52.8066441255373,0,1,0,0,5.150580586203101
27,12,0.10936921037421,2.09188505279968,12,16.7143296725823,90.9841036996251,0,5,0,0,6.045757490560675
27,12,0.110553330231632,2.0918104571356,12,15.8843768240674,86.3309511391627,0,3,0,0,5.939302159646388
24,14,0.0860249536033771,2.093128232789,15,18.5237094866832,58.6491587689341,0,0,0,0,5.563837352959244
26,14,0.0767390456172651,2.0945533137629,17,18.4660005530715,74.0613201890771,0,0,0,0,6.958607314841775
25,14,0.0832369621693857,2.09333860058524,16,18.5230814268198,56.8754274574691,0,0,0,0,6.3872161432802645
25,14,0.0857101370105555,2.09250978605232,16,18.5488125617282,71.0637960824674,0,3,0,0,6.096910013008056
28,12,0.098616495920139,2.09215283495727,13,17.3136516755411,94.2987680298635,0,4,0,0,7.397940008672037
28,12,0.0945166876968622,2.0926470541677,13,17.5407937232435,84.8816376912976,0,3,0,0,5.543633966870957
24,14,0.0883004198000314,2.09175610488989,15,18.355783777735,83.4359001847128,0,3,0,0,5.892790030352131
28,12,0.0859673143291468,2.09395705442434,13,18.3730692280627,79.0505460551061,0,2,0,0,5.795880017344075
31,13,0.123195894785218,2.09938233441598,9,15.0946137694291,36.8266861877035,0,0,0,0,5.197226274708024
32,13,0.103707568408682,2.09988921613502,10,16.5138286290751,48.058704303807,0,0,0,0,4.522878745280337
31,13,0.103750910617322,2.0998383859168,9,15.9390385221752,47.8624046214353,0,0,0,0,5.769551078621726
32,13,0.0997588878773194,2.09991777308681,10,16.7156737216223,45.3415649197254,0,0,0,0,4.522878745280337
32,13,0.103297614591051,2.09965997635001,10,16.7267763734021,59.6540208356049,0,2,0,0,4.522878745280337
24,14,0.0908447243955066,2.0922558099583,15,18.3804798756879,83.2603715725661,0,3,0,0,5.935542010773082
25,14,0.0807674415250543,2.09325706699376,16,18.9532381124584,78.4262997738873,0,2,0,0,6.251811972993799
24,14,0.080793976901747,2.09313356134136,15,19.0732820654708,77.6270409583704,0,2,0,0,5.756961951313706
26,14,0.0725489231451442,2.09456508418728,17,19.0254570112449,93.0347975164646,0,2,0,0,8.0
30,12,0.076693175081904,2.09528030953292,15,18.2090627464501,94.4853146172214,0,2,0,0,6.259637310505756
27,12,0.105426745819386,2.09231636091756,12,16.6865019978612,78.3352711478521,0,2,0,0,6.050609993355088
27,12,0.104088040628961,2.09184591237346,12,16.7288626421072,89.6299445460917,0,3,0,0,5.889410289700751
27,12,0.109074109765944,2.09280371723642,12,16.2058481172107,76.6962226518857,0,2,0,0,6.008773924307505
27,12,0.111090198931021,2.09218640060216,12,16.5166939928805,62.1091510530037,0,1,0,0,6.309803919971486
28,12,0.0948630583449304,2.09376289501069,13,17.0434546866758,73.2745525887347,0,1,0,0,5.966576244513051
