F03[C-N],SpMin1_Bh(p),F06[C-C],F05[C-N],F06[O-S],alvo
12,2.09315556474637,28,13,0,5.739928612014925
12,2.09329160306068,28,13,0,5.790484985457369
12,2.0922263947321,28,13,0,6.180456064458132
12,2.09218740119937,28,13,0,4.522878745280337
12,2.09312502937637,28,13,0,5.554395796726403
12,2.09252115135988,28,13,0,5.7447274948966935
12,2.09405637219457,29,14,0,4.897223385116559
13,2.09956922025163,31,9,0,5.150580586203101
12,2.09188505279968,27,12,0,6.045757490560675
12,2.0918104571356,27,12,0,5.939302159646388
14,2.093128232789,24,15,0,5.563837352959244
14,2.0945533137629,26,17,0,6.958607314841775
14,2.09333860058524,25,16,0,6.3872161432802645
14,2.09250978605232,25,16,0,6.096910013008056
12,2.09215283495727,28,13,0,7.397940008672037
12,2.0926470541677,28,13,0,5.543633966870957
14,2.09175610488989,24,15,0,5.892790030352131
12,2.09395705442434,28,13,0,5.795880017344075
13,2.09938233441598,31,9,0,5.197226274708024
13,2.09988921613502,32,10,0,4.522878745280337
13,2.0998383859168,31,9,0,5.769551078621726
13,2.09991777308681,32,10,0,4.522878745280337
13,2.09965997635001,32,10,0,4.522878745280337
14,2.0922558099583,24,15,0,5.935542010773082
14,2.09325706699376,25,16,0,6.251811972993799
14,2.09313356134136,24,15,0,5.756961951313706
14,2.09456508418728,26,17,0,8.0
12,2.09528030953292,30,15,0,6.259637310505756
12,2.09231636091756,27,12,0,6.050609993355088
12,2.09184591237346,27,12,0,5.889410289700751
12,2.09280371723642,27,12,0,6.008773924307505
12,2.09218640060216,27,12,0,6.309803919971486
12,2.09376289501069,28,13,0,5.966576244513051
13,2.09958922659715,31,9,0,4.522878745280337
13,2.09963352848223,31,9,0,5.100179497572904
14,2.09334837401139,25,16,0,7.221848749616356
12,2.09414241529169,29,14,0,6.337242168318426
12,2.09336158898645,29,14,0,5.609064892896621
12,2.09332913109663,28,13,0,5.987162775294828
