F03[C-N],L1p,H6v,SpMin1_Bh(p),TPSA(Tot),L1v,F06[C-C],H6p,F05[C-N],TPSA(NO),RDF115v,L1e,SpMax_B(v),SpDiam_B(v),SpMax_B(p),SpDiam_B(p),H6i,HOMT,Tp,Eig07_EA,RDF060p,SM15_AEA(bo),MATS1p,CATS3D_02_AL,SpMin1_Bh(e),SpMax1_Bh(i),RDF145s,SpMax5_Bh(i),SpMax1_Bh(e),H7u,SM02_AEA(ri),Eig07_EA(ed),CATS2D_06_LL,L1u,DP15,Eig12_EA(ri),CATS2D_08_AL,SpMax4_Bh(p),F01[C-N],SpMin4_Bh(s),SpMax5_Bh(e),HATS4u,RDF125v,RDF060v,SM12_EA,SpPosLog_Dz(e),VE2sign_B(m),HyWi_X,GGI8,RDF045m,Mor26p,alvo
11,23.555285053707,0.141964595531544,2.08506564352015,97.34,23.1714010109862,15,0.15880194206667,10,97.34,3.34171270280855,23.6844635741049,3.90638582015433,5.7978889352845,3.87186479961633,5.81119089889248,0.788637323596249,19.56969244,27.1547243363671,1.65056858795789,6.08128424431615,1.65056858795789,0.0284157833057165,3,1.94701175215642,4.18427118540634,6.49500945206258,3.35627898226896,4.13476947844667,0.324153730278952,4.54804515296877,4.54804515296877,4,23.5692185106018,12.1464007320029,0.679720523771481,1,3.17730007251087,12,0.502617021023897,3.28875584611306,0.361902701935688,2.93134626580174,6.0235195853935,14.2799267314114,5.56562080390963,0.00642653584166,2.34939557982023,0.246677374653565,12.5480970179185,-0.245830059853816,5.300162274132754
11,23.5995943753316,0.150671603467981,2.08490830692647,97.34,23.224999464125,15,0.171695238080505,10,97.34,3.04933271434724,23.6522769185321,3.90682234904245,5.79839133612776,3.87254010311743,5.81190257626986,0.786733808017493,19.56969244,27.3705223012329,1.6541474936615,5.91553921196361,1.6541474936615,0.0381293583886995,3,1.94687157595382,4.1842625894073,8.66883721531779,3.35627827341651,4.13483276261313,0.318496381162543,4.64917308397103,4.64917308397103,2,23.5279845771527,12.1727949648262,0.679748552911053,1,3.17730341077369,12,0.502617007143713,3.28875685527402,0.363114836184909,2.32537075425224,5.83657089674506,14.4604119011821,5.83770825669536,0.0061324372572299,2.37992617656166,0.267589443184681,15.9971528811877,-0.274281292224312,5.896196279044043
9,19.2315483185911,0.114285496880584,2.08691350922283,85.31,20.4662462782889,18,0.132501738843513,7,85.31,5.11088072850646,22.1942821615042,3.90773327459922,5.79975855390872,3.87355301843376,5.81317139359221,0.654286438406357,18.80459976,23.4685356640181,1.70767979137926,4.00511244583995,1.70767979137926,0.0150029018508288,4,1.95693910680322,4.1851027616627,14.1338281500659,3.37042248713361,4.13611027358504,0.248988962168937,4.91811089292111,4.91811089292111,9,21.1136574238499,11.830111652135,0.951944081670218,4,3.20324336770259,10,0.503367048894455,3.30332449944171,0.384200505152777,2.93537689285751,3.94376374619117,15.0343500040992,6.1573810133387,0.0051126978307711,2.39627611243924,0.351229843789368,9.67909729159307,-0.192032640490341,5.152427340857888
9,19.5591124169791,0.242146236483971,2.08794321269317,85.31,20.6782578714763,20,0.175585200422905,9,85.31,4.36715160679809,22.2753781538599,3.90947376821854,5.80231649066716,3.87582010879288,5.81591053382654,1.32457810375269,18.80459976,24.0302588886244,1.8643994809495,6.59591062064236,1.8643994809495,0.0107387352149461,4,1.96087958196653,4.18580476863687,3.90717279649051,3.45224192124438,4.13715317494677,0.328382050177513,5.51054217360109,5.51054217360109,9,21.3613562064341,12.271580551433,1.04238411404935,4,3.18760559419943,10,0.50298341311034,3.41846638663548,0.352335661257956,2.46605546057797,8.46726701188854,15.4822503072861,7.25074919334534,0.0050420173469599,2.49470208734272,0.40162037037037,10.1520799792103,-0.204862676390479,5.079876673709276
15,41.4252645210591,0.367001064359396,2.09898601626382,87.53,41.7683658090263,28,0.37857047477988,12,87.53,8.88453871772025,42.3843035043506,3.92009640971864,5.80450455555129,3.88980456299471,5.81414767986047,1.50118679489295,23.78609802,46.0971909996826,2.16993348096179,10.3980100251704,2.16993348096179,0.0104721048351113,8,1.96618249118858,4.19672464017812,79.137815023977,3.5192062657597,4.15258409381371,0.579526958931565,6.38210842523171,6.38210842523171,11,41.3797550936991,17.3275405001416,1.22094167088036,4,3.76314714099939,11,1.01883045878569,3.47637291357998,0.257947976668749,5.86111495682354,10.2051729354848,15.2176942622071,9.23720583178535,0.0039004843394817,2.67480447173407,0.530895691609978,17.8615829133217,-0.2608951812277,5.634512015109101
13,30.7297110743541,0.363053586660236,2.09964145368162,84.73,29.8865067090001,31,0.361985141263343,9,84.73,6.04925023429303,30.8513981944677,3.9204378717805,5.80532074146577,3.89016177419709,5.814826737443,1.55696247010855,23.03249408,36.2762210093564,2.13628439574805,8.50258822359166,2.13628439574805,-0.0228413608105929,11,1.96921978562015,4.19680186351573,24.7997013784712,3.477976354131,4.15293818944346,0.586961458189117,6.32925033821234,6.32925033821234,14,31.3910777082407,14.5750918760814,1.2181864050697,9,3.75297913438546,9,1.01500904264452,3.44994120017251,0.239079649125804,6.03039555196281,8.58744164549164,14.8931950465667,8.89980477234801,0.0034674709149474,2.65288878421065,0.467395754598136,13.8822804077467,-0.147902106495202,4.522878745280337
13,33.7572566556849,0.460210790544213,2.09963830267315,84.73,35.3387240997859,32,0.457988222165116,9,84.73,8.84901700600648,37.9109168852261,3.92037583929875,5.80520061993716,3.89009636705327,5.81470678117088,1.86106589090478,23.0955828,38.6137705418998,2.18747228696499,7.80135293750855,2.18747228696499,-0.0228413608105929,11,1.96924880068132,4.19679339203842,15.979599105044,3.48613230093219,4.15291842123682,0.824673029975919,6.49417609521297,6.49417609521297,16,36.418148763379,16.9014278910576,1.15877804075697,9,3.75298625722796,9,1.01501072005369,3.46218750543323,0.259155268225232,9.66571121526601,8.20562645161348,14.8850808474918,8.94058434465595,0.0041501681314434,2.65288878421065,0.413225938523558,15.8922553962376,-0.170868590513185,4.672028376376989
9,17.1073042839757,0.095276482753478,2.08635950387746,85.31,16.915393007153,18,0.118007011238109,7,85.31,2.16831378707832,18.1957709970769,3.90700026330762,5.79884938551017,3.87266572847961,5.8121775097366,0.670808226395359,18.80459976,21.0445826639632,1.54687440356713,4.16071149353949,1.54687440356713,0.021138522219689,4,1.95456125147942,4.18456767792944,0.588299865331115,3.30827630775328,4.13537406950618,0.238332163160042,3.67142699205507,3.67142699205507,9,18.2283464971521,9.78729049292271,0.679372395777045,4,3.15793057001502,10,0.501722870497825,3.25904685571373,0.368466383041096,1.08122697508908,4.12756020540598,14.3081895225617,4.95971143643229,0.0063157687868371,2.28709417147498,0.21164808515999,9.19530422508334,-0.141767384735862,6.070581074285707
9,17.0604348137645,0.0973330979808659,2.08646359850713,85.31,17.2891347320739,18,0.116429286193231,7,85.31,2.3005589188337,18.5076180809982,3.90800075443205,5.80041278783193,3.87384900224309,5.81373161063582,0.670478590736808,18.80459976,21.0118152603815,1.64066676710757,4.33209873170574,1.64066676710757,0.0195365503887606,4,1.95261233321547,4.18472902531285,9.0473085894016,3.31456479369265,4.13567972215277,0.233284027903281,4.43901142022849,4.43901142022849,7,18.249133037548,10.3988642054279,0.679555464206985,3,3.15762388310583,10,0.500604407980756,3.26584838782235,0.366612527550123,1.04931401801974,4.67543562722856,14.4769260723226,5.51646211462078,0.0076050117229336,2.34460047801663,0.2975639329806,9.45190282360633,-0.130663395114295,5.139063379299906
9,17.0381499057187,0.102234324113711,2.08645048357548,85.31,17.6237355769322,18,0.11715081974346,7,85.31,2.29670448173302,18.8486149217829,3.90778671494238,5.79999717021308,3.87359985686202,5.81334172719985,0.695649360055718,18.80459976,20.9867591094951,1.76974365320093,4.42620459952364,1.76974365320093,0.0195365503887606,4,1.95275635981431,4.18471358647395,11.0852634761887,3.31422971602805,4.13564826919976,0.237844444126045,4.96257486685741,4.96257486685741,5,18.305509186485,10.7820708944303,0.679403724797583,4,3.15762323499176,10,0.500406281083722,3.26538899806592,0.368028350607534,1.58188929221259,4.83398212644913,14.4009193980804,5.51538948061721,0.0041754144341974,2.34245924387974,0.253472222222222,9.22740169327527,-0.109485609892672,6.337242168318426
