SpMin1_Bh(p),P_VSA_LogP_4,F05[O-Cl],F06[C-C],alvo
2.09312502937637,118.527726613271,1,28,5.554395796726403
2.09252115135988,118.527726613271,0,28,5.7447274948966935
2.09405637219457,118.527726613271,0,29,4.897223385116559
2.09956922025163,89.9710950685507,1,31,5.150580586203101
2.09188505279968,118.527726613271,2,27,6.045757490560675
2.0918104571356,118.527726613271,3,27,5.939302159646388
2.093128232789,113.823076678204,0,24,5.563837352959244
2.0945533137629,113.823076678204,0,26,6.958607314841775
2.09333860058524,113.823076678204,0,25,6.3872161432802645
2.09250978605232,113.823076678204,0,25,6.096910013008056
2.09215283495727,118.527726613271,2,28,7.397940008672037
2.0926470541677,118.527726613271,1,28,5.543633966870957
2.09175610488989,113.823076678204,1,24,5.892790030352131
2.09395705442434,118.527726613271,0,28,5.795880017344075
2.09938233441598,89.9710950685507,0,31,5.197226274708024
2.09988921613502,89.9710950685507,0,32,4.522878745280337
2.0998383859168,89.9710950685507,0,31,5.769551078621726
2.09991777308681,89.9710950685507,0,32,4.522878745280337
2.09965997635001,89.9710950685507,0,32,4.522878745280337
2.0922558099583,113.823076678204,1,24,5.935542010773082
2.09325706699376,113.823076678204,0,25,6.251811972993799
2.09313356134136,113.823076678204,0,24,5.756961951313706
2.09456508418728,113.823076678204,0,26,8.0
2.09528030953292,118.527726613271,0,30,6.259637310505756
2.09231636091756,118.527726613271,2,27,6.050609993355088
2.09184591237346,118.527726613271,3,27,5.889410289700751
2.09280371723642,118.527726613271,2,27,6.008773924307505
2.09218640060216,118.527726613271,1,27,6.309803919971486
2.09376289501069,118.527726613271,1,28,5.966576244513051
2.09958922659715,89.9710950685507,0,31,4.522878745280337
2.09963352848223,89.9710950685507,0,31,5.100179497572904
2.09334837401139,113.823076678204,0,25,7.221848749616356
2.09414241529169,118.527726613271,0,29,6.337242168318426
2.09336158898645,118.527726613271,0,29,5.609064892896621
2.09332913109663,118.527726613271,0,28,5.987162775294828
