F06[C-C],F03[C-N],TPSA(Tot),RNCG,L1v,HOMA,F05[C-N],P_VSA_p_2,SM15_AEA(bo),SpMax_B(v),H6p,Tv,H4s,Eig07_EA,SpMax_B(p),SpDiam_B(v),SpDiam_B(p),RDF115v,L1e,H6i,Eig07_AEA(ri),RDF060p,SpMin1_Bh(e),TPSA(NO),CATS3D_02_AL,VE3sign_RG,SpMax1_Bh(i),SM02_AEA(ri),SpMax5_Bh(i),RDF145s,F06[C-N],DP18,SpMax1_Bh(e),H7u,H7v,DP20,Eig12_EA(ri),DP19,SP07,B05[N-O],DISPe,RDF025p,ATSC1e,B04[N-F],Mor20v,VE1sign_B(m),SpMax_EA(ed),J_RG,SpMin1_Bh(s),R8p+,HyWi_X,alvo
15,11,97.34,0.146303706524086,23.1714010109862,0.850856193043478,10,128.921157158449,1.65056858795789,3.90638582015433,0.15880194206667,26.5580984239565,4.8127855081038,1.65056858795789,3.87186479961633,5.7978889352845,5.81119089889248,3.34171270280855,23.6844635741049,0.788637323596249,2.61366209016839,6.08128424431615,1.94701175215642,97.34,3,-2.87835690274128,4.18427118540634,4.54804515296877,3.35627898226896,6.49500945206258,11,11.5809895042002,4.13476947844667,0.324153730278952,0.0878469336277225,10.9581006899694,0.679720523771481,11.2925485747106,10.6062710841708,0,0.0754517583659248,17.1357332805999,0.0972301761224497,0,1.53063521393471,0.17351646772482,11.2013061303415,116.928008229381,1.14902659931262,0.0112459666276392,2.34939557982023,5.300162274132754
15,11,97.34,0.143091485721548,23.224999464125,0.850856193043478,10,128.921157158449,1.6541474936615,3.90682234904245,0.171695238080505,26.7842586735816,5.23464085869018,1.6541474936615,3.87254010311743,5.79839133612776,5.81190257626986,3.04933271434724,23.6522769185321,0.786733808017493,2.61412583515198,5.91553921196361,1.94687157595382,97.34,3,-2.87876394815035,4.1842625894073,4.64917308397103,3.35627827341651,8.66883721531779,11,11.6181335429787,4.13483276261313,0.318496381162543,0.0870153145802214,11.0039909753229,0.679748552911053,11.3339364150382,10.5978210705242,0,0.179490152365852,17.5004300802332,0.131260419642858,0,1.48501575517974,0.171708243202438,11.2013078351136,118.680300210257,1.14903123190577,0.014713883562439,2.37992617656166,5.896196279044043
18,9,85.31,0.134307147447364,20.4662462782889,0.7521839904,7,110.910406475419,1.70767979137926,3.90773327459922,0.132501738843513,24.6441829697795,10.5172750657341,1.70767979137926,3.87355301843376,5.79975855390872,5.81317139359221,5.11088072850646,22.1942821615042,0.654286438406357,2.65445815835136,4.00511244583995,1.95693910680322,85.31,4,-2.95073678139564,4.1851027616627,4.91811089292111,3.37042248713361,14.1338281500659,9,11.1881161202582,4.13611027358504,0.248988962168937,0.0473263235132863,10.520335364182,0.951944081670218,10.8766096054054,10.509829041132,0,0.559767995857597,20.7360000980651,0.211287318117902,0,1.34561529806507,0.148268237092363,11.6583274971557,120.560120382372,1.15463551868255,0.0076902409396104,2.39627611243924,5.152427340857888
20,9,85.31,0.115396358000517,20.6782578714763,0.7521839904,9,110.910406475419,1.8643994809495,3.90947376821854,0.175585200422905,25.2700951566376,11.7521165834648,1.8643994809495,3.87582010879288,5.80231649066716,5.81591053382654,4.36715160679809,22.2753781538599,1.32457810375269,2.7950907312222,6.59591062064236,1.96087958196653,85.31,4,-3.16493362955846,4.18580476863687,5.51054217360109,3.45224192124438,3.90717279649051,8,11.7556157500785,4.13715317494677,0.328382050177513,0.0613154364859349,11.1692000624167,1.04238411404935,11.4851743374703,10.6719865987028,0,0.827664397125501,22.9102144643122,0.441934967745749,0,1.41018723824938,0.166386572449678,11.9789870043311,135.452675705911,1.16284764185903,0.0083547218894741,2.49470208734272,5.079876673709276
28,15,87.53,0.0959822119974778,41.7683658090263,0.767293484516129,12,122.394117853702,2.16993348096179,3.92009640971864,0.37857047477988,46.5502738906591,17.5899411596486,2.16993348096179,3.88980456299471,5.80450455555129,5.81414767986047,8.88453871772025,42.3843035043506,1.50118679489295,3.08219030360145,10.3980100251704,1.96618249118858,87.53,8,-9.03732534302529,4.19672464017812,6.38210842523171,3.5192062657597,79.137815023977,14,17.7471200364215,4.15258409381371,0.579526958931565,0.21320043296857,17.7773314712468,1.22094167088036,17.785532451705,13.2231218671827,1,0.799213882472193,28.1043988705465,0.233572640000002,0,2.11183161932641,0.152118889239787,12.1808096061693,177.136011447295,1.17238380071243,0.0100627356243377,2.67480447173407,5.634512015109101
31,13,84.73,0.130249133270545,29.8865067090001,0.697954366060606,9,115.383255058278,2.13628439574805,3.9204378717805,0.361985141263343,35.6719857877494,11.3078691581436,2.13628439574805,3.89016177419709,5.80532074146577,5.814826737443,6.04925023429303,30.8513981944677,1.55696247010855,3.09612953335169,8.50258822359166,1.96921978562015,84.73,11,-8.9363302238406,4.19680186351573,6.32925033821234,3.477976354131,24.7997013784712,11,14.4563282232166,4.15293818944346,0.586961458189117,0.159713366299695,14.1296671934205,1.2181864050697,14.3161559857691,12.0269789611807,1,0.500639575445924,28.1832476196914,0.220766273327178,0,1.85046834092339,0.131763894768004,11.2948014915509,168.011397493583,1.17401105687178,0.0100425876478751,2.65288878421065,4.522878745280337
32,13,84.73,0.130412421036889,35.3387240997859,0.699866145454545,9,115.383255058278,2.18747228696499,3.92037583929875,0.457988222165116,39.9410141605182,11.5072881870278,2.18747228696499,3.89009636705327,5.80520061993716,5.81470678117088,8.84901700600648,37.9109168852261,1.86106589090478,3.14299016728367,7.80135293750855,1.96924880068132,84.73,11,-8.81752647485968,4.19679339203842,6.49417609521297,3.48613230093219,15.979599105044,10,17.2921011561346,4.15291842123682,0.824673029975919,0.268470528987461,17.2998279109371,1.15877804075697,17.3196415337177,12.9524243991391,1,0.776503859435422,28.495556810802,0.220766273327178,0,1.7478436095455,0.157706388994849,11.2947996057418,169.145712884957,1.17399444503568,0.0085745136608277,2.65288878421065,4.672028376376989
18,9,85.31,0.160380919819661,16.915393007153,0.7521839904,7,110.910406475419,1.54687440356713,3.90700026330762,0.118007011238109,20.6346846679517,4.32809757838478,1.54687440356713,3.87266572847961,5.79884938551017,5.8121775097366,2.16831378707832,18.1957709970769,0.670808226395359,2.48265209085269,4.16071149353949,1.95456125147942,85.31,4,-2.7399813720788,4.18456767792944,3.67142699205507,3.30827630775328,0.588299865331115,8,8.80372164679005,4.13537406950618,0.238332163160042,0.0364606052749279,7.90724989533565,0.679372395777045,8.37806007549741,9.56753132872303,0,0.13728767379124,18.7488123352172,0.0471767353437508,0,1.18966522094996,0.15789421967093,11.2013752217632,105.164311818782,1.15244003535414,0.010196279193456,2.28709417147498,6.070581074285707
18,9,85.31,0.146777119096961,17.2891347320739,0.7521839904,7,110.910406475419,1.64066676710757,3.90800075443205,0.116429286193231,21.0868522344094,8.69496014814417,1.64066676710757,3.87384900224309,5.80041278783193,5.81373161063582,2.3005589188337,18.5076180809982,0.670478590736808,2.59028731357905,4.33209873170574,1.95261233321547,85.31,4,-2.74081276055174,4.18472902531285,4.43901142022849,3.31456479369265,9.0473085894016,8,9.52831979825415,4.13567972215277,0.233284027903281,0.0390667834016745,8.70727595897592,0.679555464206985,9.14034465268985,9.74502357205332,0,0.255320140505641,18.7258504522971,0.158325192868751,1,1.18144520259156,0.205335316519209,11.2014237120335,106.64502804212,1.15159807580628,0.0101492581447453,2.34460047801663,5.139063379299906
18,9,85.31,0.14938087488123,17.6237355769322,0.7521839904,7,110.910406475419,1.76974365320093,3.90778671494238,0.11715081974346,21.4501850711874,9.26518578522327,1.76974365320093,3.87359985686202,5.79999717021308,5.81334172719985,2.29670448173302,18.8486149217829,0.695649360055718,2.7168928583341,4.42620459952364,1.95275635981431,85.31,4,-2.74154156412825,4.18471358647395,4.96257486685741,3.31422971602805,11.0852634761887,8,10.0479959333218,4.13564826919976,0.237844444126045,0.0365053620366297,9.32573612090379,0.679403724797583,9.70877596116544,9.84191713793039,0,0.318373710643286,18.6525603813153,0.158325192868751,0,1.23519634162437,0.112736189723331,11.2013801395855,106.861997888011,1.15172626640208,0.0101020192855065,2.34245924387974,6.337242168318426
