F03[C-N],TPSA(Tot),HOMA,L1v,RNCG,Eig07_EA,P_VSA_p_2,H6p,SM15_AEA(bo),F06[C-N],SpMax_B(p),RDF115v,H6i,SpDiam_B(v),L1e,CATS2D_06_LL,Eig07_AEA(ri),RDF060p,MATS1p,HOMT,F05[C-N],F05[C-C],SpMin1_Bh(e),SpMax1_Bh(i),VE3sign_RG,SpMax5_Bh(i),RDF145s,Eig07_EA(ed),SpMax1_Bh(e),H7v,DP15,H7u,F01[C-N],Eig12_EA(ri),CATS3D_02_AL,DP18,H5s,HTe,SM11_AEA(ri),G2i,SM3_B(m),R1v+,HyWi_B(v),SM5_B(m),MATS7e,ATSC3i,IDE,SM14_EA(ri),Mor31e,RDF080p,F07[C-S],R5m+,CATS3D_16_PL,TDB02i,alvo
11,97.34,0.850856193043478,23.1714010109862,0.146303706524086,1.65056858795789,128.921157158449,0.15880194206667,1.65056858795789,11,3.87186479961633,3.34171270280855,0.788637323596249,5.7978889352845,23.6844635741049,4,2.61366209016839,6.08128424431615,0.0284157833057165,19.56969244,10,16,1.94701175215642,4.18427118540634,-2.87835690274128,3.35627898226896,6.49500945206258,4.54804515296877,4.13476947844667,0.0878469336277225,12.1464007320029,0.324153730278952,12,0.679720523771481,3,11.5809895042002,3.57680310153014,27.078536901262,4.60937676121469,0.179995788838212,5.80350097039557,0.0728268829487743,4.17588499617012,8.27093445688852,-0.074755496627768,1.21232536888889,3.63669896036111,15.7630271784078,0.105230725533616,5.26556969193218,0,0.0181197443939898,0,2.7491726180531,5.300162274132754
11,97.34,0.850856193043478,23.224999464125,0.143091485721548,1.6541474936615,128.921157158449,0.171695238080505,1.6541474936615,11,3.87254010311743,3.04933271434724,0.786733808017493,5.79839133612776,23.6522769185321,2,2.61412583515198,5.91553921196361,0.0381293583886995,19.56969244,10,16,1.94687157595382,4.1842625894073,-2.87876394815035,3.35627827341651,8.66883721531779,4.64917308397103,4.13483276261313,0.0870153145802214,12.1727949648262,0.318496381162543,12,0.679748552911053,3,11.6181335429787,3.61119148852068,27.6537115317844,4.60937692336708,0.179995788838212,5.91764644739999,0.0724404648188173,4.21073284125354,8.41251053947573,-0.076052045313986,1.18889096888889,3.65004389646009,15.8100017311094,0.0162351491839182,5.21750316343872,0,0.0487429106032734,0,2.76413697570817,5.896196279044043
9,85.31,0.7521839904,20.4662462782889,0.134307147447364,1.70767979137926,110.910406475419,0.132501738843513,1.70767979137926,9,3.87355301843376,5.11088072850646,0.654286438406357,5.79975855390872,22.1942821615042,9,2.65445815835136,4.00511244583995,0.0150029018508288,18.80459976,7,20,1.95693910680322,4.1851027616627,-2.95073678139564,3.37042248713361,14.1338281500659,4.91811089292111,4.13611027358504,0.0473263235132863,11.830111652135,0.248988962168937,10,0.951944081670218,4,11.1881161202582,4.95876490746218,30.5484491367712,4.60938525194472,0.155611391402494,5.79861153543124,0.0636860289131124,4.22280475771018,8.23824800606992,0.395924351723503,1.55521647199567,3.73401048542031,16.2040310439416,0.248179282353545,4.81336511862512,0,0.0221308570876196,0,2.8416965376273,5.152427340857888
9,85.31,0.7521839904,20.6782578714763,0.115396358000517,1.8643994809495,110.910406475419,0.175585200422905,1.8643994809495,8,3.87582010879288,4.36715160679809,1.32457810375269,5.80231649066716,22.2753781538599,9,2.7950907312222,6.59591062064236,0.0107387352149461,18.80459976,9,19,1.96087958196653,4.18580476863687,-3.16493362955846,3.45224192124438,3.90717279649051,5.51054217360109,4.13715317494677,0.0613154364859349,12.271580551433,0.328382050177513,10,1.04238411404935,4,11.7556157500785,5.51356652715674,34.9077415566904,4.60938655116309,0.179366692236495,5.93196921545614,0.0531417824500114,4.32209096962569,8.3717975551791,-0.0586138389329956,2.03885976853497,3.70950597733759,16.5200557619285,0.379340271488215,4.4233824894456,0,0.0301450160337825,0,2.95961834145412,5.079876673709276
15,87.53,0.767293484516129,41.7683658090263,0.0959822119974778,2.16993348096179,122.394117853702,0.37857047477988,2.16993348096179,14,3.88980456299471,8.88453871772025,1.50118679489295,5.80450455555129,42.3843035043506,11,3.08219030360145,10.3980100251704,0.0104721048351113,23.78609802,12,28,1.96618249118858,4.19672464017812,-9.03732534302529,3.5192062657597,79.137815023977,6.38210842523171,4.15258409381371,0.21320043296857,17.3275405001416,0.579526958931565,11,1.22094167088036,8,17.7471200364215,9.04317328468217,40.7589324598179,4.61589622818566,0.145815510528605,6.14648140738058,0.0608400045445005,4.52415366123049,8.59427854109547,0.319403308808006,1.92524712438763,4.12476054794231,16.3913771775036,0.368148358234815,7.77520479876675,0,0.0250340884738866,0,2.7911014150339,5.634512015109101
13,84.73,0.697954366060606,29.8865067090001,0.130249133270545,2.13628439574805,115.383255058278,0.361985141263343,2.13628439574805,11,3.89016177419709,6.04925023429303,1.55696247010855,5.80532074146577,30.8513981944677,14,3.09612953335169,8.50258822359166,-0.0228413608105929,23.03249408,9,32,1.96921978562015,4.19680186351573,-8.9363302238406,3.477976354131,24.7997013784712,6.32925033821234,4.15293818944346,0.159713366299695,14.5750918760814,0.586961458189117,9,1.2181864050697,11,14.4563282232166,10.5389029471595,40.7716857707538,4.61590438428318,0.174064002475462,6.06090604032084,0.0570649257209959,4.49814643090667,8.48281233997425,0.203731717021578,1.73578502418283,4.08635117284376,16.2753406285304,0.457636021788537,7.85314240272351,0,0.0252028078687533,0,2.78291702763857,4.522878745280337
13,84.73,0.699866145454545,35.3387240997859,0.130412421036889,2.18747228696499,115.383255058278,0.457988222165116,2.18747228696499,10,3.89009636705327,8.84901700600648,1.86106589090478,5.80520061993716,37.9109168852261,16,3.14299016728367,7.80135293750855,-0.0228413608105929,23.0955828,9,31,1.96924880068132,4.19679339203842,-8.81752647485968,3.48613230093219,15.979599105044,6.49417609521297,4.15291842123682,0.268470528987461,16.9014278910576,0.824673029975919,9,1.15877804075697,11,17.2921011561346,11.3397395471958,40.3768680974567,4.61590413125009,0.162480369128111,6.06090604032084,0.0592320828846324,4.49814643090667,8.48280924629826,-0.0166827598427803,1.73578502418283,4.13892419836557,16.2607537762588,0.535253046975542,7.76376350196352,0,0.0234555173558325,0,2.78288581057143,4.672028376376989
9,85.31,0.7521839904,16.915393007153,0.160380919819661,1.54687440356713,110.910406475419,0.118007011238109,1.54687440356713,8,3.87266572847961,2.16831378707832,0.670808226395359,5.79884938551017,18.1957709970769,9,2.48265209085269,4.16071149353949,0.021138522219689,18.80459976,7,19,1.95456125147942,4.18456767792944,-2.7399813720788,3.30827630775328,0.588299865331115,3.67142699205507,4.13537406950618,0.0364606052749279,9.78729049292271,0.238332163160042,10,0.679372395777045,4,8.80372164679005,2.90175750732604,25.6302441933527,4.60938498015908,0.158179590939782,5.64469365183874,0.0658857571310992,4.11269412849854,8.08409240996707,0.0075177232812781,1.1667420214875,3.48446383583393,15.9342888830096,0.266659465518072,4.66610264528308,0,0.0232887431134677,0,2.70294837164676,6.070581074285707
9,85.31,0.7521839904,17.2891347320739,0.146777119096961,1.64066676710757,110.910406475419,0.116429286193231,1.64066676710757,8,3.87384900224309,2.3005589188337,0.670478590736808,5.80041278783193,18.5076180809982,7,2.59028731357905,4.33209873170574,0.0195365503887606,18.80459976,7,19,1.95261233321547,4.18472902531285,-2.74081276055174,3.31456479369265,9.0473085894016,4.43901142022849,4.13567972215277,0.0390667834016745,10.3988642054279,0.233284027903281,10,0.679555464206985,4,9.52831979825415,3.14479923839657,27.2186349558094,4.60938807925793,0.158179590939782,5.73490720888334,0.0642618827334454,4.16682928216871,8.18236919790454,-0.098027778143345,1.4750408328875,3.572381744545,16.1057497673989,0.348001273653983,4.4794772601382,0,0.023414866576293,0,2.7655956994925,5.139063379299906
9,85.31,0.7521839904,17.6237355769322,0.14938087488123,1.76974365320093,110.910406475419,0.11715081974346,1.76974365320093,8,3.87359985686202,2.29670448173302,0.695649360055718,5.79999717021308,18.8486149217829,5,2.7168928583341,4.42620459952364,0.0195365503887606,18.80459976,7,19,1.95275635981431,4.18471358647395,-2.74154156412825,3.31422971602805,11.0852634761887,4.96257486685741,4.13564826919976,0.0365053620366297,10.7820708944303,0.237844444126045,10,0.679403724797583,4,10.0479959333218,4.29019692098638,27.4259207218862,4.60938594729584,0.158179590939782,5.73490720888334,0.0655112940129532,4.16682928216871,8.1823437797263,0.0048740509155481,1.4528872973875,3.55746027989081,16.0159744570363,0.332341483419048,4.26709061091969,0,0.0334317019510475,0,2.76545037752912,6.337242168318426
