F06[C-C],F03[C-N],L1p,H6v,HOMA,SpMin1_Bh(p),P_VSA_p_2,TPSA(NO),SpMax_B(v),H4s,Tv,F05[C-N],HOMT,SpMax_B(p),Tp,SpDiam_B(p),Eig07_AEA(ri),F06[C-N],RDF060p,SpMax1_Bh(i),F05[C-C],VE3sign_RG,MATS1p,SpMax1_Bh(e),SpMax5_Bh(i),SM02_AEA(ri),Eig07_EA(ed),RDF145s,F01[C-N],Eig06_AEA(bo),H7v,CATS3D_02_AL,H7u,Eig12_EA(ri),SP18,SP17,CATS2D_08_AL,SpMax6_Bh(e),SPAN,Mor32s,Eig13_EA(ed),F05[N-F],Eig08_AEA(bo),TDB10m,F03[C-Cl],Chi_D/Dt,R1u,HATS3v,Mor26s,RDF120s,SdO,SM09_EA(dm),VE2sign_G/D,HATS1e,Mor24i,RDF105i,alvo
15,11,23.555285053707,0.141964595531544,0.850856193043478,2.08506564352015,128.921157158449,97.34,3.90638582015433,4.8127855081038,26.5580984239565,10,19.56969244,3.87186479961633,27.1547243363671,5.81119089889248,2.61366209016839,11,6.08128424431615,4.18427118540634,16,-2.87835690274128,0.0284157833057165,4.13476947844667,3.35627898226896,4.54804515296877,4.54804515296877,6.49500945206258,12,3.2184826927087,0.0878469336277225,3,0.324153730278952,0.679720523771481,11.6489991462307,11.8684316865371,1,3.07081935659735,8.72150399587135,-1.85368939382379,0.0,0,3.04492166927885,6.07151562581569,2,2.16718687440547,2.09601391283583,0.142544630347025,-1.12939892349885,12.2545672241557,12.2403454657549,4.46440051400797,0.0008738522817151,0.226170376789853,-0.515066763251943,12.3275332589898,5.300162274132754
15,11,23.5995943753316,0.150671603467981,0.850856193043478,2.08490830692647,128.921157158449,97.34,3.90682234904245,5.23464085869018,26.7842586735816,10,19.56969244,3.87254010311743,27.3705223012329,5.81190257626986,2.61412583515198,11,5.91553921196361,4.1842625894073,16,-2.87876394815035,0.0381293583886995,4.13483276261313,3.35627827341651,4.64917308397103,4.64917308397103,8.66883721531779,12,3.21851150893962,0.0870153145802214,3,0.318496381162543,0.679748552911053,11.7050866714065,11.9177668873782,1,3.07082197822584,9.02319086243885,-2.34311319752701,0.876174393692499,0,3.04496291346072,7.3104244331702,4,2.15362974538546,2.05768286024665,0.172481008681496,-1.18058557881765,9.01926691855805,12.3339257126685,4.46440051400798,0.0007578354087279,0.226768489499441,-0.500060749659459,11.2196462755576,5.896196279044043
18,9,19.2315483185911,0.114285496880584,0.7521839904,2.08691350922283,110.910406475419,85.31,3.90773327459922,10.5172750657341,24.6441829697795,7,18.80459976,3.87355301843376,23.4685356640181,5.81317139359221,2.65445815835136,9,4.00511244583995,4.1851027616627,20,-2.95073678139564,0.0150029018508288,4.13611027358504,3.37042248713361,4.91811089292111,4.91811089292111,14.1338281500659,10,3.25234531189839,0.0473263235132863,4,0.248988962168937,0.951944081670218,11.2382001101357,11.4795878071585,4,3.12113827042228,8.61361410849128,-6.41374177724713,1.78010611969522,0,3.04596842902352,5.66987660809086,0,2.0409357412678,2.09190853700518,0.135284234121961,-3.48140852625551,32.7920879487612,12.3951900424745,12.0742134417903,0.0023449023097409,0.230553329457973,-0.604799128235023,7.59277457029809,5.152427340857888
20,9,19.5591124169791,0.242146236483971,0.7521839904,2.08794321269317,110.910406475419,85.31,3.90947376821854,11.7521165834648,25.2700951566376,9,18.80459976,3.87582010879288,24.0302588886244,5.81591053382654,2.7950907312222,8,6.59591062064236,4.18580476863687,19,-3.16493362955846,0.0107387352149461,4.13715317494677,3.45224192124438,5.51054217360109,5.51054217360109,3.90717279649051,10,3.65323692010694,0.0613154364859349,4,0.328382050177513,1.04238411404935,11.8324372108817,12.0327074329725,4,3.2931463024392,9.17850102467718,-6.64180717048295,2.45351194681902,0,3.09784756424945,6.94079033299406,0,1.98791505101898,2.04462314682172,0.123674706269907,-5.74831085419665,72.77029635406,12.539120975959,12.767357769977,0.0030274311958155,0.210478063787248,-0.905936076562641,18.6486102941273,5.079876673709276
28,15,41.4252645210591,0.367001064359396,0.767293484516129,2.09898601626382,122.394117853702,87.53,3.92009640971864,17.5899411596486,46.5502738906591,12,23.78609802,3.88980456299471,46.0971909996826,5.81414767986047,3.08219030360145,14,10.3980100251704,4.19672464017812,28,-9.03732534302529,0.0104721048351113,4.15258409381371,3.5192062657597,6.38210842523171,6.38210842523171,79.137815023977,11,3.72377377756036,0.21320043296857,8,0.579526958931565,1.22094167088036,17.8907702348565,17.7856319288267,4,3.38713687754863,12.727066427893,-6.00648130229709,3.09209814945845,3,3.31525643470633,6.1482246687899,3,1.98167939716683,2.12738674757815,0.108310495797277,-2.5455282675659,112.170012164355,25.1486778413513,12.074703181666,0.0007633673472447,0.179178605302227,-0.272451567202789,16.3761755084259,5.634512015109101
31,13,30.7297110743541,0.363053586660236,0.697954366060606,2.09964145368162,115.383255058278,84.73,3.9204378717805,11.3078691581436,35.6719857877494,9,23.03249408,3.89016177419709,36.2762210093564,5.814826737443,3.09612953335169,11,8.50258822359166,4.19680186351573,32,-8.9363302238406,-0.0228413608105929,4.15293818944346,3.477976354131,6.32925033821234,6.32925033821234,24.7997013784712,9,3.71255120125298,0.159713366299695,11,0.586961458189117,1.2181864050697,14.6815683511649,14.7580935261217,9,3.40040191021938,11.0817880601463,-5.55956555574685,2.53852170674209,0,3.28767848209297,5.09456682614717,0,2.02981463884166,2.17982280494637,0.0978621572614186,-2.58420163378783,116.932827522351,25.3370518308103,12.5484778104979,0.0026248307791082,0.17058833515171,-0.499903612334422,19.063257859113,4.522878745280337
32,13,33.7572566556849,0.460210790544213,0.699866145454545,2.09963830267315,115.383255058278,84.73,3.92037583929875,11.5072881870278,39.9410141605182,9,23.0955828,3.89009636705327,38.6137705418998,5.81470678117088,3.14299016728367,10,7.80135293750855,4.19679339203842,31,-8.81752647485968,-0.0228413608105929,4.15291842123682,3.48613230093219,6.49417609521297,6.49417609521297,15.979599105044,9,3.71462947815641,0.268470528987461,11,0.824673029975919,1.15877804075697,17.4404154347628,17.3519386165103,9,3.39946206550971,11.7498113780605,-3.51511301744582,2.52682717019376,0,3.29285117508312,5.28704062421107,0,1.96928952579307,2.15371103903817,0.101262381218787,-1.52686145376891,46.1714492661702,25.2865780633859,12.5484778104979,0.0005008325246993,0.16514060537363,-0.412904623858463,20.0811363797192,4.672028376376989
18,9,17.1073042839757,0.095276482753478,0.7521839904,2.08635950387746,110.910406475419,85.31,3.90700026330762,4.32809757838478,20.6346846679517,7,18.80459976,3.87266572847961,21.0445826639632,5.8121775097366,2.48265209085269,8,4.16071149353949,4.18456767792944,19,-2.7399813720788,0.021138522219689,4.13537406950618,3.30827630775328,3.67142699205507,3.67142699205507,0.588299865331115,10,3.1137891597086,0.0364606052749279,4,0.238332163160042,0.679372395777045,9.00158065891688,9.36216878353295,4,3.07043999787252,7.90467066043868,-2.60311889327628,-0.498050802672824,0,2.71709587860283,4.34598145390348,0,2.31263362992705,2.15894821043958,0.129424128442049,-0.259301068655675,6.78109273882062,12.3154588444397,0.0,0.0023138091452259,0.227206352900734,-0.39518026779399,7.48243221403261,6.070581074285707
18,9,17.0604348137645,0.0973330979808659,0.7521839904,2.08646359850713,110.910406475419,85.31,3.90800075443205,8.69496014814417,21.0868522344094,7,18.80459976,3.87384900224309,21.0118152603815,5.81373161063582,2.59028731357905,8,4.33209873170574,4.18472902531285,19,-2.74081276055174,0.0195365503887606,4.13567972215277,3.31456479369265,4.43901142022849,4.43901142022849,9.0473085894016,10,3.2102293894004,0.0390667834016745,4,0.233284027903281,0.679555464206985,9.64137966066694,9.95894210740069,3,3.07053230890127,7.91376807405929,-4.05756392776999,0.0,0,3.03851989644064,5.84273107473305,0,2.2213900701445,2.1289927707516,0.139099840186811,0.786368954328138,9.90885722542911,12.285143273767,0.0,0.0022279273464407,0.232205671233625,-0.408556832311654,11.0539005829459,5.139063379299906
18,9,17.0381499057187,0.102234324113711,0.7521839904,2.08645048357548,110.910406475419,85.31,3.90778671494238,9.26518578522327,21.4501850711874,7,18.80459976,3.87359985686202,20.9867591094951,5.81334172719985,2.7168928583341,8,4.42620459952364,4.18471358647395,19,-2.74154156412825,0.0195365503887606,4.13564826919976,3.31422971602805,4.96257486685741,4.96257486685741,11.0852634761887,10,3.23205080756888,0.0365053620366297,4,0.237844444126045,0.679403724797583,10.1611236005454,10.4280375920944,4,3.0704932123246,8.04206131846805,-3.98424006827566,-0.504142733049165,2,3.04680860459192,5.87606328188804,0,2.22208220222248,2.12156683291844,0.141111584270279,1.20436217681589,47.0605747038005,12.2865699555508,0.0,0.0023056833934239,0.233949340898977,-0.403098454475218,8.36496269937243,6.337242168318426
