F06[C-C],L1p,F03[C-N],HOMA,H6v,P_VSA_p_2,Eig07_EA,SpMax_B(v),SpDiam_B(v),SpMax_B(p),H6i,SpDiam_B(p),RDF115v,TPSA(NO),RDF060p,MATS1p,SpMax1_Bh(i),VE3sign_RG,Eig07_EA(ed),SM02_AEA(ri),H7v,SpMax1_Bh(e),H7u,F05[C-C],L1u,DP18,DP17,SP18,SP17,TDB05p,P_VSA_LogP_7,RDF125e,SPI,nBM,HATS5u,SpDiam_B(m),VE1_RG,F08[N-N],Mor03p,N-070,Ho_Dt,SpAD_EA(bo),H_G/D,SM2_RG,Mor21u,Mor26u,alvo
32,33.9868223676611,13,0.699492756969697,0.465661658823764,126.383142945884,1.88811566597022,3.92074423531975,5.80581789094036,3.89053710463687,1.91376848437285,5.81532815018943,11.4732917872972,93.96,11.2876641803363,-0.0521411577322847,4.19701884394372,-12.5184866102062,5.69077803822141,5.69077803822141,0.286894357447442,4.15324498253418,1.12559421388073,34,35.8348871769329,15.9784674803276,15.9573469176927,16.2441581656773,16.208007668391,2.46426192440774,235.422039931806,21.7871116204999,16.9783738160873,30,0.255171843854611,5.81761733610531,3.25584308771175,1,-3.35345493781687,0,67.2276028927456,83.9347931090544,1931.97190829554,4.30594042359478,-1.15473957319431,0.107655817986238,5.023650020996727
28,28.8588145184585,15,0.767664089032258,0.271863844806638,122.394117853702,1.89960488155872,3.91937873087144,5.80369841092013,3.88897037266855,1.23489603015389,5.81323949554472,6.74056677885334,87.53,9.27078208213911,0.0136468844989613,4.19621195675087,-8.4793338415309,5.50586654999091,5.50586654999091,0.110263442322131,4.15195394985239,0.431298101311652,27,28.5392184346257,14.7428836492081,14.7793179631331,14.9401437061008,14.9600936602809,2.62711239501134,176.566529948855,15.4377775183098,14.057761622723,30,0.261930378243587,5.81495138788691,4.76644880033627,2,-3.48799783042449,0,64.53503459765,80.649344942122,1551.26028598991,4.17605546331881,-1.09258566318412,0.0111075872523724,5.133122185662502
28,39.8966232875393,15,0.767664089032258,0.453471359683529,122.394117853702,1.89966166143969,3.91981018620645,5.80420664560669,3.88958856646796,1.62853416831591,5.81390911129692,9.58641165858474,87.53,9.41510269247601,0.0168885689146145,4.19620298723005,-8.6016460855913,5.66350972088193,5.66350972088193,0.294712204858658,4.15201551545649,0.909651276584125,27,39.5466742756206,16.94050533495,16.8912274078417,17.1045264688274,17.0400763982796,2.68763392146008,164.795427952264,11.2415591882708,16.525785426205,30,0.255948716830397,5.85732415466831,4.73457274297096,2,-3.44632230587167,0,65.8908194930035,82.7453514460703,1472.42087280631,4.15369652475792,-1.11437472579069,-0.0846634814260902,4.799149501908922
28,41.8768420123953,15,0.767305092903226,0.474786459568521,122.394117853702,1.9492328217144,3.91967848625366,5.8040260191448,3.88940317391876,1.62746082954187,5.81368944132382,9.60917887803535,87.53,10.0668732501948,0.0168885689146145,4.19620480452341,-8.60041028695184,5.80968920509455,5.80968920509455,0.31178613917648,4.1520033151725,0.908941863144293,27,39.8229103888932,17.727391487512,17.6199642826396,17.8743825483355,17.7479449861711,2.65872638205118,164.795427952264,9.77895312627267,16.7092171543273,30,0.255447745994619,5.84204878487653,4.73113817448486,2,-3.43511698890731,0,65.8889960813611,82.7382372372648,1470.23892812892,4.15345572144449,-1.01908654954004,-0.0752579545358133,5.350665141287858
28,39.5805945394992,15,0.767293484516129,0.347106032949394,122.394117853702,2.03185888698861,3.91965962463128,5.80401051777653,3.88922086125746,1.50442651498613,5.81352319516937,7.66760133792055,87.53,9.95107666333367,0.0080467915804452,4.19673457395776,-9.02178842480015,5.90349006326854,5.90349006326854,0.19809549686475,4.15251528265014,0.581361043958781,28,41.2207457253654,17.3124510696617,17.2523082749436,17.4559899469175,17.3828449013622,2.50156005142477,176.566529948855,15.4163091431436,19.361575785475,30,0.256710037584703,5.81476072772785,4.7440153290339,2,-3.33987450650586,0,68.4295116732315,85.9901110523825,1644.77257436682,4.21669153224883,-1.1857736617692,-0.11969383667257,5.367542707815276
29,41.3283882391235,15,0.767664089032258,0.356972821040101,122.394117853702,2.03189891302727,3.9196240544317,5.80395816976154,3.8891833978542,1.39676707802052,5.81346864623789,7.30578381483983,87.53,9.61742061080721,0.0080467915804452,4.19671771802442,-9.02967846062117,5.88582086960403,5.88582086960403,0.22456639232119,4.15249387164481,0.687004465872646,27,43.6437671649797,18.5461533409995,18.408386616801,18.6613589208286,18.5108823219981,2.45733134849727,176.566529948855,15.6920217747481,19.5652570264521,30,0.266369242239796,5.8147016034183,4.74649848816834,2,-3.21813363339979,0,68.4282314269704,86.0278488115875,1642.6066063139,4.216378796259,-1.17752568103661,-0.139304081406624,5.521433504406157
28,42.1123568895961,15,0.767293484516129,0.425081274420653,122.394117853702,2.34470524810927,3.9204659342856,5.80495824577415,3.89010114906234,1.81236077282482,5.81453848678124,9.42728847584167,87.53,11.1184957572905,0.0060934829637731,4.19733999841026,-9.52330807688962,7.12159812368595,7.12159812368595,0.240675290839326,4.15326680946537,0.641416194990607,29,44.2721618722799,18.146432089348,18.0503293156021,18.2767767572871,18.1651970225494,2.50483254394569,164.795427952264,20.6749327855263,25.8949812868572,30,0.250933655062144,5.81588844961042,4.73124909238627,2,-3.84255948558628,0,73.6740761435059,93.1673654642452,1821.49756419826,4.23707803891044,-1.29214116703615,-0.208685846897116,5.681936665037238
15,23.4860250150737,11,0.850856193043478,0.153076732167894,128.921157158449,1.66975062184071,3.90662414534399,5.79815781442036,3.87215331650521,0.809361730602363,5.8114993688159,3.77245428425445,97.34,6.17074111181713,0.0272784563098038,4.18432066557131,-2.87873548080045,4.71661643116515,4.71661643116515,0.0958129327664825,4.13485622341576,0.324770186851983,16,23.6745732357189,12.4488059005506,12.6307439002565,12.4821504821947,12.6373302139767,2.51792131162352,82.3977139761322,5.33735382430456,14.0066336479556,23,0.451156198793275,5.80390567165339,2.06106410303125,3,-2.22066921938342,0,52.1040328003112,64.2337073862353,853.074181651705,3.89737872736661,-0.484022354587446,0.0036478493649944,5.36251027048749
15,25.6118505152341,11,0.850856193043478,0.167489148496169,128.921157158449,1.66786657637627,3.9063860389588,5.79788414442003,3.87193075363286,0.789989791988373,5.81125322650018,2.7822145556469,97.34,6.59843221270595,0.0287791005682758,4.18426002540256,-2.87766150968227,4.67894940078546,4.67894940078546,0.100026099334348,4.13475133881326,0.324775268789374,16,23.8022562030946,12.7868208601978,12.9238945851021,12.8658330560813,12.9795187202737,2.47324766662636,94.1688159727225,4.34907741234768,11.8425395848225,23,0.452583037639723,8.65109926142946,2.06034739396052,3,-2.20907441351987,0,50.7443640559937,62.327015454049,853.410739980959,3.91349559194666,-0.524118778283054,-0.0102222886220565,5.333482019445119
15,24.3516684366321,11,0.850856193043478,0.156005991815805,128.921157158449,1.72286732826895,3.90665200413328,5.79818140805661,3.87211114507542,0.935602127049759,5.81145934094929,3.63437953047078,97.34,6.51105518609581,0.0114933768154232,4.18474817547341,-3.08779387280188,4.98795979456423,4.98795979456423,0.0938043117897388,4.1353093702134,0.299991808071076,17,26.0060790217953,12.60297112032,12.7960846834934,12.6213758481468,12.7918444556488,2.3591308737433,94.1688159727225,9.60739252475604,16.372056601446,23,0.434549020737343,5.80298358639335,2.06156138939679,3,-2.19178889682121,0,54.6529686259844,67.4855857188289,981.908580168989,3.96919969780443,-0.760406708416326,-0.0841952850375833,5.281498311132726
