SpMin1_Bh(p),SpMin2_Bh(p),SpMin4_Bh(s),P_VSA_LogP_3,P_VSA_e_1,F06[C-C],CATS3D_10_DA,CATS3D_03_DL,CATS3D_04_DL,CATS3D_11_AP,CATS3D_02_AL,alvo
2.09244823997926,2.01383333343912,0.922647999959283,113.286142283947,164.795427952264,25,1,5,6,0,7,5.421360790031928
2.09422151040059,2.02773053070884,0.925815021524374,103.809894810516,223.650937935216,26,1,5,6,0,5,6.920818753952375
2.09229262573043,2.0145129517437,0.923032914053667,122.762389757377,176.566529948855,24,1,5,7,0,5,5.85078088734462
2.09243623032813,2.01506915732428,0.92143683217185,103.809894810516,153.024325955674,24,1,5,5,0,5,5.7121982700697735
2.09123414170093,2.01161918836185,0.922558146688082,103.809894810516,153.024325955674,24,1,5,5,0,5,7.522878745280337
2.09470000639501,2.02871015213585,0.924209058483488,103.809894810516,223.650937935216,29,1,4,4,0,6,5.785156151952302
2.09920015290761,2.00855248756463,1.01454712411897,141.714884704237,188.337631945445,31,1,4,5,0,8,4.522878745280337
2.0994241493746,2.01325331108271,1.01313560727753,141.714884704237,188.337631945445,31,0,5,4,0,9,5.094743951251549
2.09927559450978,2.00942385573644,1.01255065072381,132.238637230807,176.566529948855,31,0,5,3,0,9,5.13430394008393
2.08794145987161,2.03268520795196,0.74673288607197,108.278339862292,188.337631945445,21,0,5,3,1,4,5.563837352959244
2.09283659612082,2.01169721493543,0.921261927808,122.762389757377,176.566529948855,27,1,4,4,0,6,5.935542010773082
2.09297577905092,2.01260116918728,0.919704485715667,103.809894810516,153.024325955674,27,1,4,2,0,6,6.346787486224656
2.09162207236245,2.00609881550128,0.92087706801411,103.809894810516,153.024325955674,27,1,3,4,0,5,4.633017024022149
2.09315556474637,2.01968413605525,0.92204487464106,122.762389757377,176.566529948855,28,1,4,5,0,6,5.739928612014925
2.09329160306068,2.02022616870595,0.920467277191325,103.809894810516,153.024325955674,28,1,4,3,0,6,5.790484985457369
2.0922263947321,2.01669426246084,0.921542639605282,103.809894810516,153.024325955674,28,1,4,4,0,6,6.180456064458132
2.09218740119937,2.01666667852922,0.920689106522237,94.3336473370863,141.253223959084,28,1,4,3,0,6,4.522878745280337
2.09312502937637,2.02028723837174,0.924555859420966,103.809894810516,188.337631945445,28,1,4,4,0,6,5.554395796726403
2.09252115135988,2.01744489919111,0.922194058006857,113.286142283947,164.795427952264,28,1,4,5,0,6,5.7447274948966935
2.09405637219457,2.02501592198996,0.923053817453045,113.286142283947,164.795427952264,29,1,4,5,0,6,4.897223385116559
2.09956922025163,2.0195193410817,1.0180234426084,141.714884704237,223.650937935216,31,0,5,4,0,9,5.150580586203101
2.09188505279968,2.00660637091799,0.920764109826483,103.809894810516,153.024325955674,27,1,4,3,0,6,6.045757490560675
2.0918104571356,2.00640487028264,0.9207953454798,103.809894810516,153.024325955674,27,1,4,2,0,6,5.939302159646388
