F03[C-N],L1v,RNCG,TPSA(NO),P_VSA_p_2,H6p,SM15_AEA(bo),Tp,HOMT,TPSA(Tot),SpMax_B(p),H4s,SpDiam_B(p),L1e,Eig07_AEA(ri),SpMax1_Bh(i),VE3sign_RG,Eig07_EA(ed),H7v,RDF145s,SM02_AEA(ri),SpMax1_Bh(e),SpMax5_Bh(i),F06[C-N],F01[C-N],DP15,Eig12_EA(ri),H7u,F07[C-N],L1u,DP17,SM1_Dz(m),nPyrazines,CATS3D_09_AL,SM1_Dz(e),RDF015m,J_H2,HTu,Eig15_EA,VE1sign_B(m),O-058,Mor16e,SM15_EA(ri),Qneg,MATS5e,R4e,R8e+,Wap,nS,GATS1e,SM12_AEA(dm),RDF125i,RDF150i,F07[C-S],S3K,TDB03s,alvo
9,18.3887769777102,0.158158999834749,85.31,110.910406475419,0.133448212925967,1.54750416536519,22.7435141538687,18.80459976,85.31,3.87532940866743,4.89667602464483,5.81507790454784,18.5292126481435,2.48346401710019,4.18454556882735,-2.7425634179746,3.67548185366589,0.0415195670277218,12.3099695256277,3.67548185366589,4.13555446698148,3.30785458259484,8,10,10.7028836143204,0.679494040539303,0.202039497590274,8,18.1424237681099,10.2321698616336,1.18961015349008,1,6,0.856837923216451,9.25675476894076,45.0760679338407,25.883578054372,-0.288307333075758,0.158959343795884,1,0.616760818047694,17.1012123303142,-2.15099998936057,-0.0491051723775256,1.26035560027943,0.0242258574943164,22486,0,0.772211068557435,8.60821835634572,5.83062339728868,0.354531741191227,0,3.36975881038312,12.7618231296993,6.1938200260161125
9,19.5963509428749,0.160350682281801,85.31,110.910406475419,0.135964704475852,1.54755973755737,23.8931195782344,18.85536666,85.31,3.87435198799505,5.32185115388786,5.81397275687355,19.2092557638409,2.48371059005063,4.18454917910097,-2.74177557947264,3.67563296206769,0.0449058213976635,0.91342174615091,3.67563296206769,4.13552282969214,3.3070017141661,8,10,11.3404890054743,0.679478076438323,0.238591580789496,8,18.5923084219065,10.9508997421167,1.18961015349012,1,5,0.856837923216427,9.25913144981515,45.2644935741124,25.4683689760611,-0.288978643649451,0.155668166108503,1,0.477259800381764,17.0337266428652,-2.12159999646246,0.0131532790933428,1.24796232345074,0.0217610666042843,22486,0,0.772211068557435,8.58059786560392,4.13695880285948,1.31583084310844,0,3.4925028884449,12.7946318226066,5.91721462968355
9,18.5557573326857,0.162565111551043,85.31,110.910406475419,0.140636098846043,1.76974365320093,23.0183507889717,18.80459976,85.31,3.8742849695196,5.70266731870807,5.81391888953644,18.7828784434062,2.70683956370263,4.18454836773497,-2.74244520893679,4.96257486685741,0.0374603968370327,0.0090359589160521,4.96257486685741,4.1355286662617,3.30742249384492,8,10,11.0522237895125,0.679397952443448,0.238208008864021,8,18.4225837788897,10.6700929610307,1.18961015349011,1,7,0.856837923216393,9.27528582245263,45.2408580425664,25.5731264184852,-0.347296355333861,0.134972067528937,1,0.493480375811861,17.0378594243722,-2.09269998781383,0.161205291612063,1.25290314229018,0.0216953605662452,22486,0,0.772211068557435,8.569609290622,2.95216526367833,1.3506156410797,0,3.62207764165523,12.2352072872773,5.531652669587842
13,29.3795485653636,0.118869953518586,75.5,104.383367170671,0.278919414550879,1.9359537171361,35.9428057914246,23.0721321,75.5,3.89116449948565,7.10369005342845,5.81601962252365,31.0914702674653,2.91853675964846,4.1974808945453,-6.03452989257472,5.65005878132736,0.111931585567879,25.7569603781625,5.65005878132736,4.15365219207748,3.46911256704424,10,9,14.468404490773,1.05945723085516,0.436825661245507,10,31.6051302759722,14.4652492420164,0.727548607277275,0,7,0.715299985201049,15.0434188228095,62.7334097064018,38.6104839764215,0.999999999999999,0.1489084582311,2,0.475016845610961,17.5417714246263,-2.50610000640154,-0.090147211475474,1.42164738278477,0.0124090334236358,70953,0,0.711007454159241,9.03043953868366,16.6556342427953,10.8013113210192,0,4.72427218195795,10.2289313188179,4.522878745280337
13,33.3065542851964,0.118955393491684,75.5,104.383367170671,0.358463359725085,1.87938524157182,39.5124391825243,23.03249408,75.5,3.8907874966612,7.36979097636664,5.8154959316774,35.2736322158533,2.87938524157182,4.19741013761471,-5.06195679201671,5.62731081166063,0.154159181746656,11.1796412883044,5.62731081166063,4.15355302924226,3.471445737029,10,9,15.3292883758378,1.09221311702179,0.58131182733428,10,35.7289595628366,15.4498793390157,0.727548607277233,0,6,0.715299985200965,15.0423097250432,62.8363944416757,38.6981489047702,1.0,0.0943699163657112,2,0.531779741552856,17.4074335193147,-2.5042999945581,-0.0028527191965685,1.41129739882109,0.0146326835372658,70953,0,0.711007454159241,8.9341939295412,19.1643829776142,6.57509058353291,0,4.86261952091079,10.2638483889282,4.522878745280337
13,33.3083755131298,0.152393647823095,93.96,126.383142945884,0.549943903086873,1.88811566597022,39.7774046765621,23.08326098,93.96,3.89053710463687,7.81912139290617,5.81532815018943,35.5606520489659,2.86196144993535,4.19701884394372,-12.5184866102062,5.69077803822141,0.286894357447442,18.2230596662814,5.69077803822141,4.15324498253418,3.47060623088459,11,9,15.7625208129681,1.1697190465247,1.12559421388073,11,35.8348871769329,15.9573469176927,0.943438863793199,0,10,0.931376369292206,14.993481906822,69.772620252256,40.1362317726815,1.0,0.144006855466742,2,0.354890977402984,17.3977992458205,-3.22519998205826,-0.0151396684121747,1.33126309629952,0.0136135574939113,85289,0,0.792722962432685,9.03516762324915,26.0435462881518,18.4699928732691,0,5.15326173736125,11.0583282733733,5.023650020996727
15,28.0203003380735,0.111841114650388,87.53,122.394117853702,0.300888587054213,1.89960488155872,36.0665357551637,23.79758676,87.53,3.88897037266855,8.15890005839556,5.81323949554472,28.4443676876757,2.85284156975377,4.19621195675087,-8.4793338415309,5.50586654999091,0.110263442322131,26.0679169014107,5.50586654999091,4.15195394985239,3.49423122128798,13,11,14.7020169189211,1.13720557174752,0.431298101311652,10,28.5392184346257,14.7793179631331,1.05570478765684,0,6,0.872338844344948,13.2673232355826,63.8433424217472,36.2749475817453,1.0,0.15823433763857,2,0.302515355875187,17.1563851505276,-2.66359998472035,-0.164914102771387,1.28446090951821,0.0160031866404721,69245,0,0.738927057507009,8.41838047724909,18.6221394818927,6.68477465937899,0,5.25477580820206,10.7089977036611,5.133122185662502
15,38.9955929726704,0.109691432302794,87.53,122.394117853702,0.488713525922407,1.89966166143969,44.0616275613313,23.79758676,87.53,3.88958856646796,8.28238899117894,5.81390911129692,39.3972200430342,2.85440585292587,4.19620298723005,-8.6016460855913,5.66350972088193,0.294712204858658,48.1724664059368,5.66350972088193,4.15201551545649,3.49420052434925,13,11,16.633050739736,1.22012504330767,0.909651276584125,10,39.5466742756206,16.8912274078417,1.26276987483442,0,4,0.956395669370509,13.2609042045664,66.3898884313857,35.7868407175017,1.0,0.15673209168455,2,0.563735820634949,17.1890276093517,-2.71579999476671,-0.0533055535258751,1.30501412998323,0.0157728300436254,76402,0,0.715251143724236,9.03736167578036,13.6379985300362,4.53425369864156,0,5.30085500521708,11.6189260671733,4.799149501908922
15,40.9278056762081,0.111169157848155,87.53,122.394117853702,0.512926621110397,1.9492328217144,45.8462261240354,23.78645788,87.53,3.88940317391876,8.22098795341832,5.81368944132382,40.1622230496905,2.90915853180656,4.19620480452341,-8.60041028695184,5.80968920509455,0.31178613917648,38.0406972742252,5.80968920509455,4.1520033151725,3.49389045438289,13,11,17.2502123821,1.19741583344367,0.908941863144293,10,39.8229103888932,17.6199642826396,1.26276987483439,0,4,0.956395669370482,13.2744442235312,66.5817062381907,35.8059109088458,1.0,0.156929453117956,2,0.562572525842768,17.1666366882421,-2.67969999089837,-0.119795599985026,1.29263467545688,0.0158096095837603,76402,0,0.715251143724236,8.42845325744775,12.3531442726865,5.15816713888071,0,5.45268061758881,11.5263002767198,5.350665141287858
15,40.0398636177422,0.0963391729421129,87.53,122.394117853702,0.354647456042637,2.03185888698861,44.3010090633254,23.78609802,87.53,3.88922086125746,12.5669720911672,5.81352319516937,41.8180687023627,3.00645887209071,4.19673457395776,-9.02178842480015,5.90349006326854,0.19809549686475,40.8429293521343,5.90349006326854,4.15251528265014,3.51944619700617,14,11,16.9731311289317,1.21789411413621,0.581361043958781,10,41.2207457253654,17.2523082749436,1.1989100099835,0,4,1.137897102331,15.0178747884078,72.4925797733121,37.3808545953558,1.0,0.155469768890429,2,0.80345395727304,17.3984443209115,-3.09220000728965,-0.0534895231553038,1.43821624134512,0.0158491631718658,91838,0,0.615679561569662,9.03862092687771,18.8651050940153,18.192281224153,0,5.78077953145666,12.1444615288397,5.367542707815276
