F06[C-C],F03[C-N],HOMA,SpMin1_Bh(p),H6v,TPSA(Tot),L1v,RNCG,H6p,HOMT,L1e,SpMax_B(v),SpDiam_B(v),SpMax_B(p),H4s,SpDiam_B(p),RDF115v,H6i,F05[C-N],Tp,MATS1p,SpMax1_Bh(i),RDF060p,VE3sign_RG,SpMax1_Bh(e),RDF145s,SpMax5_Bh(i),H7v,F07[C-N],H7u,L1u,TPSA(NO),SM02_AEA(ri),Eig12_EA(ri),Eig07_EA(ed),VE2sign_RG,F06[C-N],nCsp2,SP16,Mor09s,Ke,B06[C-Cl],C-002,Mor22u,GATS5e,nBO,E3i,T(N..Br),alvo
31,13,0.697954366060606,2.09964145368162,0.363053586660236,84.73,29.8865067090001,0.130249133270545,0.361985141263343,23.03249408,30.8513981944677,3.9204378717805,5.80532074146577,3.89016177419709,11.3078691581436,5.814826737443,6.04925023429303,1.55696247010855,9,36.2762210093564,-0.0228413608105929,4.19680186351573,8.50258822359166,-8.9363302238406,4.15293818944346,24.7997013784712,3.477976354131,0.159713366299695,10,0.586961458189117,31.3910777082407,84.73,6.32925033821234,1.2181864050697,6.32925033821234,0.000474622051381,11,27,14.7822666495851,-21.6455177418979,0.731144895226614,0,0,0.442295305033369,1.09318773829978,42,0.225800770022902,0,4.522878745280337
32,13,0.699866145454545,2.09963830267315,0.460210790544213,84.73,35.3387240997859,0.130412421036889,0.457988222165116,23.0955828,37.9109168852261,3.92037583929875,5.80520061993716,3.89009636705327,11.5072881870278,5.81470678117088,8.84901700600648,1.86106589090478,9,38.6137705418998,-0.0228413608105929,4.19679339203842,7.80135293750855,-8.81752647485968,4.15291842123682,15.979599105044,3.48613230093219,0.268470528987461,11,0.824673029975919,36.418148763379,84.73,6.49417609521297,1.15877804075697,6.49417609521297,0.0004979556622036,10,27,17.2104745177813,-29.2613069412312,0.816427919630996,0,0,0.448942488057714,1.11929000149936,42,0.315070351972963,0,4.672028376376989
18,9,0.7521839904,2.08635950387746,0.095276482753478,85.31,16.915393007153,0.160380919819661,0.118007011238109,18.80459976,18.1957709970769,3.90700026330762,5.79884938551017,3.87266572847961,4.32809757838478,5.8121775097366,2.16831378707832,0.670808226395359,7,21.0445826639632,0.021138522219689,4.18456767792944,4.16071149353949,-2.7399813720788,4.13537406950618,0.588299865331115,3.30827630775328,0.0364606052749279,8,0.238332163160042,18.2283464971521,85.31,3.67142699205507,0.679372395777045,3.67142699205507,0.005163505757984,8,19,9.67173398246006,-8.77910005977995,0.702836509243854,0,0,0.28159216470032,1.36301937264851,28,0.302162045515299,0,6.070581074285707
18,9,0.7521839904,2.08646359850713,0.0973330979808659,85.31,17.2891347320739,0.146777119096961,0.116429286193231,18.80459976,18.5076180809982,3.90800075443205,5.80041278783193,3.87384900224309,8.69496014814417,5.81373161063582,2.3005589188337,0.670478590736808,7,21.0118152603815,0.0195365503887606,4.18472902531285,4.33209873170574,-2.74081276055174,4.13567972215277,9.0473085894016,3.31456479369265,0.0390667834016745,8,0.233284027903281,18.249133037548,85.31,4.43901142022849,0.679555464206985,4.43901142022849,0.0051610351693313,8,19,10.2256350427955,-9.18867933315032,0.702537165927951,0,0,0.140620185475177,0.927149900537005,30,0.308751377754156,0,5.139063379299906
18,9,0.7521839904,2.08645048357548,0.102234324113711,85.31,17.6237355769322,0.14938087488123,0.11715081974346,18.80459976,18.8486149217829,3.90778671494238,5.79999717021308,3.87359985686202,9.26518578522327,5.81334172719985,2.29670448173302,0.695649360055718,7,20.9867591094951,0.0195365503887606,4.18471358647395,4.42620459952364,-2.74154156412825,4.13564826919976,11.0852634761887,3.31422971602805,0.0365053620366297,8,0.237844444126045,18.305509186485,85.31,4.96257486685741,0.679403724797583,4.96257486685741,0.0051588703985679,8,19,10.6455886467599,-8.530476914784,0.705393552001074,0,0,-0.0193006549828383,0.715810076942481,30,0.296765220601189,0,6.337242168318426
18,9,0.7521839904,2.08559786896648,0.111661288693662,85.31,18.3887769777102,0.158158999834749,0.133448212925967,18.80459976,18.5292126481435,3.90858396930357,5.80094535626413,3.87532940866743,4.89667602464483,5.81507790454784,3.8164349346498,0.599931794382521,7,22.7435141538687,0.0347038991232358,4.18454556882735,5.12700102901298,-2.7425634179746,4.13555446698148,12.3099695256277,3.30785458259484,0.0415195670277218,8,0.202039497590274,18.1424237681099,85.31,3.67548185366589,0.679494040539303,3.67548185366589,0.0051558367073557,8,19,10.5631585744344,-8.57916495444424,0.69346261823926,1,0,0.182913148743243,1.08550472786936,30,0.467677722131061,0,6.1938200260161125
18,9,0.7542146664,2.08575397895544,0.110537785829658,85.31,19.5963509428749,0.160350682281801,0.135964704475852,18.85536666,19.2092557638409,3.90802894862945,5.80012048712802,3.87435198799505,5.32185115388786,5.81397275687355,3.55257540634476,0.663469189668382,7,23.8931195782344,0.0347038991232357,4.18454917910097,5.178418320964,-2.74177557947264,4.13552282969214,0.91342174615091,3.3070017141661,0.0449058213976635,8,0.238591580789496,18.5923084219065,85.31,3.67563296206769,0.679478076438323,3.67563296206769,0.0051581754936289,8,19,11.253549777247,-7.33321000554159,0.710511962126785,1,0,0.175028016173663,0.96382634150164,30,0.304872382735123,0,5.91721462968355
18,9,0.7521839904,2.08571046051047,0.111410663493432,85.31,18.5557573326857,0.162565111551043,0.140636098846043,18.80459976,18.7828784434062,3.90801363409912,5.80012553850698,3.8742849695196,5.70266731870807,5.81391888953644,3.15612269224074,0.672462382203232,7,23.0183507889717,0.0347038991232357,4.18454836773497,4.14166144618413,-2.74244520893679,4.1355286662617,0.0090359589160521,3.30742249384492,0.0374603968370327,8,0.238208008864021,18.4225837788897,85.31,4.96257486685741,0.679397952443448,4.96257486685741,0.0051561875564099,8,19,10.987385068502,-9.85647680623774,0.70110452419082,1,0,0.10392362385185,0.880452025479516,30,0.307369847872008,0,5.531652669587842
34,13,0.699155518181818,2.100315590279,0.238504374057226,75.5,29.3795485653636,0.118869953518586,0.278919414550879,23.0721321,31.0914702674653,3.92109234183281,5.80634791845735,3.89116449948565,7.10369005342845,5.81601962252365,7.69680587263125,1.15849118290789,10,35.9428057914246,0.006841912394991,4.1974808945453,9.61005386484823,-6.03452989257472,4.15365219207748,25.7569603781625,3.46911256704424,0.111931585567879,10,0.436825661245507,31.6051302759722,75.5,5.65005878132736,1.05945723085516,5.65005878132736,0.0016082231583566,10,27,14.6519003684237,-10.5119658413133,0.750784527714055,0,0,0.407634923898645,1.60688719659207,39,0.377891184911601,0,4.522878745280337
33,13,0.697954366060606,2.1001994768437,0.310284342318601,75.5,33.3065542851964,0.118955393491684,0.358463359725085,23.03249408,35.2736322158533,3.92080365542334,5.80583261413754,3.8907874966612,7.36979097636664,5.8154959316774,6.67547650283844,1.61620628320003,11,39.5124391825243,0.006841912394991,4.19741013761471,9.27800727333373,-5.06195679201671,4.15355302924226,11.1796412883044,3.471445737029,0.154159181746656,10,0.58131182733428,35.7289595628366,75.5,5.62731081166063,1.09221311702179,5.62731081166063,0.0023506567136682,10,27,15.5482112071641,-8.82724185643008,0.783571569703413,0,0,0.662010904073018,1.34230649383103,39,0.260077721427107,0,4.522878745280337
32,13,0.699492756969697,2.09968011700452,0.465661658823764,93.96,33.3083755131298,0.152393647823095,0.549943903086873,23.08326098,35.5606520489659,3.92074423531975,5.80581789094036,3.89053710463687,7.81912139290617,5.81532815018943,11.4732917872972,1.91376848437285,9,39.7774046765621,-0.0521411577322847,4.19701884394372,11.2876641803363,-12.5184866102062,4.15324498253418,18.2230596662814,3.47060623088459,0.286894357447442,11,1.12559421388073,35.8348871769329,93.96,5.69077803822141,1.1697190465247,5.69077803822141,0.0001453647967132,11,27,16.1202563528223,-11.7403567366231,0.770280925732375,0,0,0.0381128743831383,1.19611603928869,41,0.318988548222323,0,5.023650020996727
28,15,0.767664089032258,2.09889675568643,0.271863844806638,87.53,28.0203003380735,0.111841114650388,0.300888587054213,23.79758676,28.4443676876757,3.91937873087144,5.80369841092013,3.88897037266855,8.15890005839556,5.81323949554472,6.74056677885334,1.23489603015389,12,36.0665357551637,0.0136468844989613,4.19621195675087,9.27078208213911,-8.4793338415309,4.15195394985239,26.0679169014107,3.49423122128798,0.110263442322131,10,0.431298101311652,28.5392184346257,87.53,5.50586654999091,1.13720557174752,5.50586654999091,0.0005223243210444,13,27,14.9295816437574,-12.7870670692194,0.685267110512891,0,0,0.345594194778265,1.48661900050974,39,0.191698789564656,0,5.133122185662502
28,15,0.767664089032258,2.09881867871683,0.453471359683529,87.53,38.9955929726704,0.109691432302794,0.488713525922407,23.79758676,39.3972200430342,3.91981018620645,5.80420664560669,3.88958856646796,8.28238899117894,5.81390911129692,9.58641165858474,1.62853416831591,12,44.0616275613313,0.0168885689146145,4.19620298723005,9.41510269247601,-8.6016460855913,4.15201551545649,48.1724664059368,3.49420052434925,0.294712204858658,10,0.909651276584125,39.5466742756206,87.53,5.66350972088193,1.22012504330767,5.66350972088193,0.0004962513012706,13,27,16.9221432778585,-12.7915515060885,0.850519248880738,1,0,0.208744646194693,1.29065779644496,40,0.307517826922422,0,4.799149501908922
28,15,0.767305092903226,2.09885133000887,0.474786459568521,87.53,40.9278056762081,0.111169157848155,0.512926621110397,23.78645788,40.1622230496905,3.91967848625366,5.8040260191448,3.88940317391876,8.22098795341832,5.81368944132382,9.60917887803535,1.62746082954187,12,45.8462261240354,0.0168885689146145,4.19620480452341,10.0668732501948,-8.60041028695184,4.1520033151725,38.0406972742252,3.49389045438289,0.31178613917648,10,0.908941863144293,39.8229103888932,87.53,5.80968920509455,1.19741583344367,5.80968920509455,0.0004965081129203,13,27,17.5697788025548,-12.2082133996729,0.855366658542537,1,0,0.191651984295095,1.30767277110495,40,0.307603094629842,0,5.350665141287858
28,15,0.767293484516129,2.0990711683359,0.347106032949394,87.53,40.0398636177422,0.0963391729421129,0.354647456042637,23.78609802,41.8180687023627,3.91965962463128,5.80401051777653,3.88922086125746,12.5669720911672,5.81352319516937,7.66760133792055,1.50442651498613,12,44.3010090633254,0.0080467915804452,4.19673457395776,9.95107666333367,-9.02178842480015,4.15251528265014,40.8429293521343,3.51944619700617,0.19809549686475,10,0.581361043958781,41.2207457253654,87.53,5.90349006326854,1.21789411413621,5.90349006326854,0.0004798342493116,14,27,17.256870079692,-26.9705286608453,0.820936086783092,0,0,0.162473852846558,1.02125492586467,42,0.202636271394965,0,5.367542707815276
29,15,0.767664089032258,2.09906885319117,0.356972821040101,87.53,42.8779365826156,0.0964046439942992,0.353989498418714,23.79758676,45.1286500885615,3.9196240544317,5.80395816976154,3.8891833978542,12.9749882613834,5.81346864623789,7.30578381483983,1.39676707802052,13,45.4784948799645,0.0080467915804452,4.19671771802442,9.61742061080721,-9.02967846062117,4.15249387164481,64.6276137069745,3.53124549293129,0.22456639232119,11,0.687004465872646,43.6437671649797,87.53,5.88582086960403,1.21883183609373,5.88582086960403,0.000478333604484,13,27,18.3070248606493,-26.7647132954075,0.860261418247262,0,0,0.143588227507876,1.13524082829186,42,0.210310287604425,0,5.521433504406157
28,15,0.767293484516129,2.09921921010724,0.425081274420653,87.53,43.6410507070662,0.0849395497354287,0.371371277030618,23.78609802,45.6639557795894,3.9204659342856,5.80495824577415,3.89010114906234,14.184926351288,5.81453848678124,9.42728847584167,1.81236077282482,12,46.7520709654115,0.0060934829637731,4.19733999841026,11.1184957572905,-9.52330807688962,4.15326680946537,51.0873383049253,3.52430784079861,0.240675290839326,10,0.641416194990607,44.2721618722799,87.53,7.12159812368595,1.38674303648955,7.12159812368595,0.0004502690744368,15,27,18.0004945029841,-46.4992369718744,0.835795614504389,0,0,0.0297319033539537,0.857838869917103,46,0.207319049972887,0,5.681936665037238
