RCI,C-006,SssNH,CATS2D_08_DP,B04[O-O],B06[C-Br],B06[O-Cl],B08[N-Cl],F06[C-Br],CATS3D_08_DD,CATS3D_03_DL,CATS3D_14_AP,CATS3D_10_AL,CATS3D_13_PL,alvo
1.07407407407407,0,8.43041898794354,0,0,0,1,0,0,1,6,0,2,0,4.799149501908922
1.07407407407407,0,8.47714115209273,0,0,0,1,0,0,1,5,0,1,0,5.350665141287858
1.07407407407407,0,7.93669527466768,0,0,0,0,0,0,1,6,0,1,0,5.367542707815276
1.07407407407407,0,8.08765719793781,0,0,0,0,0,0,1,6,0,1,0,5.521433504406157
1.07407407407407,0,7.26895534883624,0,0,0,0,0,0,1,6,0,1,0,5.681936665037238
1.0952380952381,0,5.33895180525276,1,0,0,1,0,0,1,3,0,0,1,5.36251027048749
1.0952380952381,0,5.63404805903205,1,0,1,0,0,1,1,4,0,0,1,5.333482019445119
1.0952380952381,0,5.01421966239562,1,0,0,0,0,0,1,4,0,0,1,5.281498311132726
1.0952380952381,0,5.15871382811746,1,0,0,0,0,0,1,4,0,0,1,5.958607314841775
1.0952380952381,0,4.40367662573651,1,0,0,0,0,0,1,4,0,0,1,5.042871802323187
1.0952380952381,0,4.96442901928652,1,0,0,0,0,0,1,4,0,0,1,4.9503943874050265
1.0952380952381,0,5.66660014236538,1,0,0,0,0,0,1,4,0,0,1,5.568636235841013
1.0952380952381,0,5.61787289683754,1,0,0,0,0,0,1,4,0,2,1,5.522878745280337
1.07407407407407,0,7.76188558538179,0,0,0,0,0,0,1,5,0,1,0,5.701146923590294
1.07407407407407,0,7.39081323365182,0,0,0,0,0,0,1,5,0,1,0,5.235077015350112
1.07407407407407,0,7.66311703124608,0,0,0,0,1,0,1,4,0,1,0,6.769551078621726
1.07407407407407,0,7.68605327445058,0,0,0,1,1,0,1,5,0,2,0,5.723538195826756
1.07407407407407,0,7.67692710049485,0,0,0,0,1,0,1,5,0,1,0,7.221848749616356
1.07407407407407,0,7.57594788153088,0,0,0,0,1,0,1,5,0,1,0,5.809668301829708
1.07407407407407,0,7.53346863908741,0,0,0,0,1,0,1,5,0,1,0,6.4089353929735005
1.07407407407407,0,7.74582477346413,0,0,0,0,1,0,1,5,0,2,0,5.703334809738469
1.0952380952381,0,2.52268770471151,1,0,0,0,0,0,1,3,0,3,1,5.671620396561262
1.0952380952381,0,2.95094545225498,1,0,0,0,0,0,1,5,1,5,0,4.997402019280091
1.0952380952381,0,2.66760574137062,1,0,0,0,0,0,1,3,0,2,1,4.861697301833718
1.0952380952381,0,2.60205278407659,1,0,0,1,0,0,1,3,0,3,1,5.85078088734462
1.0952380952381,0,2.96879692617788,1,0,0,0,0,0,1,3,0,5,1,6.086186147616283
1.0952380952381,0,2.71903112402368,1,0,0,0,0,0,1,3,0,5,1,6.366531544420414
1.0952380952381,0,2.9067757149156,1,0,0,0,0,0,0,3,1,5,1,5.4156687756324695
1.07407407407407,0,5.2114482273594,0,0,0,1,1,0,1,4,0,5,0,5.966576244513051
1.07407407407407,0,5.28541717026063,0,0,0,0,0,0,1,4,0,7,0,5.823908740944319
1.07407407407407,0,7.76706940441594,0,0,0,0,0,0,1,5,0,2,0,5.425968732272281
1.07407407407407,0,7.35749391971059,0,0,0,0,0,0,1,5,0,1,0,6.356547323513813
1.0952380952381,0,2.9025353521038,1,1,0,0,0,0,1,3,1,2,0,5.812479279163537
1.07407407407407,0,5.313951208465,0,0,0,0,0,0,1,4,0,5,0,6.251811972993799
1.07407407407407,0,4.88686606620215,0,0,0,0,0,0,1,4,0,5,0,5.935542010773082
1.07407407407407,0,5.11479919737704,0,0,0,0,0,0,1,4,0,4,0,5.943095148663527
1.07407407407407,0,7.40408618641711,0,0,0,0,0,0,1,5,0,4,0,6.022276394711152
1.07407407407407,0,5.34391539930882,0,0,0,0,0,0,1,4,0,5,0,6.356547323513813
1.07407407407407,0,7.46760337961527,0,0,0,0,0,0,1,5,0,1,0,5.421360790031928
1.07407407407407,0,7.83224605678107,0,0,0,0,0,0,1,5,0,1,0,6.920818753952375
1.07407407407407,0,7.75037145732892,0,0,0,0,0,0,1,5,0,1,0,5.85078088734462
1.07407407407407,0,7.37929910559894,0,0,0,0,0,0,1,5,0,1,0,5.7121982700697735
1.07407407407407,0,7.66541297244198,0,0,0,0,1,0,1,5,0,1,0,7.522878745280337
1.07407407407407,0,5.65768239273276,0,0,0,0,0,0,1,4,0,4,0,5.785156151952302
1.07407407407407,0,5.79254782915497,0,0,0,0,0,0,1,4,0,6,0,4.522878745280337
1.07407407407407,0,5.7176479244199,0,0,0,0,0,0,1,5,0,4,0,5.094743951251549
1.07407407407407,0,5.67998060327273,0,0,0,0,0,0,1,5,0,4,0,5.13430394008393
1.0952380952381,0,2.98240803728899,1,0,0,0,0,0,1,5,0,6,1,5.563837352959244
1.07407407407407,0,5.59419113429645,0,0,0,0,0,0,1,4,0,4,0,5.935542010773082
1.07407407407407,0,5.26312456960351,0,0,0,0,0,0,1,4,0,4,0,6.346787486224656
1.07407407407407,0,5.50569431501208,0,0,0,0,1,0,1,3,0,5,0,4.633017024022149
1.07407407407407,0,5.37484495137883,0,0,0,1,0,0,1,4,0,5,0,5.739928612014925
