nO,N%,Psi_i_t,SpMax7_Bh(m),SpMax1_Bh(i),P_VSA_m_2,P_VSA_i_2,RDF140u,RDF140e,RDF140i,Mor24p,Mor20s,HATS4p,H8s,SP17,SP19,nCbH,nRNR2,nPyrrolidines,C-001,F-084,SaaCH,CATS2D_08_DA,B10[C-N],F02[C-O],CATS3D_12_LL,alvo
5,4.0,0.0,3.18277917772871,4.05442663280104,122.168619145096,101.03355456807,0.0,0.0,0.0,0.259724044444875,3.09552226955944,0.109865022193322,0.898260645330992,6.78657511201412,5.66298308156844,4,0,0,0,0,5.06189781675494,0,0,8,0,7.42021640338319
2,3.44827586206897,0.0,2.88268753331053,4.09458650705124,102.037651042149,80.9025864651238,0.0,0.0,0.0,0.346589243874499,1.98801252513097,0.117277521935285,1.70964605820754,5.65112506047451,4.39319017464004,0,0,0,5,0,0.0,0,0,2,0,6.889410289700751
3,5.35714285714286,0.0002070732906049,2.90706645930763,4.06728095104171,81.4811046139923,57.2217261429719,0.0,0.0,0.0,0.14478900710928,3.45634335551056,0.123508925796392,0.787908570055129,6.67634092970326,5.54190856351182,0,1,0,0,0,0.0,0,1,4,0,6.6595558851598815
3,4.16666666666667,0.0,3.19736806600502,4.07663206207666,110.818001297255,89.6829367202292,0.0,0.0,0.0,0.201508489372113,-0.1886066135728,0.0950762286818454,2.97980792485813,8.13104889128053,7.19396083218079,4,0,0,0,0,4.45963927223678,0,0,4,0,7.744727494896693
4,4.16666666666667,0.0,3.19710934770026,4.04120803972739,135.426030187502,99.4045288214412,0.0,0.0,0.0,0.336403785235376,5.52117922841477,0.111770050228382,0.818400356872583,6.90409198053584,5.78148652669574,4,0,0,0,0,4.52674427726292,0,0,5,0,7.769551078621726
4,3.84615384615385,0.0,3.20098242711449,4.0524008670207,118.178698140552,97.0436335635269,0.0,0.0,0.0,0.315571955458424,4.94558395848959,0.107519684539628,1.28494826839104,6.70695277822558,5.57768829071332,4,0,0,0,0,4.84964460011736,0,0,6,0,8.481486060122112
3,4.44444444444444,0.0,3.17939158536907,4.06266338691242,108.638698966259,87.5036343892338,0.0,0.0,0.0,0.265541384667238,6.98332198193903,0.10625920298548,4.36485823805819,6.88709036072419,5.77334528844008,3,0,0,0,1,2.11138329721132,0,0,4,0,8.187086643357144
2,4.0,0.0,3.2134480348465,4.0930858342639,128.575337417658,92.5538360515976,0.0,0.0,0.0,0.386551461035186,3.41244900256205,0.130376999086197,0.987123045924121,6.6356861123403,5.47680118317398,4,0,0,2,0,6.95100918526727,0,0,2,0,9.259637310505756
2,5.76923076923077,0.0,2.86601227090565,4.0691304141956,72.4221201310487,48.1627416600284,0.0,0.0,0.0,0.0757052316005048,3.42391441843744,0.124337368254756,1.53604687438608,6.63671102224211,5.50947468448218,0,1,0,0,0,0.0,0,1,2,0,7.251811972993799
4,3.63636363636364,0.0,3.18191766084492,4.05490813177212,126.245517704266,105.11045312724,0.0,0.0,0.0,0.316806991146598,5.3773035164595,0.115249150162724,1.33452106100041,6.84518353763051,5.71204181684263,4,0,0,2,0,7.63093495295928,0,0,6,0,7.455931955649724
4,4.34782608695652,0.0,3.17940421471355,4.05669885953369,113.109634662152,91.9745700851268,0.0,0.0,0.0,0.232419017015093,2.36755916718564,0.101274537215429,1.21230944137738,6.7583586669502,5.64210462055539,4,0,0,0,0,4.76994689390804,0,0,6,0,8.327902142064282
2,4.08163265306122,0.0,2.79861109589028,4.06697318468157,84.387242518369,63.2521779413436,0.0,0.0,0.0,0.241182407161123,3.27363653725989,0.111438489635214,2.00667620134925,5.80381503996591,4.61996744693733,0,0,0,3,0,0.0,0,0,2,0,8.267606240177031
3,3.92156862745098,0.0,3.19858466516258,4.05737907789401,114.418221261068,93.2831566840431,0.0,0.0,0.0,0.365986542368397,3.55253130454992,0.118939379114581,1.45951336006497,6.89325866719586,5.76401996444237,3,0,0,0,1,2.36482724787992,0,0,4,0,7.853871964321762
4,2.94117647058824,0.0001266492444826,2.75329853320324,4.02060267873412,88.5948729551868,70.5841222721565,0.0,0.0,0.0,0.299025021628183,5.94001462004941,0.178884273555748,0.772026929224081,7.0013539413991,5.90199490508512,4,0,0,0,0,6.63071646752518,0,0,5,0,5.0
4,2.04081632653061,0.0,2.98306701746042,4.04548616495565,130.854279344282,112.843528661251,0.0,0.0,0.0,0.2512686331624,-1.72393323748905,0.115763559595148,1.05190854320675,6.80509595337771,5.69140374664294,4,0,0,3,0,5.07881513060152,0,0,7,0,6.027334407733889
5,4.0,0.0,3.1820266730426,4.04363558310891,120.825560913655,99.6904963366292,0.0,0.0,0.0,0.44363437088675,5.07967120444328,0.110775945762847,1.51265233470707,6.75829588802964,5.6484444266701,4,0,0,0,0,5.75464810488672,0,0,8,0,6.311580177997289
4,4.08163265306122,0.0,2.95830955045026,4.04713751853381,117.420313442375,96.2852488653501,0.0,0.0,0.0,0.324915905585932,6.95717125485378,0.12432341735694,1.19762272960823,6.75438290518096,5.65103074628675,4,0,0,1,0,7.44686087888521,0,0,6,0,6.189767482004916
3,3.92156862745098,0.0,3.1993575007059,4.05748996630536,114.062991852864,92.9279272758385,0.0,0.0,0.0,0.346730863485939,4.54780431607268,0.11977865594646,1.56704094288658,7.14646090125412,6.02590969626839,4,0,0,0,0,4.36553320555953,0,0,4,0,8.853871964321762
4,4.08163265306122,0.0,3.18250327423878,4.05918389555207,118.052912857407,96.9178482803821,0.0,0.0,0.0,0.307211440873347,7.2589575217413,0.114093031030849,1.20496520879123,6.91049494147341,5.79025064377854,4,0,0,0,0,4.57778642219712,0,0,6,0,7.823908740944319
4,3.7037037037037,0.0,3.19907944706608,4.048976750044,150.615504961092,114.594003595032,0.0,0.0,0.0,0.226754806135299,7.86453231577319,0.105717352908384,1.66842981838278,6.84204294697414,5.7163413030615,3,0,0,2,1,2.28906667082855,0,0,5,0,7.130768280269024
5,3.63636363636364,0.0,3.19925335379434,4.0401965163449,155.086440656985,119.064939290925,0.0,0.0,0.0,0.292365371649454,7.91721232575696,0.0998742162893374,0.621583213707935,6.80497577511616,5.67133816780316,4,0,0,2,0,5.02100820727631,1,0,7,0,6.995678626217358
2,6.12244897959184,0.0,2.80046411197273,4.06881765267141,69.8875883918488,45.6282099208284,0.0,0.0,0.0,0.104549893121257,3.9166527338793,0.11011213485612,1.22335712006205,6.93846809891261,5.86747302047685,0,1,1,0,0,0.0,0,0,2,0,6.404503778174426
3,3.77358490566038,0.0002551859635729,2.90439778203971,4.06500388493725,93.4462270013125,72.3111624242872,0.0,0.0,0.0,0.302683788533311,3.13037990988822,0.11616424247067,1.19164284093822,5.87930941155105,4.6852860259022,0,0,0,3,0,0.0,0,0,4,0,7.327902142064283
3,4.25531914893617,0.000481128907236,2.86920199424177,4.05458119864146,89.4127950241367,53.3912936580762,0.0,0.0,0.0,0.188302305860352,1.06234213416637,0.0862502326727877,1.35470419355261,5.89310346570944,4.67259710466204,0,0,0,0,0,0.0,0,0,3,0,6.696803942579511
4,4.34782608695652,0.0,3.18338027569667,4.04137967928147,102.934499819634,81.7994352426082,0.0,0.0,0.0,0.236568527107041,4.40619975278489,0.171958490138945,2.65905766861977,6.74176247760363,5.63978262246119,3,0,0,0,0,4.88975990366194,0,0,6,0,6.158015195409886
3,4.16666666666667,0.0,3.20073179012347,4.05550013112659,124.664421968919,88.6429206028581,0.0,0.0,0.0,0.339135608083517,5.76339071457144,0.107119582520672,1.05813679280976,6.9542281132373,5.83018524763829,3,0,0,0,1,2.33542790510063,0,0,4,0,7.958607314841775
3,3.92156862745098,0.0,3.20078628908622,4.05922658368516,113.707762444659,92.5726978676338,0.0,0.0,0.0,0.338023109022021,5.54583922320877,0.119170164821982,1.55639164610581,7.14033292453795,6.02125597353841,3,0,0,0,1,2.16654243592753,0,0,4,0,8.443697499232712
5,4.08163265306122,0.0,3.19850806029523,4.03394788057757,139.54173647519,103.52023510913,0.0,0.0,0.0,0.327901771044552,3.31177446524855,0.100580052098244,0.506903349988902,6.87103344439535,5.73939239080972,4,0,0,0,0,5.01085567182075,1,0,7,0,7.017728766960432
2,3.63636363636364,0.0003307463154576,2.86645878800532,4.0905150043154,112.994310566409,76.9728092003481,0.0,0.0,0.0,0.346871159246275,1.84597642689424,0.121195781232837,0.76051752012453,5.62181624576804,4.37179029780351,0,0,0,5,0,0.0,0,0,2,0,8.193820026016112
4,5.17241379310345,0.0,3.18010430434243,4.07037200375041,101.881994934384,62.7361796743285,0.0,0.0,0.0,0.270362633839444,5.58104492857741,0.0860076211225706,0.502222799315039,6.39735610672792,5.21759229632906,0,0,1,0,0,0.0,0,1,4,0,6.46344155742847
3,4.25531914893617,0.0,3.21543646074209,4.05752018379409,125.689912366247,89.6684110001866,0.0,0.0,0.0,0.221415791233334,2.65583673716927,0.127953183640167,3.83832504524617,8.24029755273202,7.30777262694141,4,0,0,0,0,6.49145208769043,0,0,3,0,7.337242168318426
4,3.57142857142857,0.0,3.18212612659563,4.07040201889549,159.161921498376,138.026856921351,0.0,0.0,0.0,0.369234284310428,8.7862800654158,0.105277569910507,0.462736790403211,6.59354071957779,5.48219618228942,9,0,0,0,0,17.3744150470598,0,1,6,0,5.102812923419847
4,4.34782608695652,0.0,2.9663814201939,4.04161306973385,108.910140761405,87.7750761843791,0.0050417602596908,0.006009011377816,0.0070114356305464,0.393546977558423,5.65598826592483,0.139462496930268,0.495861974949538,8.64807281272091,7.85577098925592,4,0,0,0,0,6.66927175538106,0,0,6,0,5.0
4,4.0,0.0001725443320679,2.83883846638651,4.0233813914466,112.400518879895,76.3790175138348,0.0,0.0,0.0,0.263293187852439,3.81220998007685,0.125205506897563,0.782271202837008,5.81507095594473,4.60917751351726,0,0,0,3,0,0.0,0,0,5,0,6.31069114087638
3,3.84615384615385,0.0002635538271532,2.87088791379746,4.04643978221982,110.819344331407,74.7978429653464,0.0,0.0,0.0,0.190691375238515,2.88162893097135,0.119068297330166,1.10687836845312,5.93750377361874,4.74918790265979,0,0,0,3,0,0.0,0,0,3,0,7.638272163982407
4,4.08163265306122,0.0,3.18276404193411,4.06081674267915,117.697683449203,96.5626188721774,0.0,0.0,0.0,0.294751439471864,6.65181820438432,0.113072916390398,3.81882842853375,6.90290600755045,5.78446082326018,3,0,0,0,1,2.31739069388743,0,0,6,0,7.619788758288394
4,3.7037037037037,0.0,3.19774255064886,4.04676276986515,150.970734369297,114.949233003236,0.0,0.0,0.0,0.226821524208725,7.92635993831619,0.106562346680267,0.635080602359863,6.85060559135113,5.72301086389537,4,0,0,2,0,4.53689681271849,0,0,5,0,7.387216143280264
4,4.16666666666667,0.0,3.19835177499827,4.04364976854254,135.070800779297,99.0492994132366,0.0,0.0,0.0,0.335496841108697,5.3260648612664,0.110241322515148,2.66377506225559,6.89592644590735,5.77520504416877,3,0,0,0,1,2.28200055512607,0,0,5,0,7.619788758288394
2,4.54545454545455,0.0001730317967263,3.18079750816549,4.06818792707025,113.459460633078,77.4379592670174,0.0,0.0,0.0,0.375111329627412,4.73416581196137,0.113632396840632,1.12455739218261,7.75201986837373,6.7123440101033,4,0,0,0,0,6.9384300957611,0,0,2,0,6.97469413473523
2,5.17241379310345,0.0,2.89673931430848,4.06536793442871,77.4911836094488,53.2318051384284,0.0,0.0,0.0,0.13799963170343,3.23471299638112,0.120608462486153,0.836946263706706,6.54307827967346,5.39975868723509,0,1,0,0,0,0.0,0,1,2,0,7.585026652029182
2,3.63636363636364,0.0,2.89153868339053,4.06287825842624,89.456305996769,68.3212414197436,0.0,0.0,0.0,0.186253948636051,2.61544338796829,0.117138123633831,0.722006141256812,5.88222717510388,4.67683775790107,0,0,0,3,0,0.0,0,0,2,0,8.327902142064282
2,4.54545454545455,0.0,3.19736104673248,4.07521517385794,99.2578105532091,78.1227459761838,0.0,0.0,0.0,0.288621722752218,2.86279338709099,0.125169451484916,3.01177736974875,8.16500040643725,7.23888855705728,4,0,0,0,0,6.25054330977772,0,0,2,0,7.309803919971486
3,4.25531914893617,0.0,2.7451874790545,4.05876075378452,87.6667047065032,66.5316401294779,0.0,0.0,0.0,0.0821727276817867,1.51138330845461,0.117725562765949,2.33577821096742,5.28997529049317,4.03983369156805,0,0,0,4,0,0.0,0,0,5,0,8.221848749616356
3,5.45454545454545,0.0002138636487899,2.87642840681749,4.04916512056991,98.8542219440867,59.7084066840311,1.86544244459213,1.65462364530763,2.72037053835763,0.0819196261419761,3.80260426333317,0.0974879421863644,0.821317533705846,8.21072275366048,7.2683876908701,0,1,0,0,0,0.0,0,1,3,2,6.818156412055227
3,4.16666666666667,0.0,3.19118527262019,4.06009289277421,107.328966212916,86.1939016358908,0.0,0.0,0.0,0.349471590568878,5.53260073240653,0.128474961661471,1.24995436659835,6.89228425021701,5.77735431792203,4,0,0,0,0,6.94517992796183,0,0,4,0,8.0
