F03[C-N],SpMin1_Bh(p),RNCG,SpDiam_B(p),F05[C-C],F06[C-N],CATS3D_07_LL,F10[N-Cl],nCb-,CATS2D_05_AL,P_VSA_m_3,MATS7s,F06[N-Cl],alvo
15,2.09906885319117,0.0964046439942992,5.81346864623789,27,13,7,0,5,10,95.1701938778729,-0.0867259408720586,0,5.521433504406157
15,2.09921921010724,0.0849395497354287,5.81453848678124,29,15,7,0,6,10,140.05053369091,0.31507938867592,0,5.681936665037238
11,2.08507729453642,0.139306338433438,5.8114993688159,16,11,2,0,5,6,40.1050403034302,0.166851116192563,1,5.36251027048749
11,2.08504544582534,0.148003136128507,5.81125322650018,16,11,3,0,4,7,25.1449270324178,-0.0152635557413104,0,5.333482019445119
11,2.08546367246724,0.123533899455079,5.81145934094929,17,12,3,0,4,7,70.0252668454551,0.320035803906744,0,5.281498311132726
11,2.08545128357926,0.123628172649771,5.81140586599502,16,11,3,0,4,7,70.0252668454551,-0.111058739894315,0,5.958607314841775
11,2.08584475145002,0.107355865937632,5.81247834220892,18,13,3,0,5,7,114.905606658493,0.385785994191437,0,5.042871802323187
11,2.08526639805938,0.123020180351105,5.81211967277179,17,12,3,0,5,7,70.0252668454551,0.376315283548703,0,4.9503943874050265
11,2.0854202267248,0.144024388622942,5.81113688629105,16,11,3,0,4,7,25.1449270324178,-0.0378172402744576,0,5.568636235841013
11,2.08524944045023,0.184532238023741,5.81112158012367,17,12,3,0,4,7,36.1448149200242,0.0173754636182478,0,5.522878745280337
14,2.09228447187331,0.0977605520379153,5.8247431661214,24,17,2,0,6,12,80.2100806068604,0.0749558904466188,0,5.701146923590294
14,2.09242824118356,0.0929478100131784,5.82855423101921,24,17,2,0,8,12,110.130307148885,0.0795028103215898,0,5.235077015350112
14,2.09103003531457,0.0967985314564983,5.83163528352519,24,17,2,0,8,12,80.2100806068604,0.0924960839722983,1,6.769551078621726
14,2.0913009199319,0.0977475994138074,5.8286176526699,24,17,2,0,8,12,80.2100806068604,0.0671714933973486,1,5.723538195826756
14,2.09122472469306,0.0986923525887486,5.82866881412825,24,17,2,0,8,14,80.2100806068604,0.0880001132171895,0,7.221848749616356
14,2.0917472751288,0.0945863660265337,5.82835359939541,24,17,2,0,8,12,95.1701938778729,0.0436287560005188,0,5.809668301829708
14,2.09126142626994,0.0935073998428528,5.8328910036398,24,17,2,0,9,13,95.1701938778729,0.0498189941551594,0,6.4089353929735005
14,2.09224919650276,0.0975118141344335,5.82845156735274,25,18,2,0,8,13,80.2100806068604,0.0130372250103347,0,5.703334809738469
9,2.08706497115682,0.128479174521818,5.81451198472529,19,8,5,0,5,5,84.9853801164676,-0.0786425279712866,0,5.671620396561262
9,2.08728002724137,0.198324582013161,5.81436220766032,22,9,9,0,5,6,36.1448149200242,-0.191449711121415,0,4.997402019280091
