nO,MATS5i,SpMax1_Bh(i),Eta_beta_A,SM09_AEA(dm),Eig15_EA(ri),VE2_RG,RDF130v,RDF100i,Mor20e,Mor23p,P2m,HATS4i,SP20,nROR,SaaCH,T(N..S),B06[N-Cl],B08[S-Cl],B09[C-S],F04[C-O],F06[N-Cl],F09[C-S],G(O..O),CATS3D_03_AA,CATS3D_12_AL,alvo
4,0.113841748387922,4.04160169356223,1.16666666666667,-0.408070878996542,-0.25822587733839,0.0868047509073727,0.0047445542928852,6.08136599393632,2.12983532063981,-0.525088341949273,0.296127849417502,0.51378379146858,5.44228019270213,2,6.74556275411035,6,0,0,0,10,0,0,39.132999420166,0,0,5.8474059220725305
4,0.149665272522326,4.0338955371811,0.958333333333334,-0.84054032820561,-0.728105050766493,0.052578574669795,0.0,18.4276307216486,1.9360017861191,-0.171207716660787,0.325441680682044,0.50306289317344,4.0027847391772,2,0.0,6,0,0,0,9,0,0,37.8669967651367,0,0,6.504455662453552
3,0.151760822228951,4.05168383655565,0.93,-0.781226329744189,-0.780434672499945,0.0532095170504963,0.0,13.835273012416,1.8014007681545,-0.597771270692797,0.346162775793717,0.578066911588325,3.14989510191031,1,0.0,6,0,0,0,10,0,0,17.8859996795654,0,0,7.397940008672037
3,-0.0676457420685453,4.08330179094406,0.9,-1.0,-1.0,0.0653506835542525,0.0,25.7463549459709,1.79807694750096,-0.605796282132034,0.313484264047213,0.7073824016108,3.56115496336694,1,0.0,6,0,0,0,8,0,0,16.8320007324219,0,0,8.229147988357855
3,0.145678787770685,4.05825412674462,1.17,-0.438176035750366,-0.404848780507312,0.0550263839813024,0.324990532124225,13.762336006765,2.28638086886449,-0.450282491989313,0.21682510227703,0.399358667067529,6.64147551380359,1,6.86267492209509,6,0,0,0,7,0,0,18.8369998931885,0,0,6.863279432843593
4,-0.176433726099873,4.05922368682523,1.0859375,-0.222188644153702,-0.192867667008271,0.0478510629617393,0.0025274032370724,13.9243850114167,1.80077511088714,-0.403544176272683,0.200494190724991,0.358563178618103,6.79447193403765,1,4.70054805014949,6,0,0,0,8,0,0,29.9110012054443,2,0,7.200659450546419
4,0.127529206527736,4.04156302527324,1.16666666666667,-0.347590504192035,-0.278825780752688,0.0834812002009507,0.0031330040342606,9.20373450909698,2.42441195655137,-0.490495714344445,0.30784205596309,0.489425678736338,5.1174529823729,2,6.86395964431731,6,0,0,0,10,0,0,39.088996887207,0,0,6.6439741428068775
4,0.280450603773581,4.05193140311569,1.10483870967742,-0.090813244288145,-0.0795893728731939,0.0802651310205673,0.0070957244175418,11.0004293206495,2.59862149590331,-0.436427362586567,0.315009480624259,0.514829187021808,5.16752263044684,2,2.32521515057552,6,0,0,0,11,0,0,39.132999420166,0,0,7.022276394711152
5,0.0313045376960005,4.04326799775262,1.16964285714286,-0.215153461843475,-0.197465066939685,0.0517609222726653,0.0037265851393588,6.68907399015673,2.75857536396109,-0.482925142265942,0.315094661347615,0.394477313470036,5.00165443606448,2,7.03269421221854,6,0,0,0,11,0,0,61.8729972839355,1,0,5.0
3,0.0996409332228469,4.0611340611847,1.11666666666667,-0.203940359149443,-0.18794833310571,0.0753716741629999,0.0077616304955168,6.53540695497057,2.55587382325749,-0.39961727891438,0.285973740110015,0.446181983749562,5.15086384944435,1,4.28583549935021,6,0,0,0,9,0,0,18.5970001220703,0,0,8.602059991327963
5,-0.0949564744799069,4.05442663280104,1.12903225806452,0.0267026900127885,0.0235131132209905,0.0502386513007014,0.00360093056439,9.33299776348994,2.59336510381295,-0.343287588723322,0.271233435879875,0.382074131138531,5.03162691983883,2,5.06189781675494,6,0,0,0,10,0,0,64.1389999389648,1,0,7.42021640338319
2,-0.0667774137201584,4.09458650705124,0.883928571428572,-0.709326605523243,-0.681790927052785,0.0748565840938287,0.0,21.4375567068734,1.35085001837933,-0.65933993281533,0.408987994070721,0.661947170109385,3.70090144405943,0,0.0,6,0,0,0,8,0,0,5.85699987411499,0,0,6.889410289700751
3,0.0055158854396186,4.06728095104171,0.944444444444445,-0.0326240144808724,-0.0303779098350653,0.0499031202110864,0.0020568921642828,21.2077903388242,1.81847466073069,-0.226922741130489,0.263388627613734,0.501925747504856,4.90475968301516,1,0.0,11,0,0,0,7,0,0,18.7790012359619,2,0,6.6595558851598815
3,-0.157104717589318,4.07663206207666,1.09090909090909,0.0,0.0,0.074190795127237,0.002263907600342,7.41421486183161,1.57491298871534,-0.420388497143983,0.242497747006995,0.363451366446683,6.65484313814652,0,4.45963927223678,6,0,0,0,7,0,0,15.1959991455078,1,0,7.744727494896693
4,0.162549837895524,4.04120803972739,1.11206896551724,-0.413903938765129,-0.380803676795568,0.0498818967824795,0.0077616304955168,12.4563397338529,2.72589236411001,-0.390208188861285,0.31113991846585,0.479317601583295,5.14919586050863,2,4.52674427726292,6,0,0,0,10,0,0,38.1059989929199,0,0,7.769551078621726
4,-0.11092632673931,4.0524008670207,1.09090909090909,0.0389113520490932,0.0338269982869525,0.0796907373598111,0.0041255209372706,10.1261353388345,2.27412359675331,-0.465782410133527,0.332798744762204,0.434663755442144,4.94406372719798,1,4.84964460011736,6,0,0,0,10,0,0,35.3699989318848,1,0,8.481486060122112
