Mi,PW4,VE2sign_D,VE2_H2,SpMAD_D/Dt,MATS8i,GGI10,SpMax6_Bh(e),SpMax6_Bh(i),SpMin1_Bh(s),SM14_EA,CMBL,TDB10p,Mor10i,P2v,G1e,E3e,G2i,HATS7u,HATS5p,HATS6p,HATS2i,R6p,R8p+,B04[N-N],B06[C-N],B06[N-Cl],B10[O-Cl],BLTF96,alvo
1.120535,0.198818,0.004468,0.157437,1.335204,-0.111419,0.037647,3.167414,3.249221,1.229196,16.93783,1.715,2.992148,-0.993527,0.273104,0.151178,0.37136,0.151178,0.296381,0.098983,0.106743,0.395318,0.405003,0.009298,1,1,0,0,-3.005612,6.189767
1.153147,0.182276,0,0.151067,1.446873,-0.211186,0.246203,3.294692,3.325861,1.326356,17.891805,1.715,2.800144,-0.21076,0.345367,0.149871,0.394955,0.177247,0.300185,0.093015,0.102551,0.412766,0.390468,0.008628,1,1,0,0,-4.537818,8.853872
1.141333,0.19099,0,0.123159,1.468333,-0.19962,0.188454,3.262992,3.30541,1.314437,17.712207,1.715,2.662232,-0.096985,0.278283,0.151178,0.469851,0.151178,0.250147,0.091621,0.090649,0.440974,0.342319,0.013048,1,1,0,0,-3.516373,7.823909
1.149915,0.190498,0.00128,0.134977,1.553461,-0.235655,0.304361,3.297656,3.351203,1.218927,17.921751,1.715,2.879463,-0.453034,0.33429,0.148041,0.408975,0.157093,0.217146,0.082955,0.089994,0.396947,0.36124,0.00982,1,1,0,0,-3.79154,7.130768
1.14482,0.181243,0.001796,0.148259,1.554756,-0.229065,0.207832,3.298239,3.35152,1.218901,17.554295,1.715,3.041569,-0.216575,0.304322,0.164315,0.391173,0.156317,0.243461,0.096126,0.101931,0.400728,0.384526,0.010713,1,1,0,0,-3.055373,6.995679
1.144496,0.187516,0.007198,0.126272,1.383056,-0.180218,0.08122,3.087459,3.156368,1.396001,17.534939,1.712,3.076185,0.432018,0.230925,0.161364,0.457688,0.165996,0.345683,0.092562,0.105074,0.433307,0.373595,0.010702,1,1,0,0,-3.451584,6.404504
1.130989,0.177104,0.002472,0.139413,1.486428,-0.229602,0.098969,3.184274,3.254053,1.397064,17.211185,1.712,2.594632,-0.061714,0.34188,0.148634,0.459199,0.157894,0.291675,0.076098,0.085873,0.383873,0.331426,0.013172,1,1,0,0,-3.451584,7.327902
1.130043,0.1761,0.003553,0.151715,1.442373,-0.109645,0.032956,3.126198,3.180079,1.488541,16.697082,1.712,2.248076,0.274788,0.289119,0.152565,0.354216,0.152565,0.330348,0.066645,0.088218,0.408502,0.31073,0.00951,1,1,0,0,-3.052157,6.696804
1.116935,0.203849,0.002923,0.159846,1.358863,-0.04666,0.054278,3.111052,3.206102,1.229104,17.070827,1.715,3.832673,-1.584964,0.28363,0.164292,0.414093,0.164292,0.344712,0.105285,0.130594,0.39201,0.452386,0.01546,1,1,0,0,-3.422957,6.158015
1.146992,0.184357,0.001952,0.135522,1.470704,-0.210428,0.161004,3.319905,3.365776,1.212884,17.707683,1.715,2.433855,0.501428,0.329466,0.151861,0.427984,0.171798,0.231983,0.085044,0.084729,0.438517,0.306276,0.009386,1,1,0,0,-4.265088,7.958607
1.159808,0.185683,0.001224,0.139207,1.464389,-0.196478,0.254468,3.295473,3.325917,1.326355,17.961278,1.715,2.784466,-0.265969,0.34453,0.155039,0.400699,0.186448,0.299729,0.09256,0.102206,0.413291,0.38923,0.008633,1,1,0,0,-4.627169,8.443697
1.145606,0.180559,0.000194,0.151116,1.523076,-0.204352,0.166408,3.293648,3.335595,1.212514,17.196963,1.715,2.808012,-0.110873,0.239647,0.151178,0.32018,0.151178,0.293418,0.105307,0.1073,0.482335,0.340594,0.008923,1,1,0,0,-2.683382,7.017729
1.129967,0.163612,0.005411,0.144257,1.535631,-0.166238,0.079174,3.245739,3.312652,1.288108,18.030822,1.73,2.362094,0.029033,0.302426,0.156317,0.460138,0.164315,0.238343,0.070266,0.072153,0.3467,0.326656,0.008315,1,1,0,0,-4.314474,8.19382
